state,month,year_month,routed_in_state,answered_in_state,in_state_answer_rate_reported,in_state_answer_rate,abandoned_in_state_count,abandoned_in_state_rate,flowout_to_national_backup_count,flowout_to_national_backup_rate,average_speed_to_answer_seconds,average_talk_time_seconds,source_pdf,page,raw_row_text,fee_cents_max,fee_schedule_note,primary_policy_group,actual_collection_start,operational_start,ever_core_fee_collection,post_2024_monitor_policy,established_not_collected_by_2024,fee_collection_active,operational_treatment_active,months_since_collection_start,months_since_operational_start,post2025_policy_monitor_active,state_name,primary_policy_group_timing,first_revenue_year,fcc_confirmed_collection_by_2024,date_confidence,source_ids,policy_note,year,population,population_lookup_year,population_carried_forward,has_population_denominator,population_source_note,fee_revenue_nominal,fee_revenue_nominal_for_2021_2024,fee_revenue_per_capita,fee_revenue_per_100k,fee_revenue_per_routed_contact,fee_active_months,operational_active_months,mechanism_observation_note,month_id,calendar_month,post_988_launch,months_since_988_launch,is_state_dc,is_territory_or_pr,answer_rate_pp,flowout_rate_pp,abandoned_rate_pp,routed_per_100k,answered_per_100k,log_routed_in_state,log_routed_per_100k,asa_minutes,talk_minutes,treated_ever_by_2024,primary_analysis_sample,observed_month_count,balanced_full_window_state,baseline_prelaunch_answer_rate,baseline_prelaunch_flowout_rate,baseline_prelaunch_asa_seconds,baseline_prelaunch_routed_per_100k,baseline_prelaunch_months,low_baseline_answer_rate,high_baseline_volume,baseline_answer_rate_centered,baseline_volume_centered,received_in_state,answer_rate_validated,answer_rate_routed_calc,answer_rate_received_calc,answer_rate_denominator_note,in_state_answer_rate_original,in_state_answer_rate_rescue,answer_rate_pp_rescue,answer_rate_rescue_change,bill_enactment_date,statutory_effective_date,fee_collection_start_date,first_observed_fee_revenue_date,first_operational_use_date,restricted_988_only_funding_indicator,broader_crisis_system_funding_indicator,enacted_start,collection_start_audit,operational_lag_0m_start,operational_lag_0m_active,operational_lag_1m_start,operational_lag_1m_active,operational_lag_3m_start,operational_lag_3m_active,operational_lag_6m_start,operational_lag_6m_active,operational_lag_12m_start,operational_lag_12m_active,enacted_active,collection_start_audit_active,first_revenue_positive_start,revenue_positive_active,fee_amount_per_line_dollars,restricted_988_only_active,broader_crisis_system_active
AK,2021-07-01,2021-07,563.0,240.0,0.43,0.42628774422735344,202.0,0.35879218472468916,121.0,0.21492007104795738,60.0,1005.0,temp/raw_downloads/988_state_monthly_reports/2021-07_988_in_state_monthly_report.pdf,1,AK 563 563 240 43% 202 121 01:00 16:45,0.0,,never_or_no_fee_reported,,,False,False,False,0,0,,,0,Alaska,never_or_no_fee_reported,,False,not_applicable,fcc_fee_report_2024,No FCC-reported state 988 telecom fee collection through the 2024 annual report.,2021,734590.0,2021,False,True,Vintage 2025 Census annual state resident population estimate.,,0.0,,,,0,0,No fee collection active in this state-year.,2021-07,7,0,-12,True,False,42.62877442273535,21.49200710479574,35.879218472468914,76.6413917967846,32.6712860234961,6.335054251498059,4.352100684425357,1.0,16.75,False,True,58,True,0.5645439674456266,0.1384873576924766,34.916666666666664,81.44499467604665,12.0,True,True,-0.1834880625139561,33.07028358814298,563.0,0.42628774422735344,0.42628774422735344,0.42628774422735344,routed and received denominators match or received denominator unavailable,0.42628774422735344,0.42628774422735344,42.62877442273535,0.0,,,,,,,,,,,0,,0,,0,,0,,0,0,0,,0,0.0,0.0,0.0
AK,2021-08-01,2021-08,639.0,387.0,0.61,0.6056338028169014,180.0,0.28169014084507044,72.0,0.11267605633802817,39.0,887.0,temp/raw_downloads/988_state_monthly_reports/2021-08_988_in_state_monthly_report.pdf,1,AK 639 639 387 61% 180 72 00:39 14:47,0.0,,never_or_no_fee_reported,,,False,False,False,0,0,,,0,Alaska,never_or_no_fee_reported,,False,not_applicable,fcc_fee_report_2024,No FCC-reported state 988 telecom fee collection through the 2024 annual report.,2021,734590.0,2021,False,True,Vintage 2025 Census annual state resident population estimate.,,0.0,,,,0,0,No fee collection active in this state-year.,2021-08,8,0,-11,True,False,60.56338028169014,11.267605633802818,28.169014084507044,86.98729903755837,52.682448712887464,6.461468176353717,4.477192474943102,0.65,14.783333333333333,False,True,58,True,0.5645439674456266,0.1384873576924766,34.916666666666664,81.44499467604665,12.0,True,True,-0.1834880625139561,33.07028358814298,639.0,0.6056338028169014,0.6056338028169014,0.6056338028169014,routed and received denominators match or received denominator unavailable,0.6056338028169014,0.6056338028169014,60.56338028169014,0.0,,,,,,,,,,,0,,0,,0,,0,,0,0,0,,0,0.0,0.0,0.0
AK,2021-09-01,2021-09,644.0,436.0,0.68,0.6770186335403726,154.0,0.2391304347826087,54.0,0.08385093167701864,30.0,878.0,temp/raw_downloads/988_state_monthly_reports/2021-09_988_in_state_monthly_report.pdf,1,AK 644 644 436 68% 154 54 00:30 14:38,0.0,,never_or_no_fee_reported,,,False,False,False,0,0,,,0,Alaska,never_or_no_fee_reported,,False,not_applicable,fcc_fee_report_2024,No FCC-reported state 988 telecom fee collection through the 2024 annual report.,2021,734590.0,2021,False,True,Vintage 2025 Census annual state resident population estimate.,,0.0,,,,0,0,No fee collection active in this state-year.,2021-09,9,0,-10,True,False,67.70186335403726,8.385093167701864,23.91304347826087,87.66795082971454,59.35283627601792,6.4692503167957724,4.484898503050604,0.5,14.633333333333333,False,True,58,True,0.5645439674456266,0.1384873576924766,34.916666666666664,81.44499467604665,12.0,True,True,-0.1834880625139561,33.07028358814298,644.0,0.6770186335403726,0.6770186335403726,0.6770186335403726,routed and received denominators match or received denominator unavailable,0.6770186335403726,0.6770186335403726,67.70186335403726,0.0,,,,,,,,,,,0,,0,,0,,0,,0,0,0,,0,0.0,0.0,0.0
AK,2021-10-01,2021-10,618.0,306.0,0.5,0.49514563106796117,211.0,0.3414239482200647,101.0,0.1634304207119741,27.0,794.0,temp/raw_downloads/988_state_monthly_reports/2021-10_988_in_state_monthly_report.pdf,1,AK 618 618 306 50% 211 101 00:27 13:14,0.0,,never_or_no_fee_reported,,,False,False,False,0,0,,,0,Alaska,never_or_no_fee_reported,,False,not_applicable,fcc_fee_report_2024,No FCC-reported state 988 telecom fee collection through the 2024 annual report.,2021,734590.0,2021,False,True,Vintage 2025 Census annual state resident population estimate.,,0.0,,,,0,0,No fee collection active in this state-year.,2021-10,10,0,-9,True,False,49.51456310679612,16.34304207119741,34.14239482200647,84.12856151050245,41.655889679957525,6.428105272684596,4.444162602190677,0.45,13.233333333333333,False,True,58,True,0.5645439674456266,0.1384873576924766,34.916666666666664,81.44499467604665,12.0,True,True,-0.1834880625139561,33.07028358814298,618.0,0.49514563106796117,0.49514563106796117,0.49514563106796117,routed and received denominators match or received denominator unavailable,0.49514563106796117,0.49514563106796117,49.51456310679612,0.0,,,,,,,,,,,0,,0,,0,,0,,0,0,0,,0,0.0,0.0,0.0
AK,2021-11-01,2021-11,593.0,328.0,0.55,0.5531197301854974,204.0,0.3440134907251265,61.0,0.10286677908937605,37.0,778.0,temp/raw_downloads/988_state_monthly_reports/2021-11_988_in_state_monthly_report.pdf,1,AK 593 593 328 55% 204 61 00:37 12:58,0.0,,never_or_no_fee_reported,,,False,False,False,0,0,,,0,Alaska,never_or_no_fee_reported,,False,not_applicable,fcc_fee_report_2024,No FCC-reported state 988 telecom fee collection through the 2024 annual report.,2021,734590.0,2021,False,True,Vintage 2025 Census annual state resident population estimate.,,0.0,,,,0,0,No fee collection active in this state-year.,2021-11,11,0,-8,True,False,55.31197301854974,10.286677908937605,34.40134907251265,80.72530254972162,44.65075756544467,6.386879319362645,4.403363654649572,0.6166666666666667,12.966666666666667,False,True,58,True,0.5645439674456266,0.1384873576924766,34.916666666666664,81.44499467604665,12.0,True,True,-0.1834880625139561,33.07028358814298,593.0,0.5531197301854974,0.5531197301854974,0.5531197301854974,routed and received denominators match or received denominator unavailable,0.5531197301854974,0.5531197301854974,55.31197301854974,0.0,,,,,,,,,,,0,,0,,0,,0,,0,0,0,,0,0.0,0.0,0.0
AK,2021-12-01,2021-12,618.0,327.0,0.53,0.529126213592233,182.0,0.29449838187702265,109.0,0.17637540453074432,34.0,791.0,temp/raw_downloads/988_state_monthly_reports/2021-12_988_in_state_monthly_report.pdf,1,AK 618 618 327 53% 182 109 00:34 13:11,0.0,,never_or_no_fee_reported,,,False,False,False,0,0,,,0,Alaska,never_or_no_fee_reported,,False,not_applicable,fcc_fee_report_2024,No FCC-reported state 988 telecom fee collection through the 2024 annual report.,2021,734590.0,2021,False,True,Vintage 2025 Census annual state resident population estimate.,,0.0,,,,0,0,No fee collection active in this state-year.,2021-12,12,0,-7,True,False,52.9126213592233,17.637540453074433,29.449838187702266,84.12856151050245,44.51462720701344,6.428105272684596,4.444162602190677,0.5666666666666667,13.183333333333334,False,True,58,True,0.5645439674456266,0.1384873576924766,34.916666666666664,81.44499467604665,12.0,True,True,-0.1834880625139561,33.07028358814298,618.0,0.529126213592233,0.529126213592233,0.529126213592233,routed and received denominators match or received denominator unavailable,0.529126213592233,0.529126213592233,52.9126213592233,0.0,,,,,,,,,,,0,,0,,0,,0,,0,0,0,,0,0.0,0.0,0.0
AK,2022-01-01,2022-01,648.0,330.0,0.51,0.5092592592592593,186.0,0.28703703703703703,132.0,0.2037037037037037,29.0,774.0,temp/raw_downloads/988_state_monthly_reports/2022-01_988_in_state_monthly_report.pdf,1,AK 648 648 330 51% 186 132 00:29 12:54,0.0,,never_or_no_fee_reported,,,False,False,False,0,0,,,0,Alaska,never_or_no_fee_reported,,False,not_applicable,fcc_fee_report_2024,No FCC-reported state 988 telecom fee collection through the 2024 annual report.,2022,733659.0,2022,False,True,Vintage 2025 Census annual state resident population estimate.,,0.0,,,,0,0,No fee collection active in this state-year.,2022-01,1,0,-6,True,False,50.92592592592593,20.37037037037037,28.703703703703702,88.32441229508532,44.98002477990456,6.47543271670409,4.492274824487721,0.48333333333333334,12.9,False,True,58,True,0.5645439674456266,0.1384873576924766,34.916666666666664,81.44499467604665,12.0,True,True,-0.1834880625139561,33.07028358814298,648.0,0.5092592592592593,0.5092592592592593,0.5092592592592593,routed and received denominators match or received denominator unavailable,0.5092592592592593,0.5092592592592593,50.92592592592593,0.0,,,,,,,,,,,0,,0,,0,,0,,0,0,0,,0,0.0,0.0,0.0
AK,2022-02-01,2022-02,561.0,296.0,0.53,0.5276292335115864,188.0,0.33511586452762926,77.0,0.13725490196078433,32.0,934.0,temp/raw_downloads/988_state_monthly_reports/2022-02_988_in_state_monthly_report.pdf,1,AK 561 561 296 53% 188 77 00:32 15:34,0.0,,never_or_no_fee_reported,,,False,False,False,0,0,,,0,Alaska,never_or_no_fee_reported,,False,not_applicable,fcc_fee_report_2024,No FCC-reported state 988 telecom fee collection through the 2024 annual report.,2022,733659.0,2022,False,True,Vintage 2025 Census annual state resident population estimate.,,0.0,,,,0,0,No fee collection active in this state-year.,2022-02,2,0,-5,True,False,52.76292335115864,13.725490196078432,33.51158645276293,76.46604212583775,40.345719196520456,6.331501849893691,4.349839674218255,0.5333333333333333,15.566666666666666,False,True,58,True,0.5645439674456266,0.1384873576924766,34.916666666666664,81.44499467604665,12.0,True,True,-0.1834880625139561,33.07028358814298,561.0,0.5276292335115864,0.5276292335115864,0.5276292335115864,routed and received denominators match or received denominator unavailable,0.5276292335115864,0.5276292335115864,52.76292335115864,0.0,,,,,,,,,,,0,,0,,0,,0,,0,0,0,,0,0.0,0.0,0.0
AK,2022-03-01,2022-03,630.0,349.0,0.55,0.553968253968254,177.0,0.28095238095238095,104.0,0.16507936507936508,35.0,917.0,temp/raw_downloads/988_state_monthly_reports/2022-03_988_in_state_monthly_report.pdf,1,AK 630 630 349 55% 177 104 00:35 15:17,0.0,,never_or_no_fee_reported,,,False,False,False,0,0,,,0,Alaska,never_or_no_fee_reported,,False,not_applicable,fcc_fee_report_2024,No FCC-reported state 988 telecom fee collection through the 2024 annual report.,2022,733659.0,2022,False,True,Vintage 2025 Census annual state resident population estimate.,,0.0,,,,0,0,No fee collection active in this state-year.,2022-03,3,0,-4,True,False,55.3968253968254,16.507936507936506,28.095238095238095,85.87095639799962,47.569783782383915,6.447305862541213,4.464423757742704,0.5833333333333334,15.283333333333333,False,True,58,True,0.5645439674456266,0.1384873576924766,34.916666666666664,81.44499467604665,12.0,True,True,-0.1834880625139561,33.07028358814298,630.0,0.553968253968254,0.553968253968254,0.553968253968254,routed and received denominators match or received denominator unavailable,0.553968253968254,0.553968253968254,55.3968253968254,0.0,,,,,,,,,,,0,,0,,0,,0,,0,0,0,,0,0.0,0.0,0.0
AK,2022-04-01,2022-04,616.0,408.0,0.66,0.6623376623376623,155.0,0.25162337662337664,53.0,0.08603896103896104,28.0,886.0,temp/raw_downloads/988_state_monthly_reports/2022-04_988_in_state_monthly_report.pdf,1,AK 616 616 408 66% 155 53 00:28 14:46,0.0,,never_or_no_fee_reported,,,False,False,False,0,0,,,0,Alaska,never_or_no_fee_reported,,False,not_applicable,fcc_fee_report_2024,No FCC-reported state 988 telecom fee collection through the 2024 annual report.,2022,733659.0,2022,False,True,Vintage 2025 Census annual state resident population estimate.,,0.0,,,,0,0,No fee collection active in this state-year.,2022-04,4,0,-3,True,False,66.23376623376623,8.603896103896105,25.162337662337663,83.96271292248852,55.61166700060927,6.424869023905388,4.4422124887456915,0.4666666666666667,14.766666666666667,False,True,58,True,0.5645439674456266,0.1384873576924766,34.916666666666664,81.44499467604665,12.0,True,True,-0.1834880625139561,33.07028358814298,616.0,0.6623376623376623,0.6623376623376623,0.6623376623376623,routed and received denominators match or received denominator unavailable,0.6623376623376623,0.6623376623376623,66.23376623376623,0.0,,,,,,,,,,,0,,0,,0,,0,,0,0,0,,0,0.0,0.0,0.0
