year_month,raw_jurisdictions,primary_rows,state_dc_rows
2021-07,56,51,51
2021-08,55,51,51
2021-09,55,51,51
2021-10,55,51,51
2021-11,55,51,51
2021-12,55,51,51
2022-01,56,51,51
2022-02,55,51,51
2022-03,56,51,51
2022-04,55,51,51
2022-05,56,51,51
2022-06,55,51,51
2022-07,56,51,51
2022-08,56,51,51
2022-09,56,51,51
2022-10,56,51,51
2022-11,56,51,51
2022-12,56,51,51
2023-01,56,51,51
2023-02,56,51,51
2023-03,56,51,51
2023-04,56,51,51
2023-05,56,51,51
2023-06,56,51,51
2023-07,56,51,51
2023-08,56,51,51
2023-09,56,51,51
2023-10,56,51,51
2023-11,56,51,51
2023-12,56,51,51
2024-01,56,51,51
2024-02,56,51,51
2024-03,56,51,51
2024-04,56,51,51
2024-05,56,51,51
2024-06,56,51,51
2024-07,56,51,51
2024-08,56,51,51
2024-09,56,51,51
2024-10,56,51,51
2024-11,56,51,51
2024-12,56,51,51
2025-01,56,51,51
2025-03,56,51,51
2025-04,56,51,51
2025-05,56,51,51
2025-06,56,51,51
2025-07,56,49,51
2025-08,56,49,51
2025-09,56,49,51
2025-10,56,49,51
2025-11,56,49,51
2025-12,56,49,51
2026-01,56,49,51
2026-02,54,49,51
2026-03,54,49,51
2026-04,54,49,51
2026-05,54,49,51
