project,dataset_path,variable,rank,value,count_in_profile,profile_basis,profile_rows
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,state,1,AK,58,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,state,2,AL,58,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,state,3,AR,58,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,state,4,AZ,58,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,state,5,CO,58,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,state,6,CA,58,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,state,7,CT,58,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,state,8,DC,58,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,state,9,IL,58,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,state,10,DE,58,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,month,1,2021-07-01,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,month,2,2022-03-01,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,month,3,2022-01-01,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,month,4,2022-12-01,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,month,5,2022-10-01,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,month,6,2022-11-01,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,month,7,2022-09-01,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,month,8,2022-08-01,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,month,9,2022-07-01,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,month,10,2022-05-01,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,year_month,1,2021-07,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,year_month,2,2022-03,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,year_month,3,2022-01,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,year_month,4,2022-12,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,year_month,5,2022-10,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,year_month,6,2022-11,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,year_month,7,2022-09,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,year_month,8,2022-08,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,year_month,9,2022-07,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,year_month,10,2022-05,56,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,routed_in_state,1,10.0,7,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,routed_in_state,2,5.0,6,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,routed_in_state,3,4.0,6,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,routed_in_state,4,3.0,6,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,routed_in_state,5,12.0,5,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,routed_in_state,6,36.0,5,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,routed_in_state,7,9.0,5,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,routed_in_state,8,16.0,5,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,routed_in_state,9,7.0,4,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,routed_in_state,10,13.0,4,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,answered_in_state,1,0.0,115,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,answered_in_state,2,5.0,9,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,answered_in_state,3,4.0,6,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,answered_in_state,4,2.0,6,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,answered_in_state,5,1350.0,5,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,answered_in_state,6,647.0,5,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,answered_in_state,7,695.0,4,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,answered_in_state,8,739.0,4,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,answered_in_state,9,830.0,4,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,answered_in_state,10,981.0,4,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate_reported,1,0.89,227,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate_reported,2,0.91,217,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate_reported,3,0.88,208,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate_reported,4,0.9,205,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate_reported,5,0.86,144,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate_reported,6,0.92,143,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate_reported,7,0.87,139,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate_reported,8,0.85,130,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate_reported,9,0.0,115,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate_reported,10,0.83,112,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate,1,0.0,115,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate,2,0.8333333333333334,4,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate,3,1.0,4,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate,4,0.9,4,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate,5,0.5,3,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate,6,0.75,3,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate,7,0.8571428571428571,3,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate,8,0.875,2,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate,9,0.3846153846153846,2,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate,10,0.9393939393939394,2,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_count,1,0.0,104,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_count,2,1.0,27,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_count,3,30.0,17,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_count,4,8.0,17,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_count,5,5.0,15,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_count,6,34.0,14,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_count,7,43.0,14,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_count,8,2.0,13,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_count,9,32.0,13,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_count,10,38.0,13,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_rate,1,0.0,104,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_rate,2,0.0833333333333333,7,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_rate,3,0.5,5,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_rate,4,0.125,4,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_rate,5,0.0909090909090909,4,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_rate,6,0.0256410256410256,3,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_rate,7,0.1219512195121951,3,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_rate,8,0.2,3,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_rate,9,0.3333333333333333,3,full_file,3232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_rate,10,0.0714285714285714,3,full_file,3232
