project,dataset_path,variable,dtype,row_count,profile_basis,profile_rows,nonmissing_in_profile,missing_in_profile,unique_in_profile,min,p25,median,p75,max,mean,std,top_value,top_value_count
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,state,object,3232,full_file,3232,3232,0,56,,,,,,,,AK,58
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,month,object,3232,full_file,3232,3232,0,58,,,,,,,,2021-07-01,56
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,year_month,object,3232,full_file,3232,3232,0,58,,,,,,,,2021-07,56
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,routed_in_state,float64,3232,full_file,3232,3232,0,2710,1.0,1132.0,3012.5,6562.5,54057.0,5219.361386138614,6920.326195296283,10.0,7
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,answered_in_state,float64,3232,full_file,3232,3232,0,2541,0.0,934.75,2427.0,5436.0,45271.0,4337.658725247525,5938.967133360312,0.0,115
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate_reported,float64,3232,full_file,3232,3232,0,82,0.0,0.76,0.86,0.9,1.0,0.7949257425742575,0.19562799715501206,0.89,227
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,in_state_answer_rate,float64,3232,full_file,3232,3232,0,3084,0.0,0.7601352530541012,0.8546018414692038,0.8993463683207454,1.0,0.7930818178432425,0.1952823123360261,0.0,115
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_count,float64,3232,full_file,3232,3232,0,1240,0.0,90.0,332.5,668.0,5806.0,560.2964108910891,775.335692123592,0.0,104
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,abandoned_in_state_rate,float64,3232,full_file,3232,3232,0,3072,0.0,0.06758979262535107,0.09464877826519305,0.1281964694864593,1.0,0.105356998203839,0.0656584780119658,0.0,104
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,flowout_to_national_backup_count,float64,3232,full_file,3232,3232,0,858,0.0,26.0,90.0,279.5,6299.0,304.4545173267327,638.0194151912272,0.0,104
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,flowout_to_national_backup_rate,float64,3232,full_file,3232,3232,0,3020,0.0,0.013446335972450901,0.0397832992965736,0.09197609756922209,1.0,0.09028076884600138,0.17082670983387446,0.0,104
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,average_speed_to_answer_seconds,float64,3232,full_file,3232,3215,17,363,0.0,17.2,22.5,29.0,81.7,23.28317262830482,11.473054924867235,20.0,107
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,average_talk_time_seconds,float64,3232,full_file,3232,3215,17,725,0.0,672.0,792.0,906.0,2514.0,767.8758942457232,224.05277866985693,0.0,98
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,source_pdf,object,3232,full_file,3232,3232,0,58,,,,,,,,temp/raw_downloads/988_state_monthly_reports/2021-07_988_in_state_monthly_report.pdf,56
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,page,int64,3232,full_file,3232,3232,0,3,1,1.0,1.0,2.0,3,1.3477722772277227,0.49544628953219166,1,2138
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,raw_row_text,object,3232,full_file,3232,3232,0,3219,,,,,,,,AS 4 4 0 0% 0 4 00:00 00:00,3
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,fee_cents_max,float64,3232,full_file,3232,3221,11,13,0.0,0.0,0.0,0.0,60.0,2.6752561316361376,9.33267681294789,0.0,2878
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,fee_schedule_note,object,3232,full_file,3232,354,2878,15,,,,,,,,Postpaid wireless 12 cents; prepaid wireless 8 cents.,58
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,primary_policy_group,object,3232,full_file,3232,3232,0,5,,,,,,,,never_or_no_fee_reported,2482
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,actual_collection_start,object,3232,full_file,3232,580,2652,8,,,,,,,,2024-01-01,174
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,operational_start,object,3232,full_file,3232,580,2652,8,,,,,,,,2024-04-01,174
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,ever_core_fee_collection,bool,3232,full_file,3232,3232,0,2,0.0,0.0,0.0,0.0,1.0,0.17945544554455445,0.38379260428321715,False,2652
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,post_2024_monitor_policy,bool,3232,full_file,3232,3232,0,2,0.0,0.0,0.0,0.0,1.0,0.03589108910891089,0.18604738238891885,False,3116
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,established_not_collected_by_2024,bool,3232,full_file,3232,3232,0,2,0.0,0.0,0.0,0.0,1.0,0.01670792079207921,0.1281945822021429,False,3178
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,fee_collection_active,int64,3232,full_file,3232,3232,0,2,0,0.0,0.0,0.0,1,0.10952970297029703,0.31235097846925497,0,2878
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,operational_treatment_active,int64,3232,full_file,3232,3232,0,2,0,0.0,0.0,0.0,1,0.10024752475247525,0.3003762223532075,0,2908
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,months_since_collection_start,float64,3232,full_file,3232,580,2652,107,-48.0,-11.0,6.0,22.0,58.0,6.058620689655172,22.79184196747562,6.0,10
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,months_since_operational_start,float64,3232,full_file,3232,580,2652,107,-51.0,-14.0,3.0,19.0,55.0,3.0586206896551724,22.79184196747562,3.0,10
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,post2025_policy_monitor_active,int64,3232,full_file,3232,3232,0,2,0,0.0,0.0,0.0,1,0.006806930693069307,0.08223556896926847,0,3210
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,state_name,object,3232,full_file,3232,3232,0,56,,,,,,,,Alaska,58
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,primary_policy_group_timing,object,3232,full_file,3232,3232,0,5,,,,,,,,never_or_no_fee_reported,2482
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,first_revenue_year,float64,3232,full_file,3232,580,2652,5,2021.0,2022.0,2023.5,2024.0,2025.0,2023.1,1.3011221409081135,2024.0,232
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,fcc_confirmed_collection_by_2024,bool,3232,full_file,3232,3232,0,2,0.0,0.0,0.0,0.0,1.0,0.16150990099009901,0.368057559317777,False,2710
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,date_confidence,object,3232,full_file,3232,3232,0,5,,,,,,,,not_applicable,2482
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,source_ids,object,3232,full_file,3232,3232,0,10,,,,,,,,fcc_fee_report_2024,2710
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,policy_note,object,3232,full_file,3232,3232,0,14,,,,,,,,No FCC-reported state 988 telecom fee collection through the 2024 annual report.,2482
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,year,int64,3232,full_file,3232,3232,0,6,2021,2022.0,2023.0,2025.0,2026,2023.429764851485,1.4698093094531346,2024,672
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,population,float64,3232,full_file,3232,3016,216,260,579662.0,1875121.5,4390967.0,7653942.5,39364774.0,6557119.312334217,7409234.707333546,588753.0,16
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,population_lookup_year,int64,3232,full_file,3232,3232,0,5,2021,2022.0,2023.0,2025.0,2025,2023.3456064356435,1.343387995527054,2025,888
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,population_carried_forward,bool,3232,full_file,3232,3232,0,2,0.0,0.0,0.0,0.0,1.0,0.08044554455445545,0.2720238114815503,False,2972
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,has_population_denominator,bool,3232,full_file,3232,3232,0,2,0.0,1.0,1.0,1.0,1.0,0.9331683168316832,0.2497689160637179,True,3016
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,population_source_note,object,3232,full_file,3232,3232,0,2,,,,,,,,Vintage 2025 Census annual state resident population estimate.,2972
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,fee_revenue_nominal,float64,3232,full_file,3232,228,3004,19,0.0,7990541.35,14572050.92,27962314.0,46696385.73,18541741.63710526,14113193.763715731,44276000.0,24
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,fee_revenue_nominal_for_2021_2024,float64,3232,full_file,3232,2344,888,19,0.0,0.0,0.0,0.0,46696385.73,1803548.2479778153,7035528.602257655,0.0,2128
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,fee_revenue_per_capita,float64,3232,full_file,3232,228,3004,20,0.0,1.1247619508751656,2.4333382405149067,4.026721293452228,8.77284742834887,2.7564514960130713,2.2454145384414352,1.1300182812538324,12
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,fee_revenue_per_100k,float64,3232,full_file,3232,228,3004,20,0.0,112476.19508751656,243333.82405149064,402672.1293452228,877284.742834887,275645.1496013071,224541.45384414354,113001.82812538324,12
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,fee_revenue_per_routed_contact,float64,3232,full_file,3232,228,3004,20,0.0,102.9612162985494,171.46726202066515,345.8456686291001,1559.6019739292365,282.1319430848629,330.21061586783185,127.45219391294586,12
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,fee_active_months,int64,3232,full_file,3232,3232,0,6,0,0.0,0.0,0.0,12,1.1875,3.4398206552833206,0,2856
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,operational_active_months,int64,3232,full_file,3232,3232,0,6,0,0.0,0.0,0.0,12,1.088180693069307,3.251734223038701,0,2874
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,mechanism_observation_note,object,3232,full_file,3232,3232,0,3,,,,,,,,No fee collection active in this state-year.,2844
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,month_id,object,3232,full_file,3232,3232,0,58,,,,,,,,2021-07,56
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,calendar_month,int64,3232,full_file,3232,3232,0,12,1,4.0,7.0,10.0,12,6.590965346534653,3.4602243630380833,7,280
988_telecom_fee_crisis_performance,data/analysis_panel_state_month.csv,post_988_launch,int64,3232,full_file,3232,3232,0,2,0,1.0,1.0,1.0,1,0.7945544554455446,0.40408934051119944,1,2568
