model,outcome,term,estimate,std_error_cluster,t_stat,p_value,nobs,n_clusters,r2,left_out_state
leave_out_AK,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.023649123753660933,0.015427406980986455,-1.5329292720939658,0.1317250229214919,2878,50,0.5157981864342547,AK
leave_out_AL,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.018760650160373385,0.01551425159782416,-1.2092526695264196,0.23236824519125499,2878,50,0.5263230499019562,AL
leave_out_AR,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020883846261634833,0.015436272013681501,-1.352907375765666,0.18229496900422815,2878,50,0.5324739769934062,AR
leave_out_AZ,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.018963913864112905,0.015910957168669637,-1.191877626410488,0.23904992989026042,2878,50,0.5353208491891126,AZ
leave_out_CA,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.024213730850821468,0.015382775578415431,-1.574080745531861,0.12190412234687487,2878,50,0.5348463154906702,CA
leave_out_CO,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.023330072228484728,0.015070938013060618,-1.5480172639729968,0.12805323099140975,2878,50,0.5319301174748836,CO
leave_out_CT,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020284839474493534,0.015510394624242835,-1.3078222679639766,0.1970363297021589,2878,50,0.5292998299165549,CT
leave_out_DC,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.005565797154185254,0.011897723893121014,-0.46780352310943,0.6419991336784854,2878,50,0.552678349960801,DC
leave_out_DE,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.02136130701655022,0.015611220204959055,-1.3683303890470133,0.1774504416707523,2878,50,0.5293927318384462,DE
leave_out_FL,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.02035641347851227,0.015480206514623543,-1.314996247581217,0.19463224264266055,2878,50,0.5270935881746949,FL
leave_out_GA,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020510333015905498,0.015478555073014539,-1.3250805982312528,0.19129045404102873,2878,50,0.532298638090968,GA
leave_out_HI,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020235041671374084,0.015507072689548625,-1.3048911342894516,0.1980250120496314,2878,50,0.5346145995830143,HI
leave_out_IA,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020435244625749412,0.015627864092030007,-1.3076159675698167,0.19710579350259416,2878,50,0.5274133537155017,IA
leave_out_ID,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.021369722198972606,0.015957072350840006,-1.3392006835043064,0.18668466371083037,2878,50,0.531982114373561,ID
leave_out_IL,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.016730062382551612,0.015655132651233205,-1.0686630867502571,0.29045804944760567,2889,50,0.5322634888819073,IL
leave_out_IN,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020036325366919204,0.015610879064561541,-1.283484759830337,0.20535913369457015,2878,50,0.5248212315794292,IN
leave_out_KS,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020324799232722783,0.015470668412816888,-1.3137634839283623,0.19504377081342872,2878,50,0.5274495105230859,KS
leave_out_KY,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.01974410719904704,0.015564252397923268,-1.2685548071477875,0.21059356711952448,2878,50,0.5282534995302178,KY
leave_out_LA,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.019401273551008263,0.016043522028702954,-1.209290174333171,0.2323539717303451,2878,50,0.5325199211701229,LA
leave_out_MA,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.02012762519290925,0.01567833355038253,-1.2837860049493695,0.20525452952346712,2878,50,0.5268958248519758,MA
leave_out_MD,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020320578767024627,0.01547580397374321,-1.3130548048748376,0.19528064367702558,2878,50,0.5268389457696918,MD
leave_out_ME,in_state_answer_rate_rescue,post_launch_x_mismatch,-0.020336781396829668,0.015473215098687222,-1.3143216369140425,0.19485736358756767,2878,50,0.5283686428824023,ME
