design_family,design_name,outcome,treatment_or_exposure,sample,estimator,coefficient,std_error_or_interval,p_value,states,state_months,identifying_assumption,pretrends_pass,placebo_tests_pass,leave_one_out_survives,viability
fee_timing_sensitivity,enactment date,in_state_answer_rate_rescue,enacted_start,state/DC primary sample,not-yet-treated ATT,0.008974358974358974,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,enactment date,flowout_to_national_backup_rate,enacted_start,state/DC primary sample,not-yet-treated ATT,-0.0008834609608568305,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,enactment date,abandoned_in_state_rate,enacted_start,state/DC primary sample,not-yet-treated ATT,-0.002322286440077664,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,True,,,weak
fee_timing_sensitivity,enactment date,average_speed_to_answer_seconds,enacted_start,state/DC primary sample,not-yet-treated ATT,0.30769230769230904,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,collection start,in_state_answer_rate_rescue,collection_start_audit,state/DC primary sample,not-yet-treated ATT,0.023143482822174863,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,collection start,flowout_to_national_backup_rate,collection_start_audit,state/DC primary sample,not-yet-treated ATT,-0.009289496826281123,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,True,,,weak
fee_timing_sensitivity,collection start,abandoned_in_state_rate,collection_start_audit,state/DC primary sample,not-yet-treated ATT,-0.01278071100027558,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,True,,,weak
fee_timing_sensitivity,collection start,average_speed_to_answer_seconds,collection_start_audit,state/DC primary sample,not-yet-treated ATT,-1.5698351887508506,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,collection plus 0 months,in_state_answer_rate_rescue,operational_lag_0m_start,state/DC primary sample,not-yet-treated ATT,0.023143482822174863,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,collection plus 0 months,flowout_to_national_backup_rate,operational_lag_0m_start,state/DC primary sample,not-yet-treated ATT,-0.009289496826281123,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,True,,,weak
fee_timing_sensitivity,collection plus 0 months,abandoned_in_state_rate,operational_lag_0m_start,state/DC primary sample,not-yet-treated ATT,-0.01278071100027558,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,True,,,weak
fee_timing_sensitivity,collection plus 0 months,average_speed_to_answer_seconds,operational_lag_0m_start,state/DC primary sample,not-yet-treated ATT,-1.5698351887508506,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,collection plus 1 month,in_state_answer_rate_rescue,operational_lag_1m_start,state/DC primary sample,not-yet-treated ATT,0.035010282630262665,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,collection plus 1 month,flowout_to_national_backup_rate,operational_lag_1m_start,state/DC primary sample,not-yet-treated ATT,-0.009337829407080367,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,collection plus 1 month,abandoned_in_state_rate,operational_lag_1m_start,state/DC primary sample,not-yet-treated ATT,-0.02478721180212236,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,True,,,weak
fee_timing_sensitivity,collection plus 1 month,average_speed_to_answer_seconds,operational_lag_1m_start,state/DC primary sample,not-yet-treated ATT,-5.696597566075091,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,collection plus 3 months,in_state_answer_rate_rescue,operational_lag_3m_start,state/DC primary sample,not-yet-treated ATT,0.06765463038151011,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,original suggestive
fee_timing_sensitivity,collection plus 3 months,flowout_to_national_backup_rate,operational_lag_3m_start,state/DC primary sample,not-yet-treated ATT,-0.03754735263339221,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,original suggestive
fee_timing_sensitivity,collection plus 3 months,abandoned_in_state_rate,operational_lag_3m_start,state/DC primary sample,not-yet-treated ATT,-0.029027571818353026,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,True,,,original suggestive
fee_timing_sensitivity,collection plus 3 months,average_speed_to_answer_seconds,operational_lag_3m_start,state/DC primary sample,not-yet-treated ATT,-4.791736334229485,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,original suggestive
fee_timing_sensitivity,collection plus 6 months,in_state_answer_rate_rescue,operational_lag_6m_start,state/DC primary sample,not-yet-treated ATT,0.033311221997335654,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,collection plus 6 months,flowout_to_national_backup_rate,operational_lag_6m_start,state/DC primary sample,not-yet-treated ATT,-0.010903750327671465,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,True,,,weak
fee_timing_sensitivity,collection plus 6 months,abandoned_in_state_rate,operational_lag_6m_start,state/DC primary sample,not-yet-treated ATT,-0.02106550510984515,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,True,,,weak
fee_timing_sensitivity,collection plus 6 months,average_speed_to_answer_seconds,operational_lag_6m_start,state/DC primary sample,not-yet-treated ATT,-1.9244118630924996,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,collection plus 12 months,in_state_answer_rate_rescue,operational_lag_12m_start,state/DC primary sample,not-yet-treated ATT,0.006583833772455352,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,collection plus 12 months,flowout_to_national_backup_rate,operational_lag_12m_start,state/DC primary sample,not-yet-treated ATT,-0.0033975349701897634,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,True,,,weak
fee_timing_sensitivity,collection plus 12 months,abandoned_in_state_rate,operational_lag_12m_start,state/DC primary sample,not-yet-treated ATT,-0.003199724244672269,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,collection plus 12 months,average_speed_to_answer_seconds,operational_lag_12m_start,state/DC primary sample,not-yet-treated ATT,0.47434538565527784,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,first positive annual revenue,in_state_answer_rate_rescue,first_revenue_positive_start,state/DC primary sample,not-yet-treated ATT,0.02620681777515297,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,first positive annual revenue,flowout_to_national_backup_rate,first_revenue_positive_start,state/DC primary sample,not-yet-treated ATT,-0.013577992813756054,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,True,,,weak
fee_timing_sensitivity,first positive annual revenue,abandoned_in_state_rate,first_revenue_positive_start,state/DC primary sample,not-yet-treated ATT,-0.011352377271443725,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,True,,,weak
fee_timing_sensitivity,first positive annual revenue,average_speed_to_answer_seconds,first_revenue_positive_start,state/DC primary sample,not-yet-treated ATT,-1.3979764190612913,,,51,2936,not-yet-treated states are valid counterfactual conditional on timing,False,,,weak
fee_timing_sensitivity,enactment date,in_state_answer_rate_rescue,enacted_active,state/DC primary sample,state and month FE OLS,-0.015664244090952406,0.023725578804103538,0.5121390206825822,51,2936,parallel trends after fixed effects,,,,weak
fee_timing_sensitivity,enactment date,flowout_to_national_backup_rate,enacted_active,state/DC primary sample,state and month FE OLS,0.011258089768033028,0.017421868530723944,0.5211020492492169,51,2936,parallel trends after fixed effects,,,,weak
fee_timing_sensitivity,enactment date,abandoned_in_state_rate,enacted_active,state/DC primary sample,state and month FE OLS,0.0058120898667539805,0.012180245627548398,0.6353177951368421,51,2936,parallel trends after fixed effects,,,,weak
fee_timing_sensitivity,enactment date,average_speed_to_answer_seconds,enacted_active,state/DC primary sample,state and month FE OLS,-1.8471152791533112,3.149077770523113,0.560139934209607,51,2936,parallel trends after fixed effects,,,,weak
fee_timing_sensitivity,collection start,in_state_answer_rate_rescue,collection_start_audit_active,state/DC primary sample,state and month FE OLS,-0.009511017834965378,0.022017501521324787,0.6676165421567872,51,2936,parallel trends after fixed effects,,,,weak
fee_timing_sensitivity,collection start,flowout_to_national_backup_rate,collection_start_audit_active,state/DC primary sample,state and month FE OLS,0.012207875458480233,0.018235085684187656,0.5062744264146437,51,2936,parallel trends after fixed effects,,,,weak
fee_timing_sensitivity,collection start,abandoned_in_state_rate,collection_start_audit_active,state/DC primary sample,state and month FE OLS,-0.0011538090930910314,0.009064258007884157,0.8992197166603297,51,2936,parallel trends after fixed effects,,,,weak
