model,outcome,term,estimate,std_error_cluster,t_stat,p_value,nobs,n_clusters,r2,design_family,treatment_definition,sample_note
"observed annual revenue per capita, same year",in_state_answer_rate_rescue,fee_revenue_per_capita_observed_2021_2024,-0.005613200849841131,0.005941310684974627,-0.9447748396724522,0.3493171458578712,2936,51,0.5245000141308707,revenue_intensity,"observed annual revenue per capita, same year",state/DC primary sample; annual revenue only observed through 2024
"observed annual revenue per capita, same year",flowout_to_national_backup_rate,fee_revenue_per_capita_observed_2021_2024,0.005572904622443574,0.005084774437502876,1.0959983950006675,0.27833050635670586,2936,51,0.3780603107420033,revenue_intensity,"observed annual revenue per capita, same year",state/DC primary sample; annual revenue only observed through 2024
"observed annual revenue per capita, same year",abandoned_in_state_rate,fee_revenue_per_capita_observed_2021_2024,-6.0570425397225445e-05,0.0011030268090027147,-0.054912922245280056,0.9564266741519449,2936,51,0.6454420552891911,revenue_intensity,"observed annual revenue per capita, same year",state/DC primary sample; annual revenue only observed through 2024
"observed annual revenue per capita, same year",average_speed_to_answer_seconds,fee_revenue_per_capita_observed_2021_2024,-0.8784603898075012,0.3538310539535181,-2.4827113957128883,0.016439440548959183,2936,51,0.614109964372172,revenue_intensity,"observed annual revenue per capita, same year",state/DC primary sample; annual revenue only observed through 2024
"observed annual revenue per capita, 12-month lag",in_state_answer_rate_rescue,lag12_revenue_per_capita,0.0041610904620299404,0.0027097633812084403,1.5355918125125263,0.1309428596106439,2936,51,0.523888859185027,revenue_intensity,"observed annual revenue per capita, 12-month lag",state/DC primary sample; annual revenue only observed through 2024
"observed annual revenue per capita, 12-month lag",flowout_to_national_backup_rate,lag12_revenue_per_capita,-0.0017217284322793977,0.002379150532206063,-0.7236736007128258,0.47263843325623767,2936,51,0.37544696750572915,revenue_intensity,"observed annual revenue per capita, 12-month lag",state/DC primary sample; annual revenue only observed through 2024
"observed annual revenue per capita, 12-month lag",abandoned_in_state_rate,lag12_revenue_per_capita,-0.001931754741904049,0.0027874112294146163,-0.693028255579546,0.49149852975258645,2936,51,0.6460785373011135,revenue_intensity,"observed annual revenue per capita, 12-month lag",state/DC primary sample; annual revenue only observed through 2024
"observed annual revenue per capita, 12-month lag",average_speed_to_answer_seconds,lag12_revenue_per_capita,0.14665028304299088,0.6109863985317447,0.24002217299011025,0.8112944017943029,2936,51,0.6105901609419748,revenue_intensity,"observed annual revenue per capita, 12-month lag",state/DC primary sample; annual revenue only observed through 2024
statutory fee amount per line,in_state_answer_rate_rescue,fee_amount_per_line_dollars,0.008085099655659086,0.056606863641292846,0.14282896340791565,0.8869992963044799,2925,51,0.5245977499383652,revenue_intensity,statutory fee amount per line,state/DC primary sample; annual revenue only observed through 2024
statutory fee amount per line,flowout_to_national_backup_rate,fee_amount_per_line_dollars,-0.002534603208813975,0.06314874640845837,-0.04013703126297502,0.9681437202998602,2925,51,0.37573580708847887,revenue_intensity,statutory fee amount per line,state/DC primary sample; annual revenue only observed through 2024
statutory fee amount per line,abandoned_in_state_rate,fee_amount_per_line_dollars,-0.0012889897815898269,0.021894024130856775,-0.058874045898815085,0.9532871058644627,2925,51,0.6464916276865598,revenue_intensity,statutory fee amount per line,state/DC primary sample; annual revenue only observed through 2024
statutory fee amount per line,average_speed_to_answer_seconds,fee_amount_per_line_dollars,-0.6563250442196615,8.451687648269196,-0.0776560932601513,0.9384115547680323,2925,51,0.6113131440835387,revenue_intensity,statutory fee amount per line,state/DC primary sample; annual revenue only observed through 2024
att_first_positive_revenue,in_state_answer_rate_rescue,first_revenue_positive_start,0.02620681777515297,,,,2936,51,,revenue_intensity,event time by first positive annual revenue year,timing is annual and mechanically coarsened
att_first_positive_revenue,flowout_to_national_backup_rate,first_revenue_positive_start,-0.013577992813756054,,,,2936,51,,revenue_intensity,event time by first positive annual revenue year,timing is annual and mechanically coarsened
att_first_positive_revenue,abandoned_in_state_rate,first_revenue_positive_start,-0.011352377271443725,,,,2936,51,,revenue_intensity,event time by first positive annual revenue year,timing is annual and mechanically coarsened
att_first_positive_revenue,average_speed_to_answer_seconds,first_revenue_positive_start,-1.3979764190612913,,,,2936,51,,revenue_intensity,event time by first positive annual revenue year,timing is annual and mechanically coarsened
