project,dataset_path,variable,rank,value,count_in_profile,profile_basis,profile_rows
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,facility_id,1,131855B,3,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,facility_id,2,914773L,3,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,facility_id,3,131892H,3,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,facility_id,4,131918E,3,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,facility_id,5,131940A,3,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,facility_id,6,131964C,3,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,facility_id,7,132022K,3,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,facility_id,8,132040H,3,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,facility_id,9,167250J,3,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,facility_id,10,132085E,3,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state,1,CA,12352,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state,2,NY,7039,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state,3,OH,5354,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state,4,FL,5350,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state,5,PA,4824,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state,6,IL,4619,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state,7,MD,4284,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state,8,TX,4260,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state,9,NC,4036,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state,10,AZ,3591,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,year,1,2021,32371,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,year,2,2022,31010,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,year,3,2023,29113,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,year,4,2024,27957,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,source_flags_x,1,N-SUMHSS_2021_PUF,32371,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,source_flags_x,2,N-SUMHSS_2022_PUF,31010,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,source_flags_x,3,N-SUMHSS_2023_PUF,29113,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,source_flags_x,4,N-SUMHSS_2024_PUF,27957,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,missingness_flags_x,1,,120451,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,mh_facility,1,1.0,62805,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,su_facility,1,1.0,83033,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,crisis_intervention,1,1.0,24103,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,crisis_intervention,2,0.0,21100,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,moud_any,1,1.0,37568,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,moud_any,2,0.0,27804,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,buprenorphine,1,0.0,34288,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,buprenorphine,2,1.0,31033,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,methadone_otp,1,0.0,56736,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,methadone_otp,2,1.0,8505,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,naltrexone,1,0.0,36561,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,naltrexone,2,1.0,28750,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,integrated_primary_care,1,0.0,60898,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,integrated_primary_care,2,1.0,24934,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,care_coordination_case_mgmt,1,1.0,70703,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,care_coordination_case_mgmt,2,0.0,15390,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,consumer_peer_family_support,1,1.0,36259,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,consumer_peer_family_support,2,0.0,8751,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,sliding_fee_or_low_payment,1,1.0,59766,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,sliding_fee_or_low_payment,2,0.0,26937,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,suicide_prevention,1,1.0,52764,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,suicide_prevention,2,0.0,33166,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,telehealth,1,1.0,67743,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,telehealth,2,0.0,7989,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,youth_adolescent,1,1.0,29647,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,youth_adolescent,2,0.0,15570,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,sign_language,1,0.0,46629,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,sign_language,2,1.0,40144,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_name,1,California,12352,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_name,2,New York,7039,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_name,3,Ohio,5354,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_name,4,Florida,5350,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_name,5,Pennsylvania,4824,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_name,6,Illinois,4619,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_name,7,Maryland,4284,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_name,8,Texas,4260,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_name,9,North Carolina,4036,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_name,10,Arizona,3591,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_fips,1,06,12352,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_fips,2,36,7039,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_fips,3,39,5354,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_fips,4,12,5350,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_fips,5,42,4824,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_fips,6,17,4619,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_fips,7,24,4284,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_fips,8,48,4260,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_fips,9,37,4036,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,state_fips,10,04,3591,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,original_demo_state,1,0.0,95590,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,original_demo_state,2,1.0,24147,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,cares_added_demo_state,1,0.0,113350,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,cares_added_demo_state,2,1.0,6387,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,treated_state_2024,1,0.0,104056,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,treated_state_2024,2,1.0,15681,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,selected_2026_cohort,1,0.0,103592,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,selected_2026_cohort,2,1.0,16145,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,planning_grant_2023,1,0.0,96497,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,planning_grant_2023,2,1.0,23240,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,planning_grant_2025,1,0.0,95824,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,planning_grant_2025,2,1.0,23913,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,planning_grant_not_selected_2024,1,0.0,104649,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,planning_grant_not_selected_2024,2,1.0,15088,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,not_yet_treated_2026,1,0.0,103592,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,not_yet_treated_2026,2,1.0,16145,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_selected_date_2024,1,,104056,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_selected_date_2024,2,2024-06-04,15681,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_selected_date_2026,1,,103592,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_selected_date_2026,2,2026-05-28,16145,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_window_start,1,,87911,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_window_start,2,2026-07-01,16145,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_window_start,3,2024-07-01,15681,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_window_end,1,,87911,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_window_end,2,2027-07-01,16145,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_window_end,3,2025-07-01,15681,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_date,1,,106394,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_date,2,2024-10-01,5084,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_date,3,2025-01-01,2910,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_date,4,2025-07-01,1963,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_date,5,2024-07-01,1880,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_date,6,2025-03-01,1506,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_year,1,2024.0,6964,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_year,2,2025.0,6379,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_confidence,1,,104056,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_confidence,2,medium,9035,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_confidence,3,high,2428,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_confidence,4,unverified,2338,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_confidence,5,low,1880,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_evidence,1,,106394,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_evidence,2,"state evidence: HFS kickoff/certification materials indicate sites operationally compliant Oct. 1, 2024",4619,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_evidence,3,"state evidence: Indiana bulletin describes CCBHC claims for dates of service on or after Jan. 1, 2025",2910,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_evidence,4,"state evidence: MaineCare comment summary gives planned implementation March 1, 2025",1506,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_evidence,5,"state evidence: Iowa HHS materials state the demonstration began July 1, 2025",1487,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_evidence,6,"state legislative/budget sources indicate statewide CCBHC certification by July 1, 2024; payment start not independently verified",1127,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_evidence,7,state evidence implies a four-year demonstration through June 2028 after June 2024 selection; exact payment date not independently verified,753,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_evidence,8,"state evidence: Vermont certification/budget materials state demonstration begins July 1, 2025",476,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,demo_start_evidence,9,"state evidence: Rhode Island CCBHC page and operations manual state launch/DY1 on Oct. 1, 2024",465,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,post_selection_2024,1,0.0,91919,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,post_selection_2024,2,1.0,27818,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,treated_post_selection_2024,1,0.0,116075,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,treated_post_selection_2024,2,1.0,3662,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,post_verified_demo_start,1,0.0,118144,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,post_verified_demo_start,2,1.0,1593,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,event_time_selection_2024,1,-3.0,4169,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,event_time_selection_2024,2,-2.0,3999,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,event_time_selection_2024,3,-1.0,3851,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,event_time_selection_2024,4,0.0,3662,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,eligible_all_non_original_control,1,1.0,73522,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,eligible_all_non_original_control,2,0.0,46215,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,eligible_planning_control,1,0.0,104649,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,eligible_planning_control,2,1.0,15088,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,eligible_not_yet_control,1,0.0,103592,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,eligible_not_yet_control,2,1.0,16145,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,source_flags_y,1,federal_policy,106394,full_file,120451
ccbhc_expansion_capacity,data/analysis_facility_year.parquet,source_flags_y,2,federal_policy;state_start_evidence,13343,full_file,120451
