state,treated_state_2024,propensity_score
AK,0,0.37275920126785145
AL,1,0.1581234692467448
AR,0,0.25233906855150556
AZ,0,0.24066153341499555
CA,0,0.16670173883815337
CO,0,0.22381409669199764
CT,0,0.30728501453593066
DC,0,0.21058691643670527
DE,0,0.2682438138069543
FL,0,0.17042993674729645
GA,0,0.1519780958074706
HI,0,0.11049680286583376
IA,1,0.18255463804949557
ID,0,0.1957971409745401
IL,1,0.1730754357155306
IN,1,0.3243621946122616
KS,1,0.18068027952353624
LA,0,0.2162499612109464
MA,0,0.27856247535194206
MD,0,0.3635994641995493
ME,1,0.49744584563673405
MS,0,0.22265616944649722
MT,0,0.24000544330964274
NC,0,0.22614978837214053
ND,0,0.2582822589380623
NE,0,0.1587522229392114
NH,1,0.40939203868039503
NM,1,0.22271287921203187
OH,0,0.2646678817286749
RI,1,0.2714634399713726
SC,0,0.14994695455947038
SD,0,0.14479900662016962
TN,0,0.20959112957592144
TX,0,0.1313703859910182
UT,0,0.3316624193482159
VA,0,0.21538250999472355
VT,1,0.40231637380910995
WA,0,0.1807696077776067
WI,0,0.2156443170244318
WV,0,0.4472361302543309
WY,0,0.2515363376708881
