treated_state,year,actual,synthetic,gap
AL,2021,11.586002999289391,11.5855353547079,0.00046764458149084476
AL,2022,12.076007534010312,12.076193147859684,-0.00018561384937143544
AL,2023,11.997640333800147,11.997814167674226,-0.00017383387407932105
AL,2024,10.857554890271805,13.31699578619324,-2.4594408959214356
IA,2021,19.38340149308466,19.007574068646502,0.37582742443815675
IA,2022,17.26603430726672,18.037321306741017,-0.7712869994742952
IA,2023,19.792357353653074,19.487487373433304,0.3048699802197703
IA,2024,20.083369119367404,21.999625664821338,-1.9162565454539333
IL,2021,18.117195817124504,18.11719636738814,-5.50263635545889e-07
IL,2022,16.899304783358915,16.89930616368529,-1.380326374089691e-06
IL,2023,16.421115878103745,16.421117555539684,-1.6774359394844396e-06
IL,2024,17.545021863614913,17.36092053320789,0.18410133040702448
IN,2021,22.696905929027494,22.696905803784382,1.2524311188144566e-07
IN,2022,22.864923818895193,22.86492346380863,3.5508656281990625e-07
IN,2023,24.156516787253032,24.15651657091386,2.1633917413055315e-07
IN,2024,24.84014571922692,26.67168227131088,-1.831536552083957
KS,2021,16.369798164812895,16.369796243992013,1.920820881906593e-06
KS,2022,18.350035610644248,18.350036315288005,-7.046437566771147e-07
KS,2023,16.500084702693545,16.50008292382376,1.77886978391939e-06
KS,2024,19.962256859374822,17.510364816409137,2.451892042965685
ME,2021,35.46225300613301,35.46261575819584,-0.0003627520628270986
ME,2022,36.16306306176766,36.1632062360127,-0.00014317424503929033
ME,2023,35.580425336120705,35.58050162990658,-7.629378587381552e-05
ME,2024,36.93918628452995,36.330915096251374,0.6082711882785787
NH,2021,26.230888023653918,26.566943181973507,-0.33605515831958854
NH,2022,29.35537038601596,28.650602056547072,0.7047683294688873
NH,2023,26.03054202720156,26.37819319130414,-0.34765116410257946
NH,2024,25.97527948265192,28.92573234173931,-2.950452859087388
NM,2021,18.419398365774303,19.716812104060345,-1.2974137382860427
NM,2022,21.28798960010748,21.80760593604279,-0.5196163359353108
NM,2023,24.043402584618633,22.418699563118224,1.6247030215004088
NM,2024,23.65912829256202,23.766951968298294,-0.10782367573627383
RI,2021,18.318590361687352,18.318836790077512,-0.00024642839015953655
RI,2022,19.46342785525758,19.46311503816837,0.00031281708920971596
RI,2023,20.11910145555355,20.11877043959645,0.0003310159571014992
RI,2024,19.598888077762634,22.26593972143226,-2.6670516436696268
VT,2021,40.635960507408726,40.635963010680186,-2.5032714603412387e-06
VT,2022,39.343230341499236,39.343227839923806,2.501575430358116e-06
VT,2023,39.000598111939425,39.0006081193009,-1.0007361474606569e-05
VT,2024,40.40136130999101,39.35205459005486,1.0493067199361477
