term,coef,se,t,p,n,df,outcome,model_status,pretrend_wald,pretrend_p
event_-3,0.022310656663114416,0.8188938576606144,0.027244869960132163,0.9783999043391987,164,40,facility_per100k,ok,0.029939363688080298,0.9851418068332428
event_-2,0.1319099338919838,0.771983089683094,0.17087153288051168,0.8651862096829022,164,40,facility_per100k,ok,0.029939363688080298,0.9851418068332428
event_0,0.3298232254868977,0.2991395045632552,1.1025732825506975,0.2768022960486278,164,40,facility_per100k,ok,0.029939363688080298,0.9851418068332428
event_-3,-0.36360381047960966,0.19296384252637508,-1.8843105823305255,0.06680483434189921,164,40,crisis_intervention_per100k,ok,5.048008295468065,0.08013807874988421
event_-2,-0.1988647670915669,0.16251428921356126,-1.223675579876162,0.22823414436570122,164,40,crisis_intervention_per100k,ok,5.048008295468065,0.08013807874988421
event_0,-0.057212292205467544,0.1592244372078695,-0.35931853934441094,0.7212467754175909,164,40,crisis_intervention_per100k,ok,5.048008295468065,0.08013807874988421
event_-3,-0.28388733348849937,0.19066975052548127,-1.4888954997114785,0.1443575508302184,164,40,moud_any_per100k,ok,2.6104425511622478,0.27111253782352773
event_-2,-0.13091414888673192,0.20866085317706612,-0.6274015796132126,0.5339613530858682,164,40,moud_any_per100k,ok,2.6104425511622478,0.27111253782352773
event_0,-0.1521731260224249,0.15426289880029284,-0.9864531731601041,0.32984044631073384,164,40,moud_any_per100k,ok,2.6104425511622478,0.27111253782352773
event_-3,-0.254339499229481,0.18388501863992754,-1.383144212131349,0.17429288756102723,164,40,integrated_primary_care_per100k,ok,5.055546337970002,0.0798366051152144
event_-2,-0.18468320937021387,0.10418198852455973,-1.7726980640869308,0.08389457863093952,164,40,integrated_primary_care_per100k,ok,5.055546337970002,0.0798366051152144
event_0,-0.12173636733873447,0.10728398180806281,-1.134711494550303,0.2632504499829218,164,40,integrated_primary_care_per100k,ok,5.055546337970002,0.0798366051152144
event_-3,-0.7067120123818879,0.27406405833237885,-2.5786380625102003,0.013704750217857331,164,40,care_coordination_case_mgmt_per100k,ok,12.665192383781505,0.001777413267930239
event_-2,-0.5226374842610684,0.21308516036647024,-2.452716478999386,0.018635101106808438,164,40,care_coordination_case_mgmt_per100k,ok,12.665192383781505,0.001777413267930239
event_0,-0.23656792979559751,0.15846781027464388,-1.4928453254045517,0.14332397531510677,164,40,care_coordination_case_mgmt_per100k,ok,12.665192383781505,0.001777413267930239
event_-3,-0.5568590223675682,0.2346313729648808,-2.3733357365253873,0.02252083747334388,164,40,sliding_fee_or_low_payment_per100k,ok,8.31036382368194,0.015682937958000354
event_-2,-0.37813839229216417,0.23108649952556146,-1.6363499947790618,0.10961173988361184,164,40,sliding_fee_or_low_payment_per100k,ok,8.31036382368194,0.015682937958000354
event_0,0.13953144821709437,0.11432455873161491,1.2204853424770652,0.22942728505505872,164,40,sliding_fee_or_low_payment_per100k,ok,8.31036382368194,0.015682937958000354
event_-3,-2.165401677947046,0.7663252701514297,-2.825695252773215,0.007327245706971297,164,40,targeted_services_per100k,ok,12.692141491556194,0.0017536240515473311
event_-2,-1.4152380019017463,0.6522742978875595,-2.1696976356191,0.036027829064594785,164,40,targeted_services_per100k,ok,12.692141491556194,0.0017536240515473311
event_0,-0.42815826714513106,0.4593014118382736,-0.9321945374204326,0.35682882887892675,164,40,targeted_services_per100k,ok,12.692141491556194,0.0017536240515473311
