source_name,agency_or_owner,source_type,URL_or_access_path,access_date,years_covered,geography,unit,row_count,column_count,checksum_if_possible,license_or_access_note,status,caveats
Medicaid.gov CCBHC Demonstration page,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\Medicaid_gov_CCBHC_Demonstration_page.html,2026-07-07,,US/state,policy source,,,,public web source,failed: 403 Client Error: Forbidden for url: https://www.medicaid.gov/medicaid/financial-management/certified-community-behavioral-health-clinic-ccbhc-demonstration,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
CMS 2024 cohort press release,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\CMS_2024_cohort_press_release.html,2026-07-07,,US/state,policy source,,,fb2c4803313eeed72792b308ac942dd9efdd20c3afb4448f2721b1deca349943,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
SAMHSA CCBHC history/background,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\SAMHSA_CCBHC_history_background.html,2026-07-07,,US/state,policy source,,,ddc977030a2c9e7dc5db42c477414edcc395d88ba21d7a029cefa647986bb554,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
SAMHSA Section 223 page,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\SAMHSA_Section_223_page.html,2026-07-07,,US/state,policy source,,,d39863681d9a378167090bd4e69e3155083ce32a80834dcd8a4a55bba27b7ce7,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
SAMHSA CCBHC expansion grants,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\SAMHSA_CCBHC_expansion_grants.html,2026-07-07,,US/state,policy source,,,1d5ac534f348fca28b1e0d3e13f232f65cfcd4e3e88bc231f3d5e3780334d260,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
SAMHSA certification criteria,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\SAMHSA_certification_criteria.html,2026-07-07,,US/state,policy source,,,,public web source,failed: 404 Client Error: Not Found for url: https://www.samhsa.gov/communities/certified-community-behavioral-health-clinics/certification-criteria,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
SAMHSA evaluations and reports,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\SAMHSA_evaluations_and_reports.html,2026-07-07,,US/state,policy source,,,85359a658423c87fbf85673f58901ea2c78af1c9902e90a7f65da36507529b4e,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
N-SUMHSS datafiles,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\N_SUMHSS_datafiles.html,2026-07-07,,US/state,policy source,,,a68ffc8bb79e3cf887c0e85158368f79c86a2d237753cefac93d17df8cf77966,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
TEDS datafiles,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\TEDS_datafiles.html,2026-07-07,,US/state,policy source,,,59e26dd92e40311e51f563bf042090c4fae1385bc7ddc68c13a17195397ff308,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
CDC WONDER,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\CDC_WONDER.html,2026-07-07,,US/state,policy source,,,,public web source,failed: 403 Client Error: Forbidden for url: https://wonder.cdc.gov/,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
HRSA AHRF,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\HRSA_AHRF.html,2026-07-07,,US/state,policy source,,,5f9446f8223c2ceb3859c82fda777bc44b74a5352bab6a06fed91dd4cab9db7a,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
HRSA HPSA,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\HRSA_HPSA.html,2026-07-07,,US/state,policy source,,,318167a135e5474e2eb51a113bb163ac792fe9c2840134e33940581dd906abad,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
National Council CCBHC locator,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\National_Council_CCBHC_locator.html,2026-07-07,,US/state,policy source,,,6e8dcf42a076c5d9b07a05b055738220a989b8d98734374a8fdcacd42dbd1003,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
Alabama CCBHC press release,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\Alabama_CCBHC_press_release.html,2026-07-07,,US/state,policy source,,,9cd3e9ef6488bcb5b9588c9756999c1ce0e75b35820ec668bf71d939c72f522a,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
Illinois CCBHC initiative,official or high-quality public source,webpage/pdf snapshot,C:\Users\PC\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\ccbhc_expansion_capacity\temp\source_snapshots\Illinois_CCBHC_initiative.html,2026-07-07,,US/state,policy source,,,74d11a07bf935a8c349ec85c9b516ae6a07cc29cbdce986f7dc74996d64a4b44,public web source,cached,State source list is targeted to auditable start-date evidence; missing 2024 states are documented in treatment notes.
