project,dataset_path,variable,dtype,row_count,profile_basis,profile_rows,nonmissing_in_profile,missing_in_profile,unique_in_profile,min,p25,median,p75,max,mean,std,top_value,top_value_count
children_medicaid_chip_ce,data/acs_state_age_year.parquet,year,int64,510,full_file,510,510,0,5,2019,2021.0,2022.0,2023.0,2024,2021.8,1.7221542683990392,2019,102
children_medicaid_chip_ce,data/acs_state_age_year.parquet,state,object,510,full_file,510,510,0,51,,,,,,,,Alabama,10
children_medicaid_chip_ce,data/acs_state_age_year.parquet,state_abbr,object,510,full_file,510,510,0,51,,,,,,,,AL,10
children_medicaid_chip_ce,data/acs_state_age_year.parquet,state_fips,object,510,full_file,510,510,0,51,1,16.0,29.0,42.0,56,28.96078431372549,15.692227480919225,01,10
children_medicaid_chip_ce,data/acs_state_age_year.parquet,age_group,object,510,full_file,510,510,0,2,,,,,,,,child_under19,255
children_medicaid_chip_ce,data/acs_state_age_year.parquet,child_group,int64,510,full_file,510,510,0,2,0,0.0,0.5,1.0,1,0.5,0.5004909181349447,1,255
children_medicaid_chip_ce,data/acs_state_age_year.parquet,population_thousands,float64,510,full_file,510,510,0,460,122.0,721.25,1534.5,3330.75,23854.0,2670.3254901960786,3527.9388668553233,190.0,3
children_medicaid_chip_ce,data/acs_state_age_year.parquet,any_insurance_thousands,float64,510,full_file,510,510,0,458,118.0,667.5,1414.5,3079.25,21640.0,2404.478431372549,3084.1581215604556,214.0,3
children_medicaid_chip_ce,data/acs_state_age_year.parquet,any_insurance_percent,float64,510,full_file,510,510,0,150,75.5,89.725,92.9,95.5,98.7,92.07039215686275,4.297201291791909,96.6,12
children_medicaid_chip_ce,data/acs_state_age_year.parquet,private_insurance_thousands,float64,510,full_file,510,510,0,455,75.0,439.0,993.0,2509.5,16623.0,1860.6843137254903,2484.4338573804794,669.0,3
children_medicaid_chip_ce,data/acs_state_age_year.parquet,private_insurance_percent,float64,510,full_file,510,510,0,261,40.7,62.824999999999996,69.3,75.375,85.1,68.28980392156863,8.7172149736395,76.3,6
children_medicaid_chip_ce,data/acs_state_age_year.parquet,public_insurance_thousands,float64,510,full_file,510,510,0,406,32.0,163.25,463.5,783.0,6069.0,656.2294117647059,822.3842931718978,92.0,4
children_medicaid_chip_ce,data/acs_state_age_year.parquet,public_insurance_percent,float64,510,full_file,510,510,0,286,8.3,18.625,27.25,37.7,60.7,28.499215686274507,11.406503822056193,21.0,6
children_medicaid_chip_ce,data/acs_state_age_year.parquet,medicaid_thousands,float64,510,full_file,510,510,0,386,23.0,139.25,415.5,665.25,5585.0,592.035294117647,765.0123685900048,40.0,4
children_medicaid_chip_ce,data/acs_state_age_year.parquet,medicaid_percent,float64,510,full_file,510,510,0,294,6.3,15.525,24.65,37.3,60.5,26.568039215686277,12.704963143814663,16.0,5
children_medicaid_chip_ce,data/acs_state_age_year.parquet,uninsured_thousands,float64,510,full_file,510,510,0,288,2.0,40.25,91.5,294.25,4223.0,265.89607843137253,520.5506935376687,11.0,8
children_medicaid_chip_ce,data/acs_state_age_year.parquet,uninsured_percent,float64,510,full_file,510,510,0,150,1.3,4.5,7.1,10.275,24.5,7.929607843137256,4.297201291791909,3.4,12
children_medicaid_chip_ce,data/acs_state_age_year.parquet,source_file,object,510,full_file,510,510,0,5,,,,,,,,census_hi05_acs_2019.xlsx,102
children_medicaid_chip_ce,data/acs_state_age_year.parquet,post2024,int64,510,full_file,510,510,0,2,0,0.0,0.0,0.0,1,0.2,0.4003927345079558,0,408
children_medicaid_chip_ce,data/analysis_metadata.json,directories,object,11,full_file,11,5,6,5,,,,,,,,data,1
children_medicaid_chip_ce,data/analysis_metadata.json,package_versions,object,11,full_file,11,6,5,6,,,,,,,,3.10.8,1
children_medicaid_chip_ce,data/analysis_metadata.json,project,object,11,full_file,11,11,0,1,,,,,,,,children_medicaid_chip_ce,11
children_medicaid_chip_ce,data/analysis_metadata.json,root,object,11,full_file,11,11,0,1,,,,,,,,D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\children_medicaid_chip_ce,11
children_medicaid_chip_ce,data/enrollment_state_group_month.parquet,state_name,object,10098,full_file,10098,10098,0,51,,,,,,,,Alaska,198
children_medicaid_chip_ce,data/enrollment_state_group_month.parquet,state_abbr,object,10098,full_file,10098,10098,0,51,,,,,,,,AK,198
children_medicaid_chip_ce,data/enrollment_state_group_month.parquet,state_fips,object,10098,full_file,10098,10098,0,51,1,16.0,29.0,42.0,56,28.96078431372549,15.677611687658366,02,198
children_medicaid_chip_ce,data/enrollment_state_group_month.parquet,month,object,10098,full_file,10098,10098,0,99,,,,,,,,2018-01-01,102
children_medicaid_chip_ce,data/enrollment_state_group_month.parquet,reporting_period,int64,10098,full_file,10098,10098,0,99,201801,202001.0,202202.0,202403.0,202603,202170.0,238.2399786184145,201801,102
children_medicaid_chip_ce,data/enrollment_state_group_month.parquet,preliminary_or_updated,object,10098,full_file,10098,10098,0,2,,,,,,,,U,9996
children_medicaid_chip_ce,data/enrollment_state_group_month.parquet,final_report,object,10098,full_file,10098,10098,0,2,,,,,,,,Y,9996
children_medicaid_chip_ce,data/enrollment_state_group_month.parquet,medicaid_expansion_status,object,10098,full_file,10098,10098,0,2,,,,,,,,Y,7478
children_medicaid_chip_ce,data/enrollment_state_group_month.parquet,total_enrollment,float64,10098,full_file,10098,10098,0,5038,0.0,353233.0,1044058.0,1818912.0,14462560.0,1576765.4177064765,2064773.5297207257,1247433.0,4
children_medicaid_chip_ce,data/enrollment_state_group_month.parquet,total_medicaid_enrollment,float64,10098,full_file,10098,10098,0,5036,0.0,320336.0,958472.0,1653118.0,13160563.0,1438315.5743711626,1872600.698558091,1600604.0,4
children_medicaid_chip_ce,data/enrollment_state_group_month.parquet,total_chip_enrollment,float64,10098,full_file,10098,10098,0,4944,0.0,26175.0,80052.0,173490.0,1317347.0,138449.84333531393,202582.8193623782,14661.0,8
children_medicaid_chip_ce,data/enrollment_state_group_month.parquet,enrollment,float64,10098,full_file,10098,10098,0,9958,0.0,174110.0,522172.0,901965.0,9122656.0,788382.7088532383,1090783.7706511123,0.0,95
children_medicaid_chip_ce,data/enrollment_state_group_month.parquet,group,object,10098,full_file,10098,10098,0,2,,,,,,,,adult,5049
children_medicaid_chip_ce,data/enrollment_state_group_month.parquet,child_group,int64,10098,full_file,10098,10098,0,2,0,0.0,0.5,1.0,1,0.5,0.5000247592166336,0,5049
