country,survey_name,wave,idno,survey_year,survey_month,exposure_anchor_date,district_code,district_name,geography_level,latitude,longitude,centroid_lat,centroid_lon,boundary_source,boundary_year,geolocation_quality,window_months,start_date,end_date,n_days,precip_total_mm,precip_mean_mm_day,temp_mean_c,temp_max_c,temp_min_c,source,climate_source_role,reference_group,reference_group_rows,precip_within_candidate_z,precip_within_candidate_percentile,temp_within_candidate_z,temp_within_candidate_percentile,diagnostic_low_rain_z_le_m1,diagnostic_severe_low_rain_z_le_m15,diagnostic_extreme_wet_z_ge_15,diagnostic_heat_z_ge_1,diagnostic_extreme_heat_z_ge_15,diagnostic_combined_climate_stress,climate_exposure_scope,data_use_limit,primary_chirps_ready,primary_era5_ready,historical_baseline_ready,climate_linkage_ready,final_analysis_ready,limited_data_write_ready,promotion_status,blocking_reason
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,2002,4,2002-04-15,1,BERAT,admin2_bbox_centroid,40.6824,19.955,40.6824,19.955,geoBoundaries 2.0.1 ADM2 candidate snapshot,2013,candidate_admin2_bbox_centroid_not_verified_2002_boundary,1,2002-03-15,2002-04-14,31,64.48,2.08,9.11097,19.94,-0.48,NASA POWER daily point API fallback,nasa_power_fallback_not_primary_chirps_era5,survey_month_4_window_1,33,-0.9293229808683993,0.07575757575757576,0.27339366480089117,0.5606060606060606,0,0,0,0,0,0,alb2002_admin2_centroid_nasa_power_fallback_no_historical_baseline,climate_exposure_admin2_centroid_only_not_for_final_climate_linkage,0,0,0,0,0,1,limited_climate_exposure_promoted_linkage_and_causal_analysis_blocked,"NASA POWER daily summaries are promoted only as a limited fallback exposure file at candidate admin2 bounding-box centroids. They are not final climate-linkage inputs because 2001/2002 boundaries, exact GPS, CHIRPS rainfall, ERA5-Land temperature, and historical local anomaly baselines remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,2002,4,2002-04-15,1,BERAT,admin2_bbox_centroid,40.6824,19.955,40.6824,19.955,geoBoundaries 2.0.1 ADM2 candidate snapshot,2013,candidate_admin2_bbox_centroid_not_verified_2002_boundary,3,2002-01-15,2002-04-14,90,176.42,1.96022,7.879,21.16,-2.59,NASA POWER daily point API fallback,nasa_power_fallback_not_primary_chirps_era5,survey_month_4_window_3,33,0.22916069472274628,0.7121212121212122,0.20291980005395016,0.5606060606060606,0,0,0,0,0,0,alb2002_admin2_centroid_nasa_power_fallback_no_historical_baseline,climate_exposure_admin2_centroid_only_not_for_final_climate_linkage,0,0,0,0,0,1,limited_climate_exposure_promoted_linkage_and_causal_analysis_blocked,"NASA POWER daily summaries are promoted only as a limited fallback exposure file at candidate admin2 bounding-box centroids. They are not final climate-linkage inputs because 2001/2002 boundaries, exact GPS, CHIRPS rainfall, ERA5-Land temperature, and historical local anomaly baselines remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,2002,4,2002-04-15,1,BERAT,admin2_bbox_centroid,40.6824,19.955,40.6824,19.955,geoBoundaries 2.0.1 ADM2 candidate snapshot,2013,candidate_admin2_bbox_centroid_not_verified_2002_boundary,6,2001-10-15,2002-04-14,182,379.04,2.08264,6.39346,24.16,-12.4,NASA POWER daily point API fallback,nasa_power_fallback_not_primary_chirps_era5,survey_month_4_window_6,33,-0.22435674408256576,0.5303030303030303,0.1925026562464634,0.5606060606060606,0,0,0,0,0,0,alb2002_admin2_centroid_nasa_power_fallback_no_historical_baseline,climate_exposure_admin2_centroid_only_not_for_final_climate_linkage,0,0,0,0,0,1,limited_climate_exposure_promoted_linkage_and_causal_analysis_blocked,"NASA POWER daily summaries are promoted only as a limited fallback exposure file at candidate admin2 bounding-box centroids. They are not final climate-linkage inputs because 2001/2002 boundaries, exact GPS, CHIRPS rainfall, ERA5-Land temperature, and historical local anomaly baselines remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,2002,4,2002-04-15,1,BERAT,admin2_bbox_centroid,40.6824,19.955,40.6824,19.955,geoBoundaries 2.0.1 ADM2 candidate snapshot,2013,candidate_admin2_bbox_centroid_not_verified_2002_boundary,12,2001-04-15,2002-04-14,365,547.53,1.50008,13.3178,37.49,-12.4,NASA POWER daily point API fallback,nasa_power_fallback_not_primary_chirps_era5,survey_month_4_window_12,33,-0.6702835242462561,0.22727272727272727,0.3106140223692468,0.5606060606060606,0,0,0,0,0,0,alb2002_admin2_centroid_nasa_power_fallback_no_historical_baseline,climate_exposure_admin2_centroid_only_not_for_final_climate_linkage,0,0,0,0,0,1,limited_climate_exposure_promoted_linkage_and_causal_analysis_blocked,"NASA POWER daily summaries are promoted only as a limited fallback exposure file at candidate admin2 bounding-box centroids. They are not final climate-linkage inputs because 2001/2002 boundaries, exact GPS, CHIRPS rainfall, ERA5-Land temperature, and historical local anomaly baselines remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,2002,5,2002-05-15,1,BERAT,admin2_bbox_centroid,40.6824,19.955,40.6824,19.955,geoBoundaries 2.0.1 ADM2 candidate snapshot,2013,candidate_admin2_bbox_centroid_not_verified_2002_boundary,1,2002-04-15,2002-05-14,30,55.69,1.85633,13.9363,24.76,5.11,NASA POWER daily point API fallback,nasa_power_fallback_not_primary_chirps_era5,survey_month_5_window_1,34,-0.9525761386198491,0.1323529411764706,0.29689874690265566,0.5441176470588235,0,0,0,0,0,0,alb2002_admin2_centroid_nasa_power_fallback_no_historical_baseline,climate_exposure_admin2_centroid_only_not_for_final_climate_linkage,0,0,0,0,0,1,limited_climate_exposure_promoted_linkage_and_causal_analysis_blocked,"NASA POWER daily summaries are promoted only as a limited fallback exposure file at candidate admin2 bounding-box centroids. They are not final climate-linkage inputs because 2001/2002 boundaries, exact GPS, CHIRPS rainfall, ERA5-Land temperature, and historical local anomaly baselines remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,2002,5,2002-05-15,1,BERAT,admin2_bbox_centroid,40.6824,19.955,40.6824,19.955,geoBoundaries 2.0.1 ADM2 candidate snapshot,2013,candidate_admin2_bbox_centroid_not_verified_2002_boundary,3,2002-02-15,2002-05-14,89,173.72,1.95191,10.5843,24.76,-2.59,NASA POWER daily point API fallback,nasa_power_fallback_not_primary_chirps_era5,survey_month_5_window_3,34,-1.1112852538048685,0.07352941176470588,0.24444970089183307,0.5441176470588235,1,0,0,0,0,0,alb2002_admin2_centroid_nasa_power_fallback_no_historical_baseline,climate_exposure_admin2_centroid_only_not_for_final_climate_linkage,0,0,0,0,0,1,limited_climate_exposure_promoted_linkage_and_causal_analysis_blocked,"NASA POWER daily summaries are promoted only as a limited fallback exposure file at candidate admin2 bounding-box centroids. They are not final climate-linkage inputs because 2001/2002 boundaries, exact GPS, CHIRPS rainfall, ERA5-Land temperature, and historical local anomaly baselines remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,2002,5,2002-05-15,1,BERAT,admin2_bbox_centroid,40.6824,19.955,40.6824,19.955,geoBoundaries 2.0.1 ADM2 candidate snapshot,2013,candidate_admin2_bbox_centroid_not_verified_2002_boundary,6,2001-11-15,2002-05-14,181,370.86,2.04895,6.64315,24.76,-12.4,NASA POWER daily point API fallback,nasa_power_fallback_not_primary_chirps_era5,survey_month_5_window_6,34,-0.3471391850157685,0.45588235294117646,0.1924655158074972,0.5441176470588235,0,0,0,0,0,0,alb2002_admin2_centroid_nasa_power_fallback_no_historical_baseline,climate_exposure_admin2_centroid_only_not_for_final_climate_linkage,0,0,0,0,0,1,limited_climate_exposure_promoted_linkage_and_causal_analysis_blocked,"NASA POWER daily summaries are promoted only as a limited fallback exposure file at candidate admin2 bounding-box centroids. They are not final climate-linkage inputs because 2001/2002 boundaries, exact GPS, CHIRPS rainfall, ERA5-Land temperature, and historical local anomaly baselines remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,2002,5,2002-05-15,1,BERAT,admin2_bbox_centroid,40.6824,19.955,40.6824,19.955,geoBoundaries 2.0.1 ADM2 candidate snapshot,2013,candidate_admin2_bbox_centroid_not_verified_2002_boundary,12,2001-05-15,2002-05-14,365,539.1,1.47699,13.412,37.49,-12.4,NASA POWER daily point API fallback,nasa_power_fallback_not_primary_chirps_era5,survey_month_5_window_12,34,-0.6861422715141139,0.22058823529411764,0.287462220591786,0.5441176470588235,0,0,0,0,0,0,alb2002_admin2_centroid_nasa_power_fallback_no_historical_baseline,climate_exposure_admin2_centroid_only_not_for_final_climate_linkage,0,0,0,0,0,1,limited_climate_exposure_promoted_linkage_and_causal_analysis_blocked,"NASA POWER daily summaries are promoted only as a limited fallback exposure file at candidate admin2 bounding-box centroids. They are not final climate-linkage inputs because 2001/2002 boundaries, exact GPS, CHIRPS rainfall, ERA5-Land temperature, and historical local anomaly baselines remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,2002,6,2002-06-15,1,BERAT,admin2_bbox_centroid,40.6824,19.955,40.6824,19.955,geoBoundaries 2.0.1 ADM2 candidate snapshot,2013,candidate_admin2_bbox_centroid_not_verified_2002_boundary,1,2002-05-15,2002-06-14,31,32.44,1.04645,18.2932,30.14,9.63,NASA POWER daily point API fallback,nasa_power_fallback_not_primary_chirps_era5,survey_month_6_window_1,26,-1.1370704083815943,0.17307692307692307,0.5181376419026874,0.5961538461538461,1,0,0,0,0,0,alb2002_admin2_centroid_nasa_power_fallback_no_historical_baseline,climate_exposure_admin2_centroid_only_not_for_final_climate_linkage,0,0,0,0,0,1,limited_climate_exposure_promoted_linkage_and_causal_analysis_blocked,"NASA POWER daily summaries are promoted only as a limited fallback exposure file at candidate admin2 bounding-box centroids. They are not final climate-linkage inputs because 2001/2002 boundaries, exact GPS, CHIRPS rainfall, ERA5-Land temperature, and historical local anomaly baselines remain unresolved."
Albania,Living Standards Measurement Survey 2002,2002,ALB_2002_LSMS_v01_M,2002,6,2002-06-15,1,BERAT,admin2_bbox_centroid,40.6824,19.955,40.6824,19.955,geoBoundaries 2.0.1 ADM2 candidate snapshot,2013,candidate_admin2_bbox_centroid_not_verified_2002_boundary,3,2002-03-15,2002-06-14,92,152.61,1.6588,13.7785,30.14,-0.48,NASA POWER daily point API fallback,nasa_power_fallback_not_primary_chirps_era5,survey_month_6_window_3,26,-1.1791933313513896,0.17307692307692307,0.3836538940487817,0.5961538461538461,1,0,0,0,0,0,alb2002_admin2_centroid_nasa_power_fallback_no_historical_baseline,climate_exposure_admin2_centroid_only_not_for_final_climate_linkage,0,0,0,0,0,1,limited_climate_exposure_promoted_linkage_and_causal_analysis_blocked,"NASA POWER daily summaries are promoted only as a limited fallback exposure file at candidate admin2 bounding-box centroids. They are not final climate-linkage inputs because 2001/2002 boundaries, exact GPS, CHIRPS rainfall, ERA5-Land temperature, and historical local anomaly baselines remain unresolved."
