project,dataset_path,variable,rank,value,count_in_profile,profile_basis,profile_rows
climate_uhc_ml,data/climate_exposures_nasa_power.csv,country,1,Albania,384,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,survey_name,1,Living Standards Measurement Survey 2002,384,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,wave,1,2002,384,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,idno,1,ALB_2002_LSMS_v01_M,384,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,survey_year,1,2002,384,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,survey_month,1,5,136,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,survey_month,2,4,132,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,survey_month,3,6,104,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,survey_month,4,7,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,exposure_anchor_date,1,2002-05-15,136,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,exposure_anchor_date,2,2002-04-15,132,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,exposure_anchor_date,3,2002-06-15,104,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,exposure_anchor_date,4,2002-07-15,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_code,1,2,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_code,2,17,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_code,3,34,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_code,4,1,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_code,5,31,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_code,6,3,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_code,7,7,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_code,8,5,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_code,9,10,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_code,10,11,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_name,1,BULQIZE,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_name,2,KUKES,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_name,3,TIRANE,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_name,4,BERAT,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_name,5,SKRAPAR,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_name,6,DELVINE,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_name,7,ELBASAN,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_name,8,DIBER,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_name,9,GJIROKASTER,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_name,10,HAS,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,geography_level,1,admin2_bbox_centroid,384,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,latitude,1,41.4798,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,latitude,2,41.9979,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,latitude,3,41.3157,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,latitude,4,40.6824,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,latitude,5,40.5393,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,latitude,6,39.9654,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,latitude,7,41.0659,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,latitude,8,41.7299,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,latitude,9,40.0178,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,latitude,10,42.2023,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,longitude,1,20.3348,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,longitude,2,20.381,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,longitude,3,19.8987,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,longitude,4,19.955,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,longitude,5,20.2584,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,longitude,6,20.0766,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,longitude,7,20.0715,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,longitude,8,20.3603,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,longitude,9,20.1598,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,longitude,10,20.3827,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lat,1,41.4798,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lat,2,41.9979,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lat,3,41.3157,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lat,4,40.6824,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lat,5,40.5393,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lat,6,39.9654,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lat,7,41.0659,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lat,8,41.7299,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lat,9,40.0178,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lat,10,42.2023,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lon,1,20.3348,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lon,2,20.381,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lon,3,19.8987,16,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lon,4,19.955,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lon,5,20.2584,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lon,6,20.0766,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lon,7,20.0715,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lon,8,20.3603,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lon,9,20.1598,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lon,10,20.3827,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,boundary_source,1,geoBoundaries 2.0.1 ADM2 candidate snapshot,384,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,boundary_year,1,2013,384,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,geolocation_quality,1,candidate_admin2_bbox_centroid_not_verified_2002_boundary,384,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,window_months,1,1,96,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,window_months,2,3,96,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,window_months,3,6,96,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,window_months,4,12,96,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,start_date,1,2002-03-15,59,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,start_date,2,2002-04-15,37,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,start_date,3,2002-01-15,36,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,start_date,4,2001-11-15,34,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,start_date,5,2002-02-15,34,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,start_date,6,2001-05-15,34,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,start_date,7,2001-10-15,33,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,start_date,8,2001-04-15,33,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,start_date,9,2002-05-15,26,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,start_date,10,2001-12-15,26,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,end_date,1,2002-05-14,136,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,end_date,2,2002-04-14,132,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,end_date,3,2002-06-14,104,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,end_date,4,2002-07-14,12,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,n_days,1,365,96,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,n_days,2,31,59,full_file,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,n_days,3,182,59,full_file,384
