project,dataset_path,variable,dtype,row_count,profile_basis,profile_rows,nonmissing_in_profile,missing_in_profile,unique_in_profile,min,p25,median,p75,max,mean,std,top_value,top_value_count
climate_uhc_ml,data/climate_exposures_nasa_power.csv,country,object,384,full_file,384,384,0,1,,,,,,,,Albania,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,survey_name,object,384,full_file,384,384,0,1,,,,,,,,Living Standards Measurement Survey 2002,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,wave,int64,384,full_file,384,384,0,1,2002,2002.0,2002.0,2002.0,2002,2002.0,0.0,2002,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,idno,object,384,full_file,384,384,0,1,,,,,,,,ALB_2002_LSMS_v01_M,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,survey_year,int64,384,full_file,384,384,0,1,2002,2002.0,2002.0,2002.0,2002,2002.0,0.0,2002,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,survey_month,int64,384,full_file,384,384,0,4,4,4.0,5.0,6.0,7,4.989583333333333,0.8610491101330532,5,136
climate_uhc_ml,data/climate_exposures_nasa_power.csv,exposure_anchor_date,object,384,full_file,384,384,0,4,,,,,,,,2002-05-15,136
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_code,int64,384,full_file,384,384,0,36,1,8.75,17.5,27.25,36,18.03125,10.722663950400175,2,16
climate_uhc_ml,data/climate_exposures_nasa_power.csv,district_name,object,384,full_file,384,384,0,36,,,,,,,,BULQIZE,16
climate_uhc_ml,data/climate_exposures_nasa_power.csv,geography_level,object,384,full_file,384,384,0,1,,,,,,,,admin2_bbox_centroid,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,latitude,float64,384,full_file,384,384,0,36,39.899,40.6763,41.1371,41.661875,42.39,41.164082291666666,0.6860756126062282,41.4798,16
climate_uhc_ml,data/climate_exposures_nasa_power.csv,longitude,float64,384,full_file,384,384,0,36,19.5205,19.707,20.0158,20.336625,20.9047,20.035003125,0.3480076969987379,20.3348,16
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lat,float64,384,full_file,384,384,0,36,39.899,40.6763,41.1371,41.661875,42.39,41.164082291666666,0.6860756126062282,41.4798,16
climate_uhc_ml,data/climate_exposures_nasa_power.csv,centroid_lon,float64,384,full_file,384,384,0,36,19.5205,19.707,20.0158,20.336625,20.9047,20.035003125,0.3480076969987379,20.3348,16
climate_uhc_ml,data/climate_exposures_nasa_power.csv,boundary_source,object,384,full_file,384,384,0,1,,,,,,,,geoBoundaries 2.0.1 ADM2 candidate snapshot,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,boundary_year,int64,384,full_file,384,384,0,1,2013,2013.0,2013.0,2013.0,2013,2013.0,0.0,2013,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,geolocation_quality,object,384,full_file,384,384,0,1,,,,,,,,candidate_admin2_bbox_centroid_not_verified_2002_boundary,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,window_months,int64,384,full_file,384,384,0,4,1,2.5,4.5,7.5,12,5.5,4.158730475095839,1,96
climate_uhc_ml,data/climate_exposures_nasa_power.csv,start_date,object,384,full_file,384,384,0,13,,,,,,,,2002-03-15,59
climate_uhc_ml,data/climate_exposures_nasa_power.csv,end_date,object,384,full_file,384,384,0,4,,,,,,,,2002-05-14,136
climate_uhc_ml,data/climate_exposures_nasa_power.csv,n_days,int64,384,full_file,384,384,0,9,30,74.5,136.5,227.75,365,166.86197916666666,126.57273458656168,365,96
climate_uhc_ml,data/climate_exposures_nasa_power.csv,precip_total_mm,float64,384,full_file,384,384,0,188,18.48,138.2175,302.145,509.17,974.43,317.7790885416667,224.32597779756333,64.48,4
climate_uhc_ml,data/climate_exposures_nasa_power.csv,precip_mean_mm_day,float64,384,full_file,384,384,0,188,0.616,1.835165,1.986635,2.25097,3.49645,2.0131462604166668,0.40087094136826346,2.08,4
climate_uhc_ml,data/climate_exposures_nasa_power.csv,temp_mean_c,float64,384,full_file,384,384,0,186,0.511484,7.39191,10.3499,13.9363,24.1947,10.415226450520832,4.51186557021114,14.0023,5
climate_uhc_ml,data/climate_exposures_nasa_power.csv,temp_max_c,float64,384,full_file,384,384,0,85,14.82,21.39,24.76,31.9975,37.55,26.25046875,6.172706266441195,23.15,14
climate_uhc_ml,data/climate_exposures_nasa_power.csv,temp_min_c,float64,384,full_file,384,384,0,80,-23.18,-12.4,-4.54,0.48,16.48,-6.099843750000002,9.9381198203176,-16.65,25
climate_uhc_ml,data/climate_exposures_nasa_power.csv,source,object,384,full_file,384,384,0,1,,,,,,,,NASA POWER daily point API fallback,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,climate_source_role,object,384,full_file,384,384,0,1,,,,,,,,nasa_power_fallback_not_primary_chirps_era5,384
climate_uhc_ml,data/climate_exposures_nasa_power.csv,reference_group,object,384,full_file,384,384,0,16,,,,,,,,survey_month_5_window_12,34
climate_uhc_ml,data/climate_exposures_nasa_power.csv,reference_group_rows,int64,384,full_file,384,384,0,4,3,26.0,33.0,34.0,34,30.520833333333332,5.9746709345642826,34,136
climate_uhc_ml,data/climate_exposures_nasa_power.csv,precip_within_candidate_z,float64,384,full_file,384,384,0,188,-1.4689022950711617,-0.7699889806151131,-0.2491206500992129,0.5079081752077145,2.979320907611029,2.0354088784794536e-16,1.0013046319963976,-0.9293229808683992,4
climate_uhc_ml,data/climate_exposures_nasa_power.csv,precip_within_candidate_percentile,float64,384,full_file,384,384,0,111,0.0384615384615384,0.2647058823529412,0.5303030303030303,0.7692307692307693,1.0,0.5208333333333334,0.2886334655629034,1.0,13
climate_uhc_ml,data/climate_exposures_nasa_power.csv,temp_within_candidate_z,float64,384,full_file,384,384,0,188,-1.646130501158824,-0.9072313705601224,0.022927000190569924,0.8729736852775426,1.704140571934754,1.4802973661668753e-16,1.0013046319963976,0.2733936648008911,4
