source name,official URL,access date,file/wave,unit,geography,row count,column count,checksum,status
WHO financial protection / SDG 3.8.2,https://www.who.int/data/gho/data/themes/topics/financial-protection,2026-07-08T16:54:01+00:00,who_financial_protection_sdg382_2025.md,html,,,,3535c77d57f60cae7a24b5666b316a52a0eef292848b19941964056d37a70175,snapshot saved
UN SDG 3.8.2 metadata,https://unstats.un.org/sdgs/metadata/files/Metadata-03-08-02.pdf,2026-07-08T16:54:01+00:00,unstats_sdg_3_8_2_metadata.pdf,pdf,,,,3f8df62be2ff0e4e96b28dba4f85d9a772434e8702c1c5ae5bca43d933d421d7,snapshot saved
WHO climate-resilient health systems framework,https://www.who.int/publications/i/item/9789240081888,2026-07-08T16:54:01+00:00,who_climate_resilient_health_systems.md,html,,,,4b2c831f2931db90fc0e3432bdbc6e4b16b4597c62e68a468003172af1e9c2d5,snapshot saved
WHO climate change and health fact sheet,https://www.who.int/news-room/fact-sheets/detail/climate-change-and-health,2026-07-08T16:54:01+00:00,who_climate_change_health_factsheet.md,html,,,,7ae042ca0356013c49ff34e91394c0eafec070613ea14c1e0e6c9f8f7acc4f0d,snapshot saved
World Bank Microdata Library,https://microdata.worldbank.org/index.php/home,2026-07-08T16:54:01+00:00,,catalog,,,,,registered for later pipeline use
World Bank LSMS catalog,https://microdata.worldbank.org/index.php/catalog/lsms,2026-07-08T16:54:01+00:00,,catalog,,,,,registered for later pipeline use
LSMS-ISA,https://www.worldbank.org/en/programs/lsms/initiatives/lsms-ISA,2026-07-08T16:54:01+00:00,,catalog,,,,,registered for later pipeline use
World Bank HEFPI,https://datatopics.worldbank.org/health-equity-and-financial-protection/,2026-07-08T16:54:01+00:00,,validation,,,,,registered for later pipeline use
UNICEF MICS surveys,https://mics.unicef.org/surveys,2026-07-08T16:54:01+00:00,,secondary_microdata,,,,,registered for later pipeline use
DHS Program data,https://dhsprogram.com/data/,2026-07-08T16:54:01+00:00,,secondary_microdata,,,,,registered for later pipeline use
DHS spatial covariates,https://spatialdata.dhsprogram.com/covariates/,2026-07-08T16:54:01+00:00,,secondary_microdata,,,,,registered for later pipeline use
CHIRPS precipitation,https://www.chc.ucsb.edu/data/chirps,2026-07-08T16:54:01+00:00,,climate,,,,,registered for later pipeline use
CHIRPS daily FTP/HTTP directory,https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_daily/,2026-07-08T16:54:01+00:00,,climate,,,,,registered for later pipeline use
ERA5-Land,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land,2026-07-08T16:54:01+00:00,,climate,,,,,registered for later pipeline use
NASA POWER daily API,https://power.larc.nasa.gov/docs/services/api/temporal/daily/,2026-07-08T16:54:01+00:00,,climate,,,,,registered for later pipeline use
TerraClimate,https://www.climatologylab.org/terraclimate.html,2026-07-08T16:54:01+00:00,,climate,,,,,registered for later pipeline use
SPEI Global Drought Monitor,https://spei.csic.es/map/,2026-07-08T16:54:01+00:00,,climate,,,,,registered for later pipeline use
Albania - Living Standards Measurement Survey 2005 - World Bank NADA metadata JSON,https://microdata.worldbank.org/metadata/export/64/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Albania_2005_ALB_2005_LSMS_v01_M\Albania_2005_ALB_2005_LSMS_v01_M_metadata_export.json,catalog/schema/documentation,"National coverage. Domains: Tirana, other urban, rural; Agro-ecological areas (coastal, central, mountain)",,2513,bf29dc7de1ac46a5cb16a498ddc85e645925bd5d1f52ea3de8e296545cc2f1fe,recovered from schema inventory; local snapshot present
Albania - Living Standards Measurement Survey 2005 - World Bank variable API JSON,https://microdata.worldbank.org/index.php/api/catalog/ALB_2005_LSMS_v01_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Albania_2005_ALB_2005_LSMS_v01_M\Albania_2005_ALB_2005_LSMS_v01_M_variables.json,catalog/schema/documentation,"National coverage. Domains: Tirana, other urban, rural; Agro-ecological areas (coastal, central, mountain)",,2513,2646761f781edf43ea152c738ce3de0fab75f39ecf06e2acb0e582b76bfbdcca,recovered from schema inventory; local snapshot present
Albania - Living Standards Measurement Survey 2005 - World Bank data dictionary HTML,https://microdata.worldbank.org/catalog/64,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Albania_2005_ALB_2005_LSMS_v01_M\Albania_2005_ALB_2005_LSMS_v01_M_data_dictionary.html,catalog/schema/documentation,"National coverage. Domains: Tirana, other urban, rural; Agro-ecological areas (coastal, central, mountain)",,2513,7d7bdff5cfd0e4a9bb8d1545d70a7e4ff13e21d8d12fa0d4c478f116d65fccc3,recovered from schema inventory; local snapshot present
"Benin - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 - World Bank NADA metadata JSON",https://microdata.worldbank.org/metadata/export/6272/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Benin_2021-2022_BEN_2021_EHCVM-2_v01_M\Benin_2021-2022_BEN_2021_EHCVM-2_v01_M_metadata_export.json,catalog/schema/documentation,National coverage,,2129,71de5e321ecceb1b94f84070c8a78d6a8f4d5f949c361ef527113be1614696c8,recovered from schema inventory; local snapshot present
"Benin - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 - World Bank variable API JSON",https://microdata.worldbank.org/index.php/api/catalog/BEN_2021_EHCVM-2_v01_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Benin_2021-2022_BEN_2021_EHCVM-2_v01_M\Benin_2021-2022_BEN_2021_EHCVM-2_v01_M_variables.json,catalog/schema/documentation,National coverage,,2129,bad3b32cd9d60b52f3a041096b5fec363b5681a949e2cf0ed0db192be1cdcce8,recovered from schema inventory; local snapshot present
"Benin - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 - World Bank data dictionary HTML",https://microdata.worldbank.org/catalog/6272,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Benin_2021-2022_BEN_2021_EHCVM-2_v01_M\Benin_2021-2022_BEN_2021_EHCVM-2_v01_M_data_dictionary.html,catalog/schema/documentation,National coverage,,2129,8c186217adaaa872ef6fbfbade466540a94e14323c71d65b986641089eb89f60,recovered from schema inventory; local snapshot present
Bulgaria - Integrated Household Survey 1995 - World Bank NADA metadata JSON,https://microdata.worldbank.org/metadata/export/2271/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Bulgaria_1995_BGR_1995_IHS_v01_M\Bulgaria_1995_BGR_1995_IHS_v01_M_metadata_export.json,catalog/schema/documentation,National,,1015,193323122ab1d347ecc1af1c881c6c58ade6abec2c4b5934ed113ff519dbaa06,recovered from schema inventory; local snapshot present
Bulgaria - Integrated Household Survey 1995 - World Bank variable API JSON,https://microdata.worldbank.org/index.php/api/catalog/BGR_1995_IHS_v01_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Bulgaria_1995_BGR_1995_IHS_v01_M\Bulgaria_1995_BGR_1995_IHS_v01_M_variables.json,catalog/schema/documentation,National,,1015,c1d80ef712a12786cfcb17e0285dcab0d0018491aaffefa0b0b9c9fc5feb3735,recovered from schema inventory; local snapshot present
Bulgaria - Integrated Household Survey 1995 - World Bank data dictionary HTML,https://microdata.worldbank.org/catalog/2271,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Bulgaria_1995_BGR_1995_IHS_v01_M\Bulgaria_1995_BGR_1995_IHS_v01_M_data_dictionary.html,catalog/schema/documentation,National,,1015,93dcec323044453397c9b137052f23eba2ba76bcd758c0a265b3944bce2cf9f3,recovered from schema inventory; local snapshot present
Bulgaria - Integrated Household Survey 1997 - World Bank NADA metadata JSON,https://microdata.worldbank.org/metadata/export/2272/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Bulgaria_1997_BGR_1997_IHS_v01_M\Bulgaria_1997_BGR_1997_IHS_v01_M_metadata_export.json,catalog/schema/documentation,National,,988,86998d4898ee1fd43d981929f9855812f68950ca5a384f4ac46bf73bfe541f4f,recovered from schema inventory; local snapshot present
Bulgaria - Integrated Household Survey 1997 - World Bank variable API JSON,https://microdata.worldbank.org/index.php/api/catalog/BGR_1997_IHS_v01_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Bulgaria_1997_BGR_1997_IHS_v01_M\Bulgaria_1997_BGR_1997_IHS_v01_M_variables.json,catalog/schema/documentation,National,,988,aa94a18cfadb986f486d18316df795b3ec11bfefac92eb1ae4993eeaffe77c9d,recovered from schema inventory; local snapshot present
Bulgaria - Integrated Household Survey 1997 - World Bank data dictionary HTML,https://microdata.worldbank.org/catalog/2272,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\Bulgaria_1997_BGR_1997_IHS_v01_M\Bulgaria_1997_BGR_1997_IHS_v01_M_data_dictionary.html,catalog/schema/documentation,National,,988,89bc517d27bfee526abfafcc0aab84e7c9fd4d2c800eb6188604a780bc09b3e1,recovered from schema inventory; local snapshot present
"Côte d'Ivoire - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 - World Bank NADA metadata JSON",https://microdata.worldbank.org/metadata/export/6273/json,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\C_te_d_Ivoire_2021-2022_CIV_2021_EHCVM-2_v01_M\C_te_d_Ivoire_2021-2022_CIV_2021_EHCVM-2_v01_M_metadata_export.json,catalog/schema/documentation,National coverage,,2005,600bb7dc76bbe8b7b5e01e0bb53b38b7a91520e2141c888488a744dd24226ced,recovered from schema inventory; local snapshot present
"Côte d'Ivoire - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 - World Bank variable API JSON",https://microdata.worldbank.org/index.php/api/catalog/CIV_2021_EHCVM-2_v01_M/variables,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\C_te_d_Ivoire_2021-2022_CIV_2021_EHCVM-2_v01_M\C_te_d_Ivoire_2021-2022_CIV_2021_EHCVM-2_v01_M_variables.json,catalog/schema/documentation,National coverage,,2005,1a7d358fbf9cd4d9260d4acd63ed602cd43a5afbc1be6df6c483fc7beb98f8c3,recovered from schema inventory; local snapshot present
"Côte d'Ivoire - Enquête Harmonisée sur le Conditions de Vie des Ménages, 2021-2022 - World Bank data dictionary HTML",https://microdata.worldbank.org/catalog/6273,2026-07-08T14:53:08+00:00,temp\raw_schema_inventory\C_te_d_Ivoire_2021-2022_CIV_2021_EHCVM-2_v01_M\C_te_d_Ivoire_2021-2022_CIV_2021_EHCVM-2_v01_M_data_dictionary.html,catalog/schema/documentation,National coverage,,2005,4ec5a4cc298b002f20267c368aa51ae6b6ce53b72468997917108a83c70374ad,recovered from schema inventory; local snapshot present
