country,survey_name,wave,idno,file,raw_variable,raw_label,harmonized_variable,unit,recall_period,construction_rule,quality_flag,notes
,,,,temp\raw_extracted\lsms2002en_4dbf0b087520\lsms2002en\Data_2002\Modul_9_subjpov_cl.sav,M09_Q06,Description of current food consumption level,food_consumption,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=food_consumption; dtype=float64; extracted_from=temp\raw_downloads\ALB_2002_LSMS_v01_M\lsms2002en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\Modul_7_subjective_poverty_cl.sav,m07_q06,Description of current food consumption level,food_consumption,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=food_consumption; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\poverty.sav,rnfood,Per capita non food,nonfood_consumption,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=nonfood_consumption; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms2005en_1e7f1965c4a5\lsms2005en\Data_2005\poverty.sav,totcons,Household total consumption,total_consumption_or_income,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=total_consumption_income; dtype=float64; extracted_from=temp\raw_downloads\ALB_2005_LSMS_v01_M\lsms2005en.rar
,,,,temp\raw_extracted\lsms_2008_eng_a54110ab32b9\LSMS 2008_eng\Data_2008\Modul_7_subjective_poverty.sav,m07_q06,description of current food consumption level,food_consumption,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=food_consumption; dtype=float64; extracted_from=temp\raw_downloads\ALB_2008_LSMS_v01_M\lsms_2008_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\Modul_7_Subjective_Poverty.sav,M7_Q06,Current level of food consumption,food_consumption,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=food_consumption; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\poverty.sav,rfood,real food consumption per capita,food_consumption,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=food_consumption; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\poverty.sav,rtotnfood,real non food consumption per capita,food_consumption,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=food_consumption; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\poverty.sav,rtotnfood,real non food consumption per capita,nonfood_consumption,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=nonfood_consumption; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
,,,,temp\raw_extracted\lsms_2012_eng_7631729d2caf\LSMS 2012_eng\Data_LSMS 2012\poverty.sav,totcons,total consumption of hh,total_consumption_or_income,unknown_from_raw_schema,unknown_from_raw_schema,"candidate from raw schema; inspect values, questionnaires, units, and recall period before use",raw_schema_inspected_requires_value_audit,concept_hit=total_consumption_income; dtype=float64; extracted_from=temp\raw_downloads\ALB_2012_LSMS_v01_M_v01_A_PUF\lsms_2012_eng.rar
