cell_id,diagnostic_scope,population,group_variable,group_value,window_months,climate_flag,outcome,rows,households,nonmissing,events,event_rate,candidate_weighted_rate_not_inference,positive_weight_rows,weight_sum,interpretation
cell_001,household_outcome_rate,deduplicated_households,all,all,,,uhc_double_failure_che10_or_access_candidate,3599,3599,3599,2004,0.556821,0.570531,3599,726851,Candidate household outcome rate on one row per household; not a promoted descriptive estimate.
cell_002,household_outcome_rate,deduplicated_households,all,all,,,uhc_double_failure_che25_or_access_candidate,3599,3599,3599,1889,0.524868,0.537554,3599,726851,Candidate household outcome rate on one row per household; not a promoted descriptive estimate.
cell_003,household_outcome_rate,deduplicated_households,all,all,,,both_che10_access_candidate,3599,3599,3599,681,0.189219,0.195082,3599,726851,Candidate household outcome rate on one row per household; not a promoted descriptive estimate.
cell_004,household_outcome_rate,deduplicated_households,all,all,,,coping_health_cost_candidate,3599,3599,3599,1476,0.410114,0.434768,3599,726851,Candidate household outcome rate on one row per household; not a promoted descriptive estimate.
cell_005,household_outcome_rate_by_subgroup,deduplicated_households,rural,1,,,uhc_double_failure_che10_or_access_candidate,1959,1959,1959,924,0.471669,0.476709,1959,331401,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_006,household_outcome_rate_by_subgroup,deduplicated_households,rural,1,,,uhc_double_failure_che25_or_access_candidate,1959,1959,1959,858,0.437979,0.443646,1959,331401,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_007,household_outcome_rate_by_subgroup,deduplicated_households,rural,1,,,both_che10_access_candidate,1959,1959,1959,264,0.134763,0.135419,1959,331401,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_008,household_outcome_rate_by_subgroup,deduplicated_households,rural,1,,,coping_health_cost_candidate,1959,1959,1959,603,0.30781,0.327039,1959,331401,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_009,household_outcome_rate_by_subgroup,deduplicated_households,rural,2,,,uhc_double_failure_che10_or_access_candidate,1640,1640,1640,1080,0.658537,0.649157,1640,395450,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_010,household_outcome_rate_by_subgroup,deduplicated_households,rural,2,,,uhc_double_failure_che25_or_access_candidate,1640,1640,1640,1031,0.628659,0.616253,1640,395450,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_011,household_outcome_rate_by_subgroup,deduplicated_households,rural,2,,,both_che10_access_candidate,1640,1640,1640,417,0.254268,0.245081,1640,395450,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_012,household_outcome_rate_by_subgroup,deduplicated_households,rural,2,,,coping_health_cost_candidate,1640,1640,1640,873,0.532317,0.525048,1640,395450,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_013,household_outcome_rate_by_subgroup,deduplicated_households,agriculture_livelihood,1,,,uhc_double_failure_che10_or_access_candidate,1675,1675,1675,1087,0.648955,0.638899,1675,390040,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_014,household_outcome_rate_by_subgroup,deduplicated_households,agriculture_livelihood,1,,,uhc_double_failure_che25_or_access_candidate,1675,1675,1675,1040,0.620896,0.607175,1675,390040,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_015,household_outcome_rate_by_subgroup,deduplicated_households,agriculture_livelihood,1,,,both_che10_access_candidate,1675,1675,1675,415,0.247761,0.240918,1675,390040,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_016,household_outcome_rate_by_subgroup,deduplicated_households,agriculture_livelihood,1,,,coping_health_cost_candidate,1675,1675,1675,859,0.512836,0.509357,1675,390040,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_017,household_outcome_rate_by_subgroup,deduplicated_households,agriculture_livelihood,2,,,uhc_double_failure_che10_or_access_candidate,1924,1924,1924,917,0.476611,0.491358,1924,336811,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_018,household_outcome_rate_by_subgroup,deduplicated_households,agriculture_livelihood,2,,,uhc_double_failure_che25_or_access_candidate,1924,1924,1924,849,0.441268,0.456931,1924,336811,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_019,household_outcome_rate_by_subgroup,deduplicated_households,agriculture_livelihood,2,,,both_che10_access_candidate,1924,1924,1924,266,0.138254,0.142002,1924,336811,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_020,household_outcome_rate_by_subgroup,deduplicated_households,agriculture_livelihood,2,,,coping_health_cost_candidate,1924,1924,1924,617,0.320686,0.34839,1924,336811,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_021,household_outcome_rate_by_subgroup,deduplicated_households,health_insurance_candidate,0,,,uhc_double_failure_che10_or_access_candidate,1435,1435,1435,827,0.576307,0.601792,1435,285045,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_022,household_outcome_rate_by_subgroup,deduplicated_households,health_insurance_candidate,0,,,uhc_double_failure_che25_or_access_candidate,1435,1435,1435,793,0.552613,0.576728,1435,285045,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_023,household_outcome_rate_by_subgroup,deduplicated_households,health_insurance_candidate,0,,,both_che10_access_candidate,1435,1435,1435,290,0.202091,0.217562,1435,285045,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_024,household_outcome_rate_by_subgroup,deduplicated_households,health_insurance_candidate,0,,,coping_health_cost_candidate,1435,1435,1435,651,0.453659,0.487017,1435,285045,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_025,household_outcome_rate_by_subgroup,deduplicated_households,health_insurance_candidate,1,,,uhc_double_failure_che10_or_access_candidate,2164,2164,2164,1177,0.5439,0.550362,2164,441805,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_026,household_outcome_rate_by_subgroup,deduplicated_households,health_insurance_candidate,1,,,uhc_double_failure_che25_or_access_candidate,2164,2164,2164,1096,0.50647,0.51228,2164,441805,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
cell_027,household_outcome_rate_by_subgroup,deduplicated_households,health_insurance_candidate,1,,,both_che10_access_candidate,2164,2164,2164,391,0.180684,0.180578,2164,441805,Candidate subgroup screen only; survey design and outcome promotion gates remain blocked.
