metric,value,interpretation
alb2002_provisional_outcome_audit_rows,30,Rows in the provisional ALB_2002 outcome feasibility audit.
alb2002_provisional_financial_stress_test_rows,8,"Financial-protection stress-test rows, none final."
alb2002_provisional_access_proxy_rows,15,"Access proxy rows, none final."
alb2002_provisional_need_proxy_rows,2,"Need proxy rows, none final."
alb2002_provisional_low_event_rate_rows,9,Outcome candidates with unweighted event rate below 3 percent.
alb2002_provisional_outcome_base_rows,3599,Rows in temp/alb2002_household_core_candidate.csv.
alb2002_provisional_positive_total_consumption_rows,3599,Rows with positive total_consumption.
alb2002_provisional_positive_household_weight_rows,3599,Rows with positive household_weight.
alb2002_provisional_consumption_weight_rows,3599,Rows with both positive total_consumption and positive household_weight.
alb2002_provisional_district_code_rows,3599,Rows with district_code_identification for future crosswalk review.
alb2002_provisional_survey_month_rows,3599,Rows with raw survey month for future climate window review.
alb2002_provisional_interview_date_rows,3599,Rows with constructed raw interview date for future climate window review.
alb2002_provisional_outcome_ready_rows,0,No provisional ALB_2002 diagnostic row is ready for data/ or outcome promotion.
alb2002_provisional_outcome_current_decision,not_final_outcomes_outcome_semantics_climate_crosswalk_blocked,Current fail-closed decision for ALB_2002 provisional outcome feasibility.
