metric,value,interpretation
alb2005_required_value_key_audit_rows,26,Rows in the ALB_2005 required value/key audit.
alb2005_required_value_key_recipe_ready_rows,0,Rows promoted to a harmonization recipe by this audit; intentionally zero.
alb2005_required_value_key_not_promoted_rows,26,Rows kept fail-closed after raw value/key inspection.
alb2005_required_value_key_base_households,3840,Base household rows from filters_cl.sav.
alb2005_required_value_key_total_consumption_nonmissing_rows,3638,Nonmissing totcons values in poverty.sav.
alb2005_required_value_key_oop_4w_household_positive_rows,2679,Audit-only households with positive four-week OOP sum.
alb2005_required_value_key_oop_12m_household_positive_rows,2231,Audit-only households with positive twelve-month OOP sum.
alb2005_required_value_key_district_code_nonmissing_rows,329,Nonmissing partial district-code rows in filters.sav.
alb2005_required_value_key_interview_timing_verified_rows,0,Verified household interview timing rows.
alb2005_required_value_key_coordinate_ready_rows,0,Verified GPS/coordinate rows ready for climate linkage; intentionally zero.
alb2005_required_value_key_climate_linkage_ready_rows,0,Rows ready for climate linkage after this audit; intentionally zero.
alb2005_required_value_key_current_decision,blocked_alb2005_required_values_seen_but_recipe_not_ready,Current fail-closed decision for ALB_2005 value/key evidence.
alb2005_value_decision_recipe_ready_rows_observed,0,Recipe-ready rows observed in the upstream value-decision audit.
alb2005_value_decision_required_blocked_rows_observed,16,Required blocked rows observed in the upstream value-decision audit.
alb2005_required_value_key_concept_care_or_barrier,7,Rows by audit concept.
alb2005_required_value_key_concept_climate_geography,4,Rows by audit concept.
alb2005_required_value_key_concept_household_id,2,Rows by audit concept.
alb2005_required_value_key_concept_oop_health_expenditure,5,Rows by audit concept.
alb2005_required_value_key_concept_survey_timing,1,Rows by audit concept.
alb2005_required_value_key_concept_survey_weight,3,Rows by audit concept.
alb2005_required_value_key_concept_total_consumption_or_income,4,Rows by audit concept.
alb2005_required_value_key_coverage_blocked_no_gps_or_coordinate_variable,1,Rows by coverage status.
alb2005_required_value_key_coverage_blocked_no_verified_household_interview_month_or_date,1,Rows by coverage status.
alb2005_required_value_key_coverage_blocked_no_verified_total_income_candidate,1,Rows by coverage status.
alb2005_required_value_key_coverage_complete_base_key_coverage_value_review_required,4,Rows by coverage status.
alb2005_required_value_key_coverage_household_aggregate_computed_for_audit_only,2,Rows by coverage status.
alb2005_required_value_key_coverage_household_module_complete_base_coverage,6,Rows by coverage status.
alb2005_required_value_key_coverage_partial_base_key_coverage_value_review_required,2,Rows by coverage status.
alb2005_required_value_key_coverage_partial_household_geography,2,Rows by coverage status.
alb2005_required_value_key_coverage_person_level_health_file_complete_base_coverage,2,Rows by coverage status.
alb2005_required_value_key_coverage_poverty_rows_partial_base_coverage,4,Rows by coverage status.
alb2005_required_value_key_coverage_psu_level_weight_file_seen,1,Rows by coverage status.
alb2005_required_value_key_value_status_absent_not_climate_exposure_ready,1,Rows by value status.
alb2005_required_value_key_value_status_absent_not_climate_ready,1,Rows by value status.
alb2005_required_value_key_value_status_absent_not_substitutable_with_consumption,1,Rows by value status.
alb2005_required_value_key_value_status_audit_only_household_sum_not_analysis_ready,2,Rows by value status.
alb2005_required_value_key_value_status_categorical_values_seen_skip_pattern_review_required,6,Rows by value status.
alb2005_required_value_key_value_status_key_values_seen_cardinality_review_required,6,Rows by value status.
alb2005_required_value_key_value_status_raw_component_seen_scope_review_required,2,Rows by value status.
alb2005_required_value_key_value_status_raw_partial_district_code_seen_not_climate_ready,1,Rows by value status.
alb2005_required_value_key_value_status_raw_partial_district_name_seen_not_climate_ready,1,Rows by value status.
alb2005_required_value_key_value_status_raw_person_payment_values_seen_aggregation_review_required,2,Rows by value status.
alb2005_required_value_key_value_status_raw_psu_weight_seen_design_review_required,1,Rows by value status.
alb2005_required_value_key_value_status_raw_total_consumption_seen_unit_period_review_required,1,Rows by value status.
alb2005_required_value_key_value_status_raw_weight_seen_design_review_required,1,Rows by value status.
