metric,value,interpretation
alb2012_timing_geography_blocker_resolution_rows,10,ALB_2012 fallback blocker rows consolidated.
alb2012_timing_geography_blocker_timing_rows,3,Timing blocker rows in the matrix.
alb2012_timing_geography_blocker_geography_rows,3,Geography blocker rows in the matrix.
alb2012_timing_geography_blocker_outcome_rows,2,Outcome blocker rows in the matrix.
alb2012_timing_geography_blocker_promotion_gate_rows,2,Promotion-gate rows in the matrix.
alb2012_timing_geography_blocker_hard_blocked_rows,10,Rows hard-blocked from fallback promotion.
alb2012_timing_geography_blocker_interview_timing_ready_rows,0,Rows with verified interview timing; intentionally zero.
alb2012_timing_geography_blocker_geography_ready_rows,0,Rows with promoted geography; intentionally zero.
alb2012_timing_geography_blocker_outcome_ready_rows,0,Rows with promoted outcomes; intentionally zero.
alb2012_timing_geography_blocker_climate_linkage_ready_rows,0,Rows ready for climate linkage; intentionally zero.
alb2012_timing_geography_blocker_data_write_ready_rows,0,Rows allowed for data/ writes by this matrix; intentionally zero.
alb2012_timing_geography_blocker_current_decision,blocked_alb2012_no_timing_geography_fallback_ready,Current consolidated ALB_2012 fallback decision.
