bundle_rank,country,survey_name,wave,idno,included_acquisition_sets,official_url,local_target_folder,metadata_quality_tier,sample_gate_status,eligible_for_final_sample,eligible_for_access_secondary_sample,raw_intake_status,file_count,raw_tabular_file_count,archive_file_count,expected_module_rows,expected_core_module_rows,expected_files_not_present,expected_exact_matches,expected_stem_matches,raw_file_inventory_rows,raw_variable_catalog_rows,high_confidence_rows,moderate_confidence_rows,likely_false_positive_rows,harmonization_status,harmonization_ready_required_rows,harmonization_blocked_required_rows,sdg382_status,sdg382_blocked_component_rows,climate_linkage_status,climate_blocked_requirement_rows,outcome_ready_rows,outcome_metadata_ready_rows,outcome_metadata_incomplete_rows,predictive_ready_rows,reduced_form_ready_rows,causal_ml_ready_rows,policy_learning_ready_rows,mechanism_ready_rows,mechanism_blocked_rows,current_stage,analysis_claim_status,next_blocking_action,blocking_gaps,post_download_commands
1,Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,financial_6_country_probe;double_failure_10_wave_probe,https://microdata.worldbank.org/catalog/64/get-microdata,temp/raw_downloads/ALB_2005_LSMS_v01_M/,tier_1_quality_supported_financial_and_access_download,raw_schema_candidate_pending_value_harmonization_audit,0,0,ready_for_raw_schema_inspection,2,0,1,68,68,0,0,0,46,1187,352,127,98,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,17,0,0,0,0,0,0,0,7,harmonization_value_audit_required,raw_schema_claims_only_no_analysis_dataset_claims,complete harmonization value/unit/recall/key audits and assemble verified recipe candidates,verified_harmonization_recipe_missing,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
2,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,financial_6_country_probe;double_failure_10_wave_probe;multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,tier_1_quality_supported_financial_and_access_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,67,66,67,0,0,0,0,575,412,39,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
3,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,double_failure_10_wave_probe;multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,tier_1_quality_supported_financial_and_access_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,67,66,67,0,0,0,0,590,395,32,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
4,Jamaica,Survey of Living Conditions 1997,1997,JAM_1997_SLC_v01_M,financial_6_country_probe;double_failure_10_wave_probe,https://microdata.worldbank.org/catalog/2368/get-microdata,temp/raw_downloads/JAM_1997_SLC_v01_M/,tier_1_quality_supported_financial_and_access_download,excluded_or_low_priority_until_raw_evidence,0,0,instructions_or_documentation_only,1,0,0,33,12,33,0,0,0,0,78,28,12,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
5,Kyrgyz Republic,Multipurpose Poverty Survey 1993,1993,KGZ_1993_KMPS_v01_M,financial_6_country_probe;double_failure_10_wave_probe,https://microdata.worldbank.org/catalog/280/get-microdata,temp/raw_downloads/KGZ_1993_KMPS_v01_M/,tier_1_quality_supported_financial_and_access_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,14,14,14,0,0,0,0,96,65,17,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
6,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,financial_6_country_probe;double_failure_10_wave_probe;multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/3462/get-microdata,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,tier_1_quality_supported_financial_and_access_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,113,102,113,0,0,0,0,1037,92,91,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
7,Malawi,Second Integrated Household Survey 2004-2005,2004-2005,MWI_2004_IHS-II_v01_M,double_failure_10_wave_probe;multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/2307/get-microdata,temp/raw_downloads/MWI_2004_IHS-II_v01_M/,tier_1_quality_supported_financial_and_access_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,52,49,52,0,0,0,0,661,274,21,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
8,Nepal,"Living Standards Survey 2010-2011, Third Round",2010-2011,NPL_2010_LSS-III_v01_M,financial_6_country_probe;double_failure_10_wave_probe,https://microdata.worldbank.org/catalog/1000/get-microdata,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,tier_1_quality_supported_financial_and_access_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,51,18,51,0,0,0,0,245,97,15,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
9,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,double_failure_10_wave_probe;multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,tier_1_quality_supported_financial_and_access_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,101,100,101,0,0,0,0,433,347,25,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
10,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,double_failure_10_wave_probe;multi_wave_panel_sequence_probe,https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,tier_1_quality_supported_financial_and_access_download,metadata_main_sample_candidate_not_selectable,0,0,instructions_or_documentation_only,1,0,0,103,102,103,0,0,0,0,412,356,36,blocked_until_required_raw_value_audits_pass,0,16,blocked_until_raw_and_external_denominator_audit,9,blocked_until_raw_timing_geography_and_validation_inputs,11,0,17,0,0,0,0,0,0,7,manual_raw_download_required,metadata_protocol_only_no_empirical_claims,"place original raw archives/files in the target folder, then run raw-download and schema inspection",raw_files_absent,python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py
