bundle_rank,country,survey_name,wave,idno,required_variable_rows,recommended_variable_rows,optional_variable_rows,recipe_ready_required_rows,recipe_ready_recommended_rows,blocked_required_rows,blocked_recommended_rows,required_variables_missing,readiness_status,next_action
1,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
2,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
3,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
4,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
5,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
6,Nigeria,"General Household Survey, Panel 2010-2011, Wave 1",2010-2011,NGA_2010_GHSP-W1_v03_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
7,Tanzania,"National Panel Survey 2008-2009, Wave 1",2008-2009,TZA_2008_NPS-R1_v03_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
8,Tanzania,"National Panel Survey 2010-2011, Wave 2",2010-2011,TZA_2010_NPS-R2_v03_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
9,Tanzania,"National Panel Survey 2012-2013, Wave 3",2012-2013,TZA_2012_NPS-R3_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
10,Tanzania,"National Panel Survey 2014-2015, Wave 4",2014-2015,TZA_2014_NPS-R4_v03_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
11,Tanzania,"National Panel Survey 2020-21, Wave 5",2020-2022,TZA_2020_NPS-R5_v02_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
12,Uganda,"Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations",2014,UGA_2014_SAGE-EL_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
13,Uganda,"Social Assistance Grants for Empowerment Programme 2012, Evaluation Baseline Survey",2012,UGA_2012_SAGE-BL_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
14,Uganda,"Social Assistance Grants for Empowerment Programme 2013, Evaluation Follow-Up Survey",2013,UGA_2013_SAGE-ML_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
15,Malawi,Second Integrated Household Survey 2004-2005,2004-2005,MWI_2004_IHS-II_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
16,Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
17,Jamaica,Survey of Living Conditions 1997,1997,JAM_1997_SLC_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
18,Kyrgyz Republic,Multipurpose Poverty Survey 1993,1993,KGZ_1993_KMPS_v01_M,16,21,6,0,0,16,21,admin1;admin2;cluster_id;food_consumption;geolocation_quality;hhid;interview_date;latitude;longitude;nonfood_consumption;oop_health_expenditure;rural;survey_month;survey_year;total_consumption;total_income,blocked_until_required_raw_value_audits_pass,"complete raw-file, raw-variable, and value/unit/recall/key audits for required variables"
