metric,value,interpretation
variable_map_rows,25358,Metadata-only variable-map rows scored for confidence; none are raw-verified.
high_confidence_variable_rows,11566,"Strong label/name evidence, still requiring raw values, units, and merge-key checks."
moderate_confidence_variable_rows,6751,"Useful for manual download targeting, not for final sample selection."
likely_false_positive_variable_rows,926,Metadata hits with context suggesting the keyword match is probably not the target concept.
quality_supported_financial_country_waves,22,"Country-waves with moderate/high metadata support for budget, OOP, weights, timing, and geography."
quality_supported_double_failure_country_waves,22,Country-waves with quality-supported financial and access-core metadata.
sample_gate_metadata_main_candidates,30,Original sample-gate metadata candidates before this confidence screen.
sample_gate_main_candidates_with_quality_financial_core,17,"Still metadata-only; this count is a better raw-download priority signal, not an analytical sample."
tier_count_tier_1_quality_supported_financial_and_access_download,22,Country-wave metadata-quality tier count.
tier_count_tier_3_quality_supported_access_only_download,6,Country-wave metadata-quality tier count.
tier_count_tier_4_metadata_present_but_noisy_or_incomplete,7,Country-wave metadata-quality tier count.
tier_count_tier_5_no_variable_map_evidence,1053,Country-wave metadata-quality tier count.
