acquisition_set,target_rank,country,survey_name,wave,idno,quality_rank,quality_download_priority_tier,official_url,local_target_folder,raw_intake_status,expected_module_rows,expected_core_module_rows,expected_not_present_rows,raw_file_inventory_rows,raw_variable_catalog_rows,high_confidence_rows,moderate_confidence_rows,concept_rows_to_verify,protocol_rows_to_verify,why_selected,required_evidence_after_download,not_final_sample_guardrail
financial_6_country_probe,1,Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,1,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/64/get-microdata,temp/raw_downloads/ALB_2005_LSMS_v01_M/,instructions_or_documentation_only,68,68,68,0,0,352,127,13,96,first manual-download set to test the Phase 13 rule requiring at least 6 countries with consumption/OOP/geography/timing,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
financial_6_country_probe,2,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,2,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,instructions_or_documentation_only,67,66,67,0,0,575,412,13,107,first manual-download set to test the Phase 13 rule requiring at least 6 countries with consumption/OOP/geography/timing,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
financial_6_country_probe,3,Jamaica,Survey of Living Conditions 1997,1997,JAM_1997_SLC_v01_M,4,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/2368/get-microdata,temp/raw_downloads/JAM_1997_SLC_v01_M/,instructions_or_documentation_only,33,12,33,0,0,78,28,13,66,first manual-download set to test the Phase 13 rule requiring at least 6 countries with consumption/OOP/geography/timing,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
financial_6_country_probe,4,Kyrgyz Republic,Multipurpose Poverty Survey 1993,1993,KGZ_1993_KMPS_v01_M,5,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/280/get-microdata,temp/raw_downloads/KGZ_1993_KMPS_v01_M/,instructions_or_documentation_only,14,14,14,0,0,96,65,13,62,first manual-download set to test the Phase 13 rule requiring at least 6 countries with consumption/OOP/geography/timing,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
financial_6_country_probe,5,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,6,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/3462/get-microdata,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,instructions_or_documentation_only,113,102,113,0,0,1037,92,13,128,first manual-download set to test the Phase 13 rule requiring at least 6 countries with consumption/OOP/geography/timing,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
financial_6_country_probe,6,Nepal,"Living Standards Survey 2010-2011, Third Round",2010-2011,NPL_2010_LSS-III_v01_M,8,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/1000/get-microdata,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,instructions_or_documentation_only,51,18,51,0,0,245,97,13,106,first manual-download set to test the Phase 13 rule requiring at least 6 countries with consumption/OOP/geography/timing,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
double_failure_10_wave_probe,1,Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,1,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/64/get-microdata,temp/raw_downloads/ALB_2005_LSMS_v01_M/,instructions_or_documentation_only,68,68,68,0,0,352,127,13,96,first 10 metadata-supported waves to test whether financial hardship plus forgone-care outcomes can be audited,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
double_failure_10_wave_probe,2,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,2,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,instructions_or_documentation_only,67,66,67,0,0,575,412,13,107,first 10 metadata-supported waves to test whether financial hardship plus forgone-care outcomes can be audited,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
double_failure_10_wave_probe,3,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,3,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,instructions_or_documentation_only,67,66,67,0,0,590,395,13,102,first 10 metadata-supported waves to test whether financial hardship plus forgone-care outcomes can be audited,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
double_failure_10_wave_probe,4,Jamaica,Survey of Living Conditions 1997,1997,JAM_1997_SLC_v01_M,4,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/2368/get-microdata,temp/raw_downloads/JAM_1997_SLC_v01_M/,instructions_or_documentation_only,33,12,33,0,0,78,28,13,66,first 10 metadata-supported waves to test whether financial hardship plus forgone-care outcomes can be audited,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
double_failure_10_wave_probe,5,Kyrgyz Republic,Multipurpose Poverty Survey 1993,1993,KGZ_1993_KMPS_v01_M,5,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/280/get-microdata,temp/raw_downloads/KGZ_1993_KMPS_v01_M/,instructions_or_documentation_only,14,14,14,0,0,96,65,13,62,first 10 metadata-supported waves to test whether financial hardship plus forgone-care outcomes can be audited,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
double_failure_10_wave_probe,6,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,6,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/3462/get-microdata,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,instructions_or_documentation_only,113,102,113,0,0,1037,92,13,128,first 10 metadata-supported waves to test whether financial hardship plus forgone-care outcomes can be audited,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
double_failure_10_wave_probe,7,Malawi,Second Integrated Household Survey 2004-2005,2004-2005,MWI_2004_IHS-II_v01_M,7,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/2307/get-microdata,temp/raw_downloads/MWI_2004_IHS-II_v01_M/,instructions_or_documentation_only,52,49,52,0,0,661,274,13,81,first 10 metadata-supported waves to test whether financial hardship plus forgone-care outcomes can be audited,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
double_failure_10_wave_probe,8,Nepal,"Living Standards Survey 2010-2011, Third Round",2010-2011,NPL_2010_LSS-III_v01_M,8,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/1000/get-microdata,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,instructions_or_documentation_only,51,18,51,0,0,245,97,13,106,first 10 metadata-supported waves to test whether financial hardship plus forgone-care outcomes can be audited,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
double_failure_10_wave_probe,9,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,9,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,instructions_or_documentation_only,101,100,101,0,0,433,347,13,79,first 10 metadata-supported waves to test whether financial hardship plus forgone-care outcomes can be audited,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
double_failure_10_wave_probe,10,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,10,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,instructions_or_documentation_only,103,102,103,0,0,412,356,13,90,first 10 metadata-supported waves to test whether financial hardship plus forgone-care outcomes can be audited,raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
multi_wave_panel_sequence_probe,1,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,2,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,instructions_or_documentation_only,67,66,67,0,0,575,412,13,107,"multi-wave countries for timing, leave-wave validation, and possible fixed-effect designs after raw verification",raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
multi_wave_panel_sequence_probe,2,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,3,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,instructions_or_documentation_only,67,66,67,0,0,590,395,13,102,"multi-wave countries for timing, leave-wave validation, and possible fixed-effect designs after raw verification",raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
multi_wave_panel_sequence_probe,3,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,6,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/3462/get-microdata,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,instructions_or_documentation_only,113,102,113,0,0,1037,92,13,128,"multi-wave countries for timing, leave-wave validation, and possible fixed-effect designs after raw verification",raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
multi_wave_panel_sequence_probe,4,Malawi,Second Integrated Household Survey 2004-2005,2004-2005,MWI_2004_IHS-II_v01_M,7,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/2307/get-microdata,temp/raw_downloads/MWI_2004_IHS-II_v01_M/,instructions_or_documentation_only,52,49,52,0,0,661,274,13,81,"multi-wave countries for timing, leave-wave validation, and possible fixed-effect designs after raw verification",raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
multi_wave_panel_sequence_probe,5,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,9,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,instructions_or_documentation_only,101,100,101,0,0,433,347,13,79,"multi-wave countries for timing, leave-wave validation, and possible fixed-effect designs after raw verification",raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
multi_wave_panel_sequence_probe,6,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,10,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,instructions_or_documentation_only,103,102,103,0,0,412,356,13,90,"multi-wave countries for timing, leave-wave validation, and possible fixed-effect designs after raw verification",raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
multi_wave_panel_sequence_probe,7,Nigeria,"General Household Survey, Panel 2010-2011, Wave 1",2010-2011,NGA_2010_GHSP-W1_v03_M,11,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,instructions_or_documentation_only,99,98,99,0,0,353,335,13,67,"multi-wave countries for timing, leave-wave validation, and possible fixed-effect designs after raw verification",raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
multi_wave_panel_sequence_probe,8,Tanzania,"National Panel Survey 2008-2009, Wave 1",2008-2009,TZA_2008_NPS-R1_v03_M,13,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,instructions_or_documentation_only,61,61,61,0,0,246,262,13,105,"multi-wave countries for timing, leave-wave validation, and possible fixed-effect designs after raw verification",raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
multi_wave_panel_sequence_probe,9,Tanzania,"National Panel Survey 2010-2011, Wave 2",2010-2011,TZA_2010_NPS-R2_v03_M,14,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,instructions_or_documentation_only,59,27,59,0,0,189,331,13,91,"multi-wave countries for timing, leave-wave validation, and possible fixed-effect designs after raw verification",raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
multi_wave_panel_sequence_probe,10,Tanzania,"National Panel Survey 2012-2013, Wave 3",2012-2013,TZA_2012_NPS-R3_v01_M,15,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,instructions_or_documentation_only,80,79,80,0,0,313,440,13,115,"multi-wave countries for timing, leave-wave validation, and possible fixed-effect designs after raw verification",raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
multi_wave_panel_sequence_probe,11,Uganda,"Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations",2014,UGA_2014_SAGE-EL_v01_M,20,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/2654/get-microdata,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/,instructions_or_documentation_only,34,32,34,0,0,541,84,13,96,"multi-wave countries for timing, leave-wave validation, and possible fixed-effect designs after raw verification",raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
multi_wave_panel_sequence_probe,12,Uganda,"Social Assistance Grants for Empowerment Programme 2012, Evaluation Baseline Survey",2012,UGA_2012_SAGE-BL_v01_M,21,tier_1_quality_supported_financial_and_access_download,https://microdata.worldbank.org/catalog/2652/get-microdata,temp/raw_downloads/UGA_2012_SAGE-BL_v01_M/,instructions_or_documentation_only,30,29,30,0,0,593,105,13,105,"multi-wave countries for timing, leave-wave validation, and possible fixed-effect designs after raw verification",raw files present; raw schemas extracted; raw variables matched; units/recall/keys/missing codes verified; no final sample selection before audit passes,metadata acquisition target only; not a final analytical sample and not evidence of causal or ML readiness
