country,wave,idno,adm2_name,chirps_month,source_file,source_sha256,mask_pixel_count,valid_pixel_count,mean_precip_mm,min_precip_mm,max_precip_mm,extraction_status
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Balaka,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,73,73,220.883743,187.727753,300.426483,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Blantyre,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,65,65,199.795303,143.948059,254.926956,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Chikwawa,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,168,168,169.506226,97.815483,301.455444,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Chiradzulu,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,26,26,213.846420,189.056076,254.779892,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Chitipa,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,139,139,196.814682,139.532318,251.587463,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Dedza,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,128,128,257.740356,159.907639,335.269409,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Dowa,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,101,101,259.092468,203.434738,341.984131,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Karonga,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,109,109,173.113663,103.002953,295.088257,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Kasungu,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,266,266,261.419952,198.742645,353.667175,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Likoma,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,1,1,147.532913,147.532913,147.532913,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Lilongwe,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,209,209,264.313721,213.945374,358.370850,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Machinga,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,129,129,292.844757,190.985184,416.757751,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mangochi,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,224,224,274.475983,78.114685,483.841492,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mchinji,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,104,104,268.634430,232.833618,327.788544,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mulanje,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,65,65,255.649521,182.977112,361.905090,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mwanza,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,24,24,244.410019,161.752380,354.307159,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mzimba,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,357,357,205.874908,98.798416,397.956848,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Neno,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,55,55,239.549591,148.023804,388.846558,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Nkhata Bay,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,134,134,317.138153,223.895416,419.117615,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Nkhotakota,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,147,147,351.986603,236.120880,536.614868,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Nsanje,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,66,66,176.440552,96.105179,310.162537,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Ntcheu,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,110,110,254.700211,155.980591,353.681091,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Ntchisi,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,58,58,294.451355,205.729370,400.578827,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Phalombe,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,49,49,222.238281,174.460449,349.157043,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Rumphi,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,155,155,173.267868,83.421402,256.279297,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Salima,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,71,71,232.981873,178.102814,375.532288,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Thyolo,2003-03,chirps-v2.0.2003.03.tif.gz,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,57,57,258.165985,205.964081,350.117249,pass
