country,wave,idno,chirps_month,chirps_file,local_target_path,exists,bytes,sha256,read_status,width,height,origin_lon,origin_lat,pixel_width_degree,pixel_height_degree,valid_value_min,valid_value_max,notes
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2003-03,chirps-v2.0.2003.03.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2003.03.tif.gz,1,4504288,a5da6aa328febd2fead769bac35fdfa5b18758f4348c21e004b0315ccb2fd882,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,989.441650,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2003-04,chirps-v2.0.2003.04.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2003.04.tif.gz,1,4485489,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,708.143188,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2003-05,chirps-v2.0.2003.05.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2003.05.tif.gz,1,4491549,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,675.260742,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2003-06,chirps-v2.0.2003.06.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2003.06.tif.gz,1,4530803,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,1063.740479,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2003-07,chirps-v2.0.2003.07.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2003.07.tif.gz,1,4554585,459b546d62f6ee42248daa5a432815f2bbfe467a25c1fff67cae6222ae70274f,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,1195.601074,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2003-08,chirps-v2.0.2003.08.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2003.08.tif.gz,1,4551725,e72c8c90b723ddc3901df79b8a92b519f9cfcd61b193e7142e5a01ed23391774,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,1021.615417,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2003-09,chirps-v2.0.2003.09.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2003.09.tif.gz,1,4544202,8347527f11451d0c1cc797d9f4783d411771f88d534db773750b83578cd18f13,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,1031.115723,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2003-10,chirps-v2.0.2003.10.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2003.10.tif.gz,1,4508253,0a758f18309a3f8761393ebc6a373f539d783cf8cdcace4acb66c493046eb849,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,945.088013,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2003-11,chirps-v2.0.2003.11.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2003.11.tif.gz,1,4515538,cb030f5ee5fda7e4c2391def89b38ebc6040dce3f218c4164296db15485faf6a,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,617.578735,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2003-12,chirps-v2.0.2003.12.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2003.12.tif.gz,1,4522809,107cc01b431d0218aff936a3a9fef19d17c9d26ee7895d2a859d8f1a33ae366d,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,685.512878,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2004-01,chirps-v2.0.2004.01.tif.gz,temp/raw_downloads/climate_chirps/africa_monthly/chirps-v2.0.2004.01.tif.gz,1,4430227,60d8af581cdcbeb8d82a4095d06fcddc884adae5bd4968c2ca81bc6ca8065af5,readable_geotiff,1500,1600,-20.0,40.0,0.05000000074505806,0.05000000074505806,0.000000,919.339966,CHIRPS monthly precipitation in millimeters; -9999 ignored as no-data.
