country,wave,idno,raw_dist_code,raw_dist_label,adm2_name,interview_month,household_rows,lag_months,window_start_month,window_end_month,months_expected,months_available,precip_total_mm,precip_mean_monthly_mm,window_complete
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-03,20,1,2004-02,2004-02,1,1,158.292236,158.292236,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-03,20,3,2003-12,2004-02,3,3,562.848114,187.616038,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-03,20,6,2003-09,2004-02,6,6,609.003766,101.500628,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-03,20,12,2003-03,2004-02,12,12,954.116274,79.509689,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-04,20,1,2004-03,2004-03,1,1,196.987671,196.987671,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-04,20,3,2004-01,2004-03,3,3,571.330475,190.443492,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-04,20,6,2003-10,2004-03,6,6,803.078895,133.846482,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-04,20,12,2003-04,2004-03,12,12,954.289263,79.524105,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-05,20,1,2004-04,2004-04,1,1,194.659653,194.659653,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-05,20,3,2004-02,2004-04,3,3,549.939560,183.313187,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-05,20,6,2003-11,2004-04,6,6,987.032387,164.505398,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-05,20,12,2003-05,2004-04,12,12,1029.174761,85.764563,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-06,20,1,2004-05,2004-05,1,1,16.173792,16.173792,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-06,20,3,2004-03,2004-05,3,3,407.821115,135.940372,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-06,20,6,2003-12,2004-05,6,6,970.669230,161.778205,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-06,20,12,2003-06,2004-05,12,12,1022.179188,85.181599,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-07,20,1,2004-06,2004-06,1,1,2.196071,2.196071,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-07,20,3,2004-04,2004-06,3,3,213.029515,71.009838,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-07,20,6,2004-01,2004-06,6,6,784.359990,130.726665,1
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,2004-07,20,12,2003-07,2004-06,12,12,1022.121427,85.176786,1
