country,survey_name,wave,outcome,status,rows,nonmissing,missing_rate,event_rate,weighted_prevalence,low_event_flag,construction_rule,required_columns,missing_columns,notes
Albania,Living Standards Measurement Survey 2002,2002,oop_share_total,constructed,3599,3599,0.0,,0.0909565,,period-aligned combined monthly-equivalent OOP / documented monthly total-budget candidate,,,limited ALB_2002 CHE-only financial-protection outcome; data_use_limit=outcome_che10_che25_only_not_for_final_sdg382_access_or_climate_analysis
Albania,Living Standards Measurement Survey 2002,2002,log_oop_plus_one,constructed,3599,3599,0.0,,6.00615,,log(period-aligned combined monthly-equivalent OOP + 1),,,limited ALB_2002 CHE-only financial-protection outcome; data_use_limit=outcome_che10_che25_only_not_for_final_sdg382_access_or_climate_analysis
Albania,Living Standards Measurement Survey 2002,2002,che10_total_budget,constructed,3599,3599,0.0,0.22895248680188943,0.23666,,period-aligned combined monthly-equivalent OOP > 10% of documented monthly total-budget candidate,,,limited ALB_2002 CHE-only financial-protection outcome; data_use_limit=outcome_che10_che25_only_not_for_final_sdg382_access_or_climate_analysis
Albania,Living Standards Measurement Survey 2002,2002,che25_total_budget,constructed,3599,3599,0.0,0.08057793831619894,0.0859036,,period-aligned combined monthly-equivalent OOP > 25% of documented monthly total-budget candidate,,,limited ALB_2002 CHE-only financial-protection outcome; data_use_limit=outcome_che10_che25_only_not_for_final_sdg382_access_or_climate_analysis
Albania,Living Standards Measurement Survey 2002,2002,sdg382_discretionary_40,blocked_limited_financial_outcome_scope,3599,,,,,,,societal poverty line; PPP/CPI; discretionary budget,,SDG 3.8.2 denominator is not accepted for ALB_2002.
Albania,Living Standards Measurement Survey 2002,2002,capacity_to_pay_40,blocked_limited_financial_outcome_scope,3599,,,,,,,capacity-to-pay denominator,,Capacity-to-pay denominator is not harmonized.
Albania,Living Standards Measurement Survey 2002,2002,impoverishing_health_spending,blocked_limited_financial_outcome_scope,3599,,,,,,,household poverty line before/after OOP,,Impoverishment inputs are not harmonized.
Albania,Living Standards Measurement Survey 2002,2002,forgone_care_conditional_need,blocked_limited_financial_outcome_scope,3599,,,,,,,accepted access denominator and skip policy,,Access outcome denominator remains blocked.
Albania,Living Standards Measurement Survey 2002,2002,forgone_care_cost_barrier,blocked_limited_financial_outcome_scope,3599,,,,,,,accepted access denominator and skip policy,,Access cost-barrier outcome remains blocked.
Albania,Living Standards Measurement Survey 2002,2002,forgone_care_distance_barrier,blocked_limited_financial_outcome_scope,3599,,,,,,,accepted access denominator and skip policy,,Access distance-barrier outcome remains blocked.
Albania,Living Standards Measurement Survey 2002,2002,forgone_care_supply_barrier,blocked_limited_financial_outcome_scope,3599,,,,,,,accepted access denominator and skip policy,,Access supply/admin outcome remains blocked.
Albania,Living Standards Measurement Survey 2002,2002,delayed_or_unmet_care_outcome,blocked_limited_financial_outcome_scope,3599,,,,,,,accepted delayed/unmet-care denominator,,Delayed/unmet-care outcome remains blocked.
Albania,Living Standards Measurement Survey 2002,2002,uhc_double_failure,blocked_limited_financial_outcome_scope,3599,,,,,,,promoted financial and access outcomes,,Composite UHC failure remains blocked because access outcomes are unpromoted.
Albania,Living Standards Measurement Survey 2002,2002,financial_only_failure,blocked_limited_financial_outcome_scope,3599,,,,,,,promoted financial and access outcomes,,Composite decomposition remains blocked because access outcomes are unpromoted.
Albania,Living Standards Measurement Survey 2002,2002,access_only_failure,blocked_limited_financial_outcome_scope,3599,,,,,,,promoted financial and access outcomes,,Composite decomposition remains blocked because access outcomes are unpromoted.
Albania,Living Standards Measurement Survey 2002,2002,both_financial_and_access_failure,blocked_limited_financial_outcome_scope,3599,,,,,,,promoted financial and access outcomes,,Composite decomposition remains blocked because access outcomes are unpromoted.
Albania,Living Standards Measurement Survey 2002,2002,coping_failure,blocked_limited_financial_outcome_scope,3599,,,,,,,accepted health-cost coping variable policy,,Coping outcome remains blocked.
