targeting_rule,budget_share,required_score_or_effect,validation_requirement,current_status,blocking_gap,sensitivity_required,guardrail
cate_based_targeting,5%,estimated individual treatment-effect ranking from causal ML,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
cate_based_targeting,10%,estimated individual treatment-effect ranking from causal ML,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
cate_based_targeting,20%,estimated individual treatment-effect ranking from causal ML,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
cate_based_targeting,30%,estimated individual treatment-effect ranking from causal ML,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
predicted_risk_targeting,5%,validated out-of-sample UHC failure risk score,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
predicted_risk_targeting,10%,validated out-of-sample UHC failure risk score,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
predicted_risk_targeting,20%,validated out-of-sample UHC failure risk score,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
predicted_risk_targeting,30%,validated out-of-sample UHC failure risk score,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
poverty_only_targeting,5%,pre-shock poverty or consumption/income rank,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
poverty_only_targeting,10%,pre-shock poverty or consumption/income rank,"compare policy value, false exclusion among poorest, rural coverage, country-specific value, and transportability under held-out country/wave splits where feasible",rejected_until_reduced_form_identification_and_validation_pass,requires credible reduced-form identification; causal ML/policy learning cannot substitute for failed identification,evaluate assumed support benefits over multiple effect sizes; do not assume one treatment benefit,policy ranking is a scenario analysis unless a real intervention effect is identified
