target,feature,feature_type,missing_rate,n_unique,included
che10_total_budget,country,categorical,0.0,1,1
che10_total_budget,wave,numeric,0.0,1,1
che10_total_budget,survey_year,numeric,0.0,1,1
che10_total_budget,survey_month,numeric,0.0,4,1
che10_total_budget,admin2,categorical,0.0,36,1
che10_total_budget,rural,numeric,0.0,2,1
che10_total_budget,household_size,numeric,0.0,14,1
che10_total_budget,children_under_5,numeric,0.0,5,1
che10_total_budget,children_under_15,numeric,0.0,8,1
che10_total_budget,elderly_60_plus,numeric,0.0,5,1
che10_total_budget,elderly_65_plus,numeric,0.0,4,1
che10_total_budget,hh_head_sex,numeric,0.0,2,1
che10_total_budget,hh_head_age,numeric,0.0,77,1
che10_total_budget,agriculture_livelihood,numeric,0.0,2,1
che10_total_budget,health_insurance,numeric,0.0,2,1
che10_total_budget,precip_total_mm,numeric,0.0,188,1
che10_total_budget,precip_mean_mm_day,numeric,0.0,188,1
che10_total_budget,precip_within_candidate_z,numeric,0.0,188,1
che10_total_budget,precip_within_candidate_percentile,numeric,0.0,111,1
che10_total_budget,temp_mean_c,numeric,0.0,186,1
che10_total_budget,temp_max_c,numeric,0.0,85,1
che10_total_budget,temp_min_c,numeric,0.0,80,1
che10_total_budget,temp_within_candidate_z,numeric,0.0,188,1
che10_total_budget,temp_within_candidate_percentile,numeric,0.0,63,1
che10_total_budget,diagnostic_heat_z_ge_1,numeric,0.0,2,1
che10_total_budget,diagnostic_extreme_heat_z_ge_15,numeric,0.0,2,1
che10_total_budget,climate_exposure_scope,categorical,0.0,1,1
che25_total_budget,country,categorical,0.0,1,1
che25_total_budget,wave,numeric,0.0,1,1
che25_total_budget,survey_year,numeric,0.0,1,1
che25_total_budget,survey_month,numeric,0.0,4,1
che25_total_budget,admin2,categorical,0.0,36,1
che25_total_budget,rural,numeric,0.0,2,1
che25_total_budget,household_size,numeric,0.0,14,1
che25_total_budget,children_under_5,numeric,0.0,5,1
che25_total_budget,children_under_15,numeric,0.0,8,1
che25_total_budget,elderly_60_plus,numeric,0.0,5,1
che25_total_budget,elderly_65_plus,numeric,0.0,4,1
che25_total_budget,hh_head_sex,numeric,0.0,2,1
che25_total_budget,hh_head_age,numeric,0.0,77,1
che25_total_budget,agriculture_livelihood,numeric,0.0,2,1
che25_total_budget,health_insurance,numeric,0.0,2,1
che25_total_budget,precip_total_mm,numeric,0.0,188,1
che25_total_budget,precip_mean_mm_day,numeric,0.0,188,1
che25_total_budget,precip_within_candidate_z,numeric,0.0,188,1
che25_total_budget,precip_within_candidate_percentile,numeric,0.0,111,1
che25_total_budget,temp_mean_c,numeric,0.0,186,1
che25_total_budget,temp_max_c,numeric,0.0,85,1
che25_total_budget,temp_min_c,numeric,0.0,80,1
che25_total_budget,temp_within_candidate_z,numeric,0.0,188,1
che25_total_budget,temp_within_candidate_percentile,numeric,0.0,63,1
che25_total_budget,diagnostic_heat_z_ge_1,numeric,0.0,2,1
che25_total_budget,diagnostic_extreme_heat_z_ge_15,numeric,0.0,2,1
che25_total_budget,climate_exposure_scope,categorical,0.0,1,1
