acquisition_batch_rank,batch_role,country,survey_name,wave,idno,official_url,local_target_folder,raw_file_inventory_rows,raw_variable_catalog_rows,required_concept_rows,concepts_with_metadata_support,concepts_missing_metadata,critical_concepts_missing_metadata,requirements_ready_for_manual_audit,concepts_ready_for_manual_value_audit,variables_ready_for_manual_value_audit,accepted_chirps_era5_route_status,current_gate_status,next_action,handoff_readme,guardrail
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,0,0,13,13,,,0,0,0,not_accepted_raw_timing_geography_unverified,blocked_raw_files_absent,Download/place complete original raw package and documentation into the target folder.,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_RAW_VERIFICATION_WORKBOOK.md,"do not write to data/ until raw evidence, requirement checklist, harmonization recipe, and accepted CHIRPS/ERA5 linkage all pass"
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,0,0,13,13,,,0,0,0,not_accepted_raw_timing_geography_unverified,blocked_raw_files_absent,Download/place complete original raw package and documentation into the target folder.,temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_RAW_VERIFICATION_WORKBOOK.md,"do not write to data/ until raw evidence, requirement checklist, harmonization recipe, and accepted CHIRPS/ERA5 linkage all pass"
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,https://microdata.worldbank.org/catalog/3462/get-microdata,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,0,0,13,11,insurance;strata,strata,0,0,0,not_accepted_raw_timing_geography_unverified,blocked_raw_files_absent,Download/place complete original raw package and documentation into the target folder.,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/_PRIORITY_RAW_VERIFICATION_WORKBOOK.md,"do not write to data/ until raw evidence, requirement checklist, harmonization recipe, and accepted CHIRPS/ERA5 linkage all pass"
4,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,0,0,13,12,strata,strata,0,0,0,not_accepted_raw_timing_geography_unverified,blocked_raw_files_absent,Download/place complete original raw package and documentation into the target folder.,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_RAW_VERIFICATION_WORKBOOK.md,"do not write to data/ until raw evidence, requirement checklist, harmonization recipe, and accepted CHIRPS/ERA5 linkage all pass"
5,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,0,0,13,12,strata,strata,0,0,0,not_accepted_raw_timing_geography_unverified,blocked_raw_files_absent,Download/place complete original raw package and documentation into the target folder.,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_RAW_VERIFICATION_WORKBOOK.md,"do not write to data/ until raw evidence, requirement checklist, harmonization recipe, and accepted CHIRPS/ERA5 linkage all pass"
6,priority_10_wave_batch,Nigeria,"General Household Survey, Panel 2010-2011, Wave 1",2010-2011,NGA_2010_GHSP-W1_v03_M,https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,0,0,13,12,strata,strata,0,0,0,not_accepted_raw_timing_geography_unverified,blocked_raw_files_absent,Download/place complete original raw package and documentation into the target folder.,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_RAW_VERIFICATION_WORKBOOK.md,"do not write to data/ until raw evidence, requirement checklist, harmonization recipe, and accepted CHIRPS/ERA5 linkage all pass"
7,priority_10_wave_batch,Tanzania,"National Panel Survey 2008-2009, Wave 1",2008-2009,TZA_2008_NPS-R1_v03_M,https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,0,0,13,12,insurance,,0,0,0,not_accepted_raw_timing_geography_unverified,blocked_raw_files_absent,Download/place complete original raw package and documentation into the target folder.,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_RAW_VERIFICATION_WORKBOOK.md,"do not write to data/ until raw evidence, requirement checklist, harmonization recipe, and accepted CHIRPS/ERA5 linkage all pass"
8,priority_10_wave_batch,Tanzania,"National Panel Survey 2010-2011, Wave 2",2010-2011,TZA_2010_NPS-R2_v03_M,https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,0,0,13,12,insurance,,0,0,0,not_accepted_raw_timing_geography_unverified,blocked_raw_files_absent,Download/place complete original raw package and documentation into the target folder.,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_RAW_VERIFICATION_WORKBOOK.md,"do not write to data/ until raw evidence, requirement checklist, harmonization recipe, and accepted CHIRPS/ERA5 linkage all pass"
9,priority_10_wave_batch,Tanzania,"National Panel Survey 2012-2013, Wave 3",2012-2013,TZA_2012_NPS-R3_v01_M,https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,0,0,13,13,,,0,0,0,not_accepted_raw_timing_geography_unverified,blocked_raw_files_absent,Download/place complete original raw package and documentation into the target folder.,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_RAW_VERIFICATION_WORKBOOK.md,"do not write to data/ until raw evidence, requirement checklist, harmonization recipe, and accepted CHIRPS/ERA5 linkage all pass"
10,priority_10_wave_batch,Uganda,"Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations",2014,UGA_2014_SAGE-EL_v01_M,https://microdata.worldbank.org/catalog/2654/get-microdata,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/,0,0,13,10,insurance;psu_cluster;strata,psu_cluster;strata,0,0,0,not_accepted_raw_timing_geography_unverified,blocked_raw_files_absent,Download/place complete original raw package and documentation into the target folder.,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/_PRIORITY_RAW_VERIFICATION_WORKBOOK.md,"do not write to data/ until raw evidence, requirement checklist, harmonization recipe, and accepted CHIRPS/ERA5 linkage all pass"
