download_rank,country,wave,idno,scope_role,first_canary_flag,official_get_microdata_url,credentialed_download_url,local_target_folder,target_file_count,incoming_file_rows,expected_full_file_rows,missing_expected_file_rows,expected_core_file_rows,missing_core_file_rows,unique_core_file_rows,requirement_gate_rows,blocked_requirement_rows,requirements_covered,first_core_file_names,receipt_status,launch_status,next_manual_action,first_validation_command,execute_validation_command,canonical_post_download_sequence,promotion_unlock_condition,threshold_contribution,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,download_required_priority_country_wave,1,https://microdata.worldbank.org/catalog/6161/get-microdata,https://microdata.worldbank.org/catalog/6161/download,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,0,0,68,68,36,36,25,7,7,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,sect_cover_hh_w5.dta;sect6b2_hh_w5.dta;sect6b3_hh_w5.dta;sect6b4_hh_w5.dta;sect6c_hh_w5.dta;sect7a_hh_w5.dta;sect7b_hh_w5.dta;sect8_hh_w5.dta;sect1_hh_w5.dta;sect12b1_hh_w5.dta;sect04_com_w5.dta;sect3_hh_w5.dta,blocked_no_local_package_or_incoming_files,open_official_page_accept_terms_download_package,open_official_page_accept_terms_download_complete_package_then_place_under_target_or_incoming,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2021_ESPS-W5_v02_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2021_ESPS-W5_v02_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2021_ESPS-W5_v02_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2021_ESPS-W5_v02_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",adds_priority_multi_wave_depth_if_value_and_climate_verified,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,download_required_priority_country_wave,0,https://microdata.worldbank.org/catalog/3823/get-microdata,https://microdata.worldbank.org/catalog/3823/download,temp/raw_downloads/ETH_2018_ESS_v04_M/,0,0,68,68,35,35,23,7,7,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,sect_cover_hh_w4.dta;sect6b2_hh_w4.dta;sect7a_hh_w4.dta;sect9_hh_w4.dta;sect1_hh_w4.dta;sect10b_hh_w4.dta;sect10d1_hh_w4.dta;sect11b1_hh_w4.dta;sect12b1_hh_w4.dta;sect15b_hh_w4.dta;sect_cover_ls_w4.dta;sect8_3_ls_w4.dta,blocked_no_local_package_or_incoming_files,open_official_page_accept_terms_download_package,open_official_page_accept_terms_download_complete_package_then_place_under_target_or_incoming,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2018_ESS_v04_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2018_ESS_v04_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2018_ESS_v04_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2018_ESS_v04_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",adds_priority_multi_wave_depth_if_value_and_climate_verified,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,download_required_priority_country_wave,0,https://microdata.worldbank.org/catalog/1952/get-microdata,https://microdata.worldbank.org/catalog/1952/download,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,0,0,103,103,26,26,16,7,7,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,secta7_harvestw2;secta10_harvestw2;cons_agg_wave2_visit1;cons_agg_wave2_visit2;HHTrack;secta_harvestw2;NGA_HouseholdGeovars_Y2;sect1_plantingw2;sect8a_plantingw2;sect8e_plantingw2;sect11a_plantingw2;sect11a1_plantingw2,blocked_no_local_package_or_incoming_files,open_official_page_accept_terms_download_package,open_official_page_accept_terms_download_complete_package_then_place_under_target_or_incoming,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2012_GHSP-W2_v02_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2012_GHSP-W2_v02_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2012_GHSP-W2_v02_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2012_GHSP-W2_v02_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",adds_priority_multi_wave_depth_if_value_and_climate_verified,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,download_required_priority_country_wave,0,https://microdata.worldbank.org/catalog/2734/get-microdata,https://microdata.worldbank.org/catalog/2734/download,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,0,0,104,104,26,26,18,7,7,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,sect7a_plantingw3;sectc1_harvestw3;sect7b_plantingw3;sectc2_harvestw3;HHTrack;cons_agg_wave3_visit1;cons_agg_wave3_visit2;secta_harvestw3;sect8a_plantingw3;sect11a_plantingw3;sect1_plantingw3;sect11a1_plantingw3,blocked_no_local_package_or_incoming_files,open_official_page_accept_terms_download_package,open_official_page_accept_terms_download_complete_package_then_place_under_target_or_incoming,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2015_GHSP-W3_v02_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2015_GHSP-W3_v02_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2015_GHSP-W3_v02_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2015_GHSP-W3_v02_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",adds_priority_multi_wave_depth_if_value_and_climate_verified,blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,download_required_priority_country_wave,0,https://microdata.worldbank.org/catalog/1002/get-microdata,https://microdata.worldbank.org/catalog/1002/download,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,0,0,99,99,27,27,16,7,7,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,secta7_harvestw1;secta8_harvestw1;secta9a1_harvestw1;secta9a2_harvestw1;secta9b1_harvestw1;secta9b2_harvestw1;secta10_harvestw1;secta41_harvestw1;NGA_HouseholdGeovariables_Y1;sect3a_harvestw1;sect4a_harvestw1;sect4b_harvestw1,blocked_no_local_package_or_incoming_files,open_official_page_accept_terms_download_package,open_official_page_accept_terms_download_complete_package_then_place_under_target_or_incoming,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2010_GHSP-W1_v03_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2010_GHSP-W1_v03_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2010_GHSP-W1_v03_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2010_GHSP-W1_v03_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",adds_priority_multi_wave_depth_if_value_and_climate_verified,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,download_required_priority_country_wave,0,https://microdata.worldbank.org/catalog/76/get-microdata,https://microdata.worldbank.org/catalog/76/download,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,0,0,61,61,35,35,22,7,7,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,SEC_A_T_Swahili_Labels;SEC_L_Swahili_Labels;SEC_M_Swahili_Labels;SEC_R_Swahili_Labels;SEC_B_C_D_E1_F_G1_U_Swahili_Labels;Agriculture SEC_1_ALL_Swahili_Labels;SEC_2A_Swahili_Labels;SEC_2B_Swahili_Labels;nps_weights_oct2010;HH.Geovariables_Y1;SECTA1A2_Swahili_Labels;SECTCB_Swahili_Labels,blocked_no_local_package_or_incoming_files,open_official_page_accept_terms_download_package,open_official_page_accept_terms_download_complete_package_then_place_under_target_or_incoming,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2008_NPS-R1_v03_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2008_NPS-R1_v03_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2008_NPS-R1_v03_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2008_NPS-R1_v03_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",adds_priority_multi_wave_depth_if_value_and_climate_verified,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,download_required_priority_country_wave,0,https://microdata.worldbank.org/catalog/1050/get-microdata,https://microdata.worldbank.org/catalog/1050/download,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,0,0,95,95,38,38,23,7,7,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,AG_SEC7A;AG_SEC7B;AG_SEC10B;Plot.Geovariables_Y2;COMSEC_CA;COMSEC_CB;COMSEC_CD;TZY2.EA.Offsets;FS_C1;FS_H2;FS_J1;FS_J3,blocked_no_local_package_or_incoming_files,open_official_page_accept_terms_download_package,open_official_page_accept_terms_download_complete_package_then_place_under_target_or_incoming,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2010_NPS-R2_v03_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2010_NPS-R2_v03_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2010_NPS-R2_v03_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2010_NPS-R2_v03_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",adds_priority_multi_wave_depth_if_value_and_climate_verified,blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,download_required_priority_country_wave,0,https://microdata.worldbank.org/catalog/2252/get-microdata,https://microdata.worldbank.org/catalog/2252/download,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,0,0,80,80,33,33,23,7,7,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,AG_SEC_08.NSDstat;AG_SEC_01.NSDstat;AG_SEC_11.NSDstat;AG_SEC_12A.NSDstat;AG_SEC_A.NSDstat;COM_SEC_A1A2.NSDstat;COM_SEC_CB.NSDstat;COM_SEC_CD.NSDstat;AG_SEC_2A.NSDstat;COM_SEC_CG.NSDstat;ConsumptionNPS3.NSDstat;HH_SEC_A.NSDstat,blocked_no_local_package_or_incoming_files,open_official_page_accept_terms_download_package,open_official_page_accept_terms_download_complete_package_then_place_under_target_or_incoming,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2012_NPS-R3_v01_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2012_NPS-R3_v01_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2012_NPS-R3_v01_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2012_NPS-R3_v01_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",adds_priority_multi_wave_depth_if_value_and_climate_verified,blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,download_required_priority_country_wave,0,https://microdata.worldbank.org/catalog/3902/get-microdata,https://microdata.worldbank.org/catalog/3902/download,temp/raw_downloads/UGA_2019_UNPS_v03_M/,0,0,109,109,39,39,27,7,7,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,AGSEC5A.NSDstat;GSEC15C.NSDstat;GSEC15D.NSDstat;GSEC17_1.NSDstat;GSEC19.NSDstat;pov2019_20.NSDstat;AGSEC9A.NSDstat;CSEC1A.NSDstat;CSEC2.NSDstat;CSEC2A.NSDstat;CSEC2B.NSDstat;CSEC2C.NSDstat,blocked_no_local_package_or_incoming_files,open_official_page_accept_terms_download_package,open_official_page_accept_terms_download_complete_package_then_place_under_target_or_incoming,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno UGA_2019_UNPS_v03_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno UGA_2019_UNPS_v03_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno UGA_2019_UNPS_v03_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno UGA_2019_UNPS_v03_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",adds_priority_country_wave_if_value_and_climate_verified,blocked_no_data_write,blocked
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,download_required_sixth_country_candidate,0,https://microdata.worldbank.org/catalog/1000/get-microdata,https://microdata.worldbank.org/catalog/1000/download,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,0,0,51,51,28,28,20,7,7,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,anthro;S06B;S06C;S06D;S08;S09B;S09D;FINAL_PREF;S10B;S12;S15D;S01,blocked_no_local_package_or_incoming_files,open_official_page_accept_terms_download_package,open_official_page_accept_terms_download_complete_package_then_place_under_target_or_incoming,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NPL_2010_LSS-III_v01_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NPL_2010_LSS-III_v01_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NPL_2010_LSS-III_v01_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NPL_2010_LSS-III_v01_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",adds_sixth_country_buffer_if_value_and_climate_verified,blocked_no_data_write,blocked
