download_rank,country,wave,idno,scope_role,priority_country,sixth_country_candidate,target_file_count,raw_like_file_count,expected_full_file_rows,expected_core_file_rows,endpoint_refresh_status,endpoint_get_microdata_gate_endpoints,endpoint_raw_download_candidate_endpoints,resource_route_rows,resource_raw_payload_candidate_rows,resource_access_gate_rows,resource_http_error_rows,cookie_file_present,header_file_present,credentialed_ready_to_probe,browser_starter_status,acquisition_route_decision,route_decision_reason,official_get_microdata_url,credentialed_download_url,local_target_folder,browser_open_command,prepare_target_folder_command,open_target_folder_command,python_probe_command,python_execute_command,post_download_runner_dry_run_command,post_download_runner_execute_command,post_download_validation_commands,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,download_required_priority_country_wave,1,0,0,0,68,36,metadata_confirmed_raw_access_gate_confirmed,1,0,24,0,8,16,0,0,0,ready_for_browser_terms_acceptance,browser_manual_terms_acceptance_required,"Official get-microdata and local target folder commands are ready, but raw files require login/terms acceptance or manual placement.",https://microdata.worldbank.org/catalog/6161/get-microdata,https://microdata.worldbank.org/catalog/6161/download,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,Start-Process 'https://microdata.worldbank.org/catalog/6161/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/ETH_2021_ESPS-W5_v02_M',Invoke-Item 'temp/raw_downloads/ETH_2021_ESPS-W5_v02_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno ETH_2021_ESPS-W5_v02_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno ETH_2021_ESPS-W5_v02_M --execute,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2021_ESPS-W5_v02_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2021_ESPS-W5_v02_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,download_required_priority_country_wave,1,0,0,0,68,35,metadata_confirmed_raw_access_gate_confirmed,1,0,24,0,8,16,0,0,0,ready_for_browser_terms_acceptance,browser_manual_terms_acceptance_required,"Official get-microdata and local target folder commands are ready, but raw files require login/terms acceptance or manual placement.",https://microdata.worldbank.org/catalog/3823/get-microdata,https://microdata.worldbank.org/catalog/3823/download,temp/raw_downloads/ETH_2018_ESS_v04_M/,Start-Process 'https://microdata.worldbank.org/catalog/3823/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/ETH_2018_ESS_v04_M',Invoke-Item 'temp/raw_downloads/ETH_2018_ESS_v04_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno ETH_2018_ESS_v04_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno ETH_2018_ESS_v04_M --execute,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2018_ESS_v04_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2018_ESS_v04_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,download_required_priority_country_wave,1,0,0,0,103,26,metadata_confirmed_raw_access_gate_confirmed,1,0,24,0,8,16,0,0,0,ready_for_browser_terms_acceptance,browser_manual_terms_acceptance_required,"Official get-microdata and local target folder commands are ready, but raw files require login/terms acceptance or manual placement.",https://microdata.worldbank.org/catalog/1952/get-microdata,https://microdata.worldbank.org/catalog/1952/download,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,Start-Process 'https://microdata.worldbank.org/catalog/1952/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/NGA_2012_GHSP-W2_v02_M',Invoke-Item 'temp/raw_downloads/NGA_2012_GHSP-W2_v02_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2012_GHSP-W2_v02_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2012_GHSP-W2_v02_M --execute,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2012_GHSP-W2_v02_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2012_GHSP-W2_v02_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,download_required_priority_country_wave,1,0,0,0,104,26,metadata_confirmed_raw_access_gate_confirmed,1,0,24,0,8,16,0,0,0,ready_for_browser_terms_acceptance,browser_manual_terms_acceptance_required,"Official get-microdata and local target folder commands are ready, but raw files require login/terms acceptance or manual placement.",https://microdata.worldbank.org/catalog/2734/get-microdata,https://microdata.worldbank.org/catalog/2734/download,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,Start-Process 'https://microdata.worldbank.org/catalog/2734/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/NGA_2015_GHSP-W3_v02_M',Invoke-Item 'temp/raw_downloads/NGA_2015_GHSP-W3_v02_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2015_GHSP-W3_v02_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2015_GHSP-W3_v02_M --execute,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2015_GHSP-W3_v02_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2015_GHSP-W3_v02_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,download_required_priority_country_wave,1,0,0,0,99,27,metadata_confirmed_raw_access_gate_confirmed,1,0,24,0,8,16,0,0,0,ready_for_browser_terms_acceptance,browser_manual_terms_acceptance_required,"Official get-microdata and local target folder commands are ready, but raw files require login/terms acceptance or manual placement.",https://microdata.worldbank.org/catalog/1002/get-microdata,https://microdata.worldbank.org/catalog/1002/download,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,Start-Process 'https://microdata.worldbank.org/catalog/1002/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/NGA_2010_GHSP-W1_v03_M',Invoke-Item 'temp/raw_downloads/NGA_2010_GHSP-W1_v03_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2010_GHSP-W1_v03_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2010_GHSP-W1_v03_M --execute,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2010_GHSP-W1_v03_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2010_GHSP-W1_v03_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,download_required_priority_country_wave,1,0,0,0,61,35,metadata_confirmed_raw_access_gate_confirmed,1,0,24,0,8,16,0,0,0,ready_for_browser_terms_acceptance,browser_manual_terms_acceptance_required,"Official get-microdata and local target folder commands are ready, but raw files require login/terms acceptance or manual placement.",https://microdata.worldbank.org/catalog/76/get-microdata,https://microdata.worldbank.org/catalog/76/download,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,Start-Process 'https://microdata.worldbank.org/catalog/76/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/TZA_2008_NPS-R1_v03_M',Invoke-Item 'temp/raw_downloads/TZA_2008_NPS-R1_v03_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2008_NPS-R1_v03_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2008_NPS-R1_v03_M --execute,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2008_NPS-R1_v03_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2008_NPS-R1_v03_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,download_required_priority_country_wave,1,0,0,0,95,38,metadata_confirmed_raw_access_gate_confirmed,1,0,24,0,8,16,0,0,0,ready_for_browser_terms_acceptance,browser_manual_terms_acceptance_required,"Official get-microdata and local target folder commands are ready, but raw files require login/terms acceptance or manual placement.",https://microdata.worldbank.org/catalog/1050/get-microdata,https://microdata.worldbank.org/catalog/1050/download,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,Start-Process 'https://microdata.worldbank.org/catalog/1050/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/TZA_2010_NPS-R2_v03_M',Invoke-Item 'temp/raw_downloads/TZA_2010_NPS-R2_v03_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2010_NPS-R2_v03_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2010_NPS-R2_v03_M --execute,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2010_NPS-R2_v03_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2010_NPS-R2_v03_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,download_required_priority_country_wave,1,0,0,0,80,33,metadata_confirmed_raw_access_gate_confirmed,1,0,24,0,8,16,0,0,0,ready_for_browser_terms_acceptance,browser_manual_terms_acceptance_required,"Official get-microdata and local target folder commands are ready, but raw files require login/terms acceptance or manual placement.",https://microdata.worldbank.org/catalog/2252/get-microdata,https://microdata.worldbank.org/catalog/2252/download,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,Start-Process 'https://microdata.worldbank.org/catalog/2252/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/TZA_2012_NPS-R3_v01_M',Invoke-Item 'temp/raw_downloads/TZA_2012_NPS-R3_v01_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2012_NPS-R3_v01_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2012_NPS-R3_v01_M --execute,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2012_NPS-R3_v01_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2012_NPS-R3_v01_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,download_required_priority_country_wave,1,0,0,0,109,39,metadata_confirmed_raw_access_gate_confirmed,1,0,24,0,8,16,0,0,0,ready_for_browser_terms_acceptance,browser_manual_terms_acceptance_required,"Official get-microdata and local target folder commands are ready, but raw files require login/terms acceptance or manual placement.",https://microdata.worldbank.org/catalog/3902/get-microdata,https://microdata.worldbank.org/catalog/3902/download,temp/raw_downloads/UGA_2019_UNPS_v03_M/,Start-Process 'https://microdata.worldbank.org/catalog/3902/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/UGA_2019_UNPS_v03_M',Invoke-Item 'temp/raw_downloads/UGA_2019_UNPS_v03_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno UGA_2019_UNPS_v03_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno UGA_2019_UNPS_v03_M --execute,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno UGA_2019_UNPS_v03_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno UGA_2019_UNPS_v03_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,download_required_sixth_country_candidate,0,1,0,0,51,28,metadata_confirmed_raw_access_gate_confirmed,1,0,24,0,8,16,0,0,0,ready_for_browser_terms_acceptance,browser_manual_terms_acceptance_required,"Official get-microdata and local target folder commands are ready, but raw files require login/terms acceptance or manual placement.",https://microdata.worldbank.org/catalog/1000/get-microdata,https://microdata.worldbank.org/catalog/1000/download,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,Start-Process 'https://microdata.worldbank.org/catalog/1000/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/NPL_2010_LSS-III_v01_M',Invoke-Item 'temp/raw_downloads/NPL_2010_LSS-III_v01_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NPL_2010_LSS-III_v01_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NPL_2010_LSS-III_v01_M --execute,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NPL_2010_LSS-III_v01_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NPL_2010_LSS-III_v01_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
