country,wave,idno,minimum_batch_row,verification_gate,gate_description,gate_status,gate_blocker,next_action
Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,complete_original_raw_package,Complete unchanged official raw package and documentation are locally present.,blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_merge_keys,"Household/person IDs, uniqueness, and merge levels are raw-verified.",blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_weights_survey_design,"Weights, strata, PSU/cluster, and design variables are raw-verified.",blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,consumption_or_income_aggregate,Total consumption or income aggregate is raw-verified.,blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,oop_health_expenditure,"OOP health expenditure variables, units, and recall periods are raw-verified.",blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,illness_need_care_access,Illness/need and care-seeking/access variables are raw-verified.,blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,survey_timing,Survey month/date or fieldwork timing is raw-verified.,blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,geography_climate_anchor,"GPS, cluster, EA, or admin geography is raw-verified for climate linkage.",blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,missing_units_recall_skip_patterns,"Missing codes, units, recall periods, and skip patterns are reviewed.",blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,climate_linkage_route,CHIRPS or ERA5 linkage route is accepted for the verified geography/timing.,blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,promotion_packet_registry,Country-wave promotion packet and promoted registry row are refreshed.,blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2018-2019,ETH_2018_ESS_v04_M,1,complete_original_raw_package,Complete unchanged official raw package and documentation are locally present.,blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2018-2019,ETH_2018_ESS_v04_M,1,household_person_merge_keys,"Household/person IDs, uniqueness, and merge levels are raw-verified.",blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2018-2019,ETH_2018_ESS_v04_M,1,household_weights_survey_design,"Weights, strata, PSU/cluster, and design variables are raw-verified.",blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2018-2019,ETH_2018_ESS_v04_M,1,consumption_or_income_aggregate,Total consumption or income aggregate is raw-verified.,blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2018-2019,ETH_2018_ESS_v04_M,1,oop_health_expenditure,"OOP health expenditure variables, units, and recall periods are raw-verified.",blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2018-2019,ETH_2018_ESS_v04_M,1,illness_need_care_access,Illness/need and care-seeking/access variables are raw-verified.,blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
Ethiopia,2018-2019,ETH_2018_ESS_v04_M,1,survey_timing,Survey month/date or fieldwork timing is raw-verified.,blocked_raw_package_absent,Complete unchanged official raw package is not locally present.,Download or manually place the complete official raw package and documentation.
