metric,value,interpretation
credentialed_fetch_command_packet_rows,10,Minimum-batch credentialed download command rows.
credentialed_fetch_command_packet_countries,5,Distinct countries covered by the command packet.
credentialed_fetch_command_packet_country_list,Ethiopia; Nepal; Nigeria; Tanzania; Uganda,Countries covered by the command packet.
credentialed_fetch_command_packet_expected_core_file_rows,323,Expected core raw-file rows that would be checked after package receipt.
credentialed_fetch_command_packet_target_file_count,0,Existing non-generated target files currently found before download.
credentialed_fetch_command_packet_ready_to_probe_rows,0,Rows ready for credentialed probing with local session material.
credentialed_fetch_command_packet_missing_session_rows,10,Rows blocked because temp/private session material is absent.
data_write_gate_status,blocked_no_data_write,This packet writes only result/report artifacts and does not promote datasets.
modeling_gate_status,blocked,"No predictive, reduced-form, causal ML, or policy learning is opened."
credentialed_fetch_command_packet_status_blocked_missing_worldbank_session,10,Command packet status count.
