scope_rank,country,wave,idno,scope_role,priority_country,download_required,current_promoted_anchor,analysis_ready_status,raw_like_file_count,local_raw_presence_status,unlock_status,endpoint_refresh_status,credentialed_download_required,official_get_microdata_url,local_target_folder,target_status,next_action,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,download_required_priority_country_wave,1,1,0,not_promoted,0,raw_absent_blocks_promotion,blocked_no_local_or_incoming_files,metadata_confirmed_raw_access_gate_confirmed,1,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_download_required_raw_absent,"Acquire the complete unchanged official raw package and documentation, then rerun post-download validation.",blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,download_required_priority_country_wave,1,1,0,not_promoted,0,raw_absent_blocks_promotion,blocked_no_local_or_incoming_files,metadata_confirmed_raw_access_gate_confirmed,1,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_download_required_raw_absent,"Acquire the complete unchanged official raw package and documentation, then rerun post-download validation.",blocked_no_data_write,blocked
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,current_promoted_anchor,1,0,1,promoted_analysis_ready,1,raw_present_promoted,,metadata_confirmed_raw_access_gate_confirmed,1,https://microdata.worldbank.org/catalog/2307/get-microdata,temp/raw_downloads/MWI_2004_IHS-II_v01_M/,implemented_promoted_anchor,Keep promoted row current; do not use it to open modeling thresholds alone.,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,download_required_priority_country_wave,1,1,0,not_promoted,0,raw_absent_blocks_promotion,blocked_no_local_or_incoming_files,metadata_confirmed_raw_access_gate_confirmed,1,https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,blocked_download_required_raw_absent,"Acquire the complete unchanged official raw package and documentation, then rerun post-download validation.",blocked_no_data_write,blocked
5,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,download_required_priority_country_wave,1,1,0,not_promoted,0,raw_absent_blocks_promotion,blocked_no_local_or_incoming_files,metadata_confirmed_raw_access_gate_confirmed,1,https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,blocked_download_required_raw_absent,"Acquire the complete unchanged official raw package and documentation, then rerun post-download validation.",blocked_no_data_write,blocked
6,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,download_required_priority_country_wave,1,1,0,not_promoted,0,raw_absent_blocks_promotion,blocked_no_local_or_incoming_files,metadata_confirmed_raw_access_gate_confirmed,1,https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,blocked_download_required_raw_absent,"Acquire the complete unchanged official raw package and documentation, then rerun post-download validation.",blocked_no_data_write,blocked
7,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,download_required_priority_country_wave,1,1,0,not_promoted,0,raw_absent_blocks_promotion,blocked_no_local_or_incoming_files,metadata_confirmed_raw_access_gate_confirmed,1,https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_download_required_raw_absent,"Acquire the complete unchanged official raw package and documentation, then rerun post-download validation.",blocked_no_data_write,blocked
8,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,download_required_priority_country_wave,1,1,0,not_promoted,0,raw_absent_blocks_promotion,blocked_no_local_or_incoming_files,metadata_confirmed_raw_access_gate_confirmed,1,https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,blocked_download_required_raw_absent,"Acquire the complete unchanged official raw package and documentation, then rerun post-download validation.",blocked_no_data_write,blocked
9,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,download_required_priority_country_wave,1,1,0,not_promoted,0,raw_absent_blocks_promotion,blocked_no_local_or_incoming_files,metadata_confirmed_raw_access_gate_confirmed,1,https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,blocked_download_required_raw_absent,"Acquire the complete unchanged official raw package and documentation, then rerun post-download validation.",blocked_no_data_write,blocked
10,Uganda,2019-2020,UGA_2019_UNPS_v03_M,download_required_priority_country_wave,1,1,0,not_promoted,0,raw_absent_blocks_promotion,blocked_no_local_or_incoming_files,metadata_confirmed_raw_access_gate_confirmed,1,https://microdata.worldbank.org/catalog/3902/get-microdata,temp/raw_downloads/UGA_2019_UNPS_v03_M/,blocked_download_required_raw_absent,"Acquire the complete unchanged official raw package and documentation, then rerun post-download validation.",blocked_no_data_write,blocked
11,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,download_required_sixth_country_candidate,0,1,0,not_promoted,0,raw_absent_blocks_promotion,blocked_no_local_or_incoming_files,metadata_confirmed_raw_access_gate_confirmed,1,https://microdata.worldbank.org/catalog/1000/get-microdata,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,blocked_download_required_raw_absent,"Acquire the complete unchanged official raw package and documentation, then rerun post-download validation.",blocked_no_data_write,blocked
