download_priority_order,queue_role,country,wave,idno,current_plan_status,locked_download_target,external_root_exists,external_folder_hint,external_candidate_folder,external_candidate_folder_exists,external_file_rows,external_raw_like_file_rows,external_total_bytes,expected_file_rows,external_expected_file_match_rows,external_expected_file_missing_rows,core_file_rows,external_core_file_match_rows,external_core_file_missing_rows,matched_requirement_names,unmatched_requirement_names,candidate_receipt_status,provenance_acceptance_status,recommended_next_action,copy_target_folder,post_copy_validation_command,data_write_gate_status,modeling_gate_status
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,selected_in_refocused_plan,1,1,,,0,0,0,0,68,0,68,36,0,36,,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,no_external_candidate_folder,not_accepted_external_local_candidate_requires_official_source_review,No action unless provenance or a matching complete package is found.,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2021_ESPS-W5_v02_M --execute,blocked_no_data_write,blocked
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,selected_in_refocused_plan,1,1,,,0,0,0,0,68,0,68,35,0,35,,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,no_external_candidate_folder,not_accepted_external_local_candidate_requires_official_source_review,No action unless provenance or a matching complete package is found.,temp/raw_downloads/ETH_2018_ESS_v04_M/,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2018_ESS_v04_M --execute,blocked_no_data_write,blocked
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,selected_in_refocused_plan,1,1,malawi_2004,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\malawi_2004,1,58,57,568988299,52,52,0,37,37,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,,external_candidate_core_file_names_complete_pending_provenance,not_accepted_external_local_candidate_requires_official_source_review,"Review provenance against official World Bank package, then copy the complete folder into the target temp/raw_downloads IDNO folder and run receipt/schema/value validation.",temp/raw_downloads/MWI_2004_IHS-II_v01_M/,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno MWI_2004_IHS-II_v01_M --execute,blocked_no_data_write,blocked
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,selected_in_refocused_plan,1,1,nigeria_2012,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2012,1,122,120,299272329,103,100,3,26,20,6,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,,external_candidate_partial_core_file_name_matches_pending_provenance,not_accepted_external_local_candidate_requires_official_source_review,"Review provenance against official World Bank package, then copy the complete folder into the target temp/raw_downloads IDNO folder and run receipt/schema/value validation.",temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2012_GHSP-W2_v02_M --execute,blocked_no_data_write,blocked
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,selected_in_refocused_plan,1,1,nigeria_2015,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2015,1,117,115,463063214,104,104,0,26,26,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,,external_candidate_core_file_names_complete_pending_provenance,not_accepted_external_local_candidate_requires_official_source_review,"Review provenance against official World Bank package, then copy the complete folder into the target temp/raw_downloads IDNO folder and run receipt/schema/value validation.",temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2015_GHSP-W3_v02_M --execute,blocked_no_data_write,blocked
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,selected_in_refocused_plan,1,1,nigeria_2010,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2010,1,111,107,95590399,99,97,2,27,21,6,climate_geography;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,consumption_or_income,external_candidate_partial_core_file_name_matches_pending_provenance,not_accepted_external_local_candidate_requires_official_source_review,"Review provenance against official World Bank package, then copy the complete folder into the target temp/raw_downloads IDNO folder and run receipt/schema/value validation.",temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2010_GHSP-W1_v03_M --execute,blocked_no_data_write,blocked
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,selected_in_refocused_plan,1,1,tanzania_NPS_08_10_12_14/NPS_08,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\tanzania_NPS_08_10_12_14\NPS_08,1,67,66,40757836,61,2,59,35,4,31,climate_geography;consumption_or_income;survey_timing;weights_and_design,health_need_and_access;household_person_keys;oop_health_expenditure,external_candidate_partial_core_file_name_matches_pending_provenance,not_accepted_external_local_candidate_requires_official_source_review,"Review provenance against official World Bank package, then copy the complete folder into the target temp/raw_downloads IDNO folder and run receipt/schema/value validation.",temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2008_NPS-R1_v03_M --execute,blocked_no_data_write,blocked
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,selected_in_refocused_plan,1,1,tanzania_NPS_08_10_12_14/NPS_10,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\tanzania_NPS_08_10_12_14\NPS_10,1,100,99,74580242,95,94,1,38,38,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,,external_candidate_core_file_names_complete_pending_provenance,not_accepted_external_local_candidate_requires_official_source_review,"Review provenance against official World Bank package, then copy the complete folder into the target temp/raw_downloads IDNO folder and run receipt/schema/value validation.",temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2010_NPS-R2_v03_M --execute,blocked_no_data_write,blocked
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,selected_in_refocused_plan,1,1,tanzania_NPS_08_10_12_14/NPS_12,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\tanzania_NPS_08_10_12_14\NPS_12,1,87,85,98840263,80,80,0,33,33,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,,external_candidate_core_file_names_complete_pending_provenance,not_accepted_external_local_candidate_requires_official_source_review,"Review provenance against official World Bank package, then copy the complete folder into the target temp/raw_downloads IDNO folder and run receipt/schema/value validation.",temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2012_NPS-R3_v01_M --execute,blocked_no_data_write,blocked
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,selected_in_refocused_plan,1,1,,,0,0,0,0,109,0,109,39,0,39,,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,no_external_candidate_folder,not_accepted_external_local_candidate_requires_official_source_review,No action unless provenance or a matching complete package is found.,temp/raw_downloads/UGA_2019_UNPS_v03_M/,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno UGA_2019_UNPS_v03_M --execute,blocked_no_data_write,blocked
