intake_rank,download_priority_order,queue_role,country,wave,idno,locked_download_target,current_plan_status,external_candidate_folder,external_candidate_folder_exists,documentation_file_rows,questionnaire_document_rows,codebook_or_basic_info_rows,external_raw_like_file_rows,expected_file_rows,external_expected_file_match_rows,expected_file_match_rate,core_file_rows,external_core_file_match_rows,core_file_match_rate,matched_requirement_names,unmatched_requirement_names,candidate_receipt_status,package_review_status,intake_decision,copy_target_folder,copy_command_hint,post_copy_validation_command,data_write_gate_status,modeling_gate_status
10,3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,1,selected_in_refocused_plan,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\malawi_2004,1,1,1,0,57,52,52,1.000,37,37,1.000,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,,external_candidate_core_file_names_complete_pending_provenance,"Selected wave has near-complete expected-file matches, complete requirement-linked core filenames, and documentation; review official provenance before copying.",copy_review_ready_pending_official_provenance,temp/raw_downloads/MWI_2004_IHS-II_v01_M/,After provenance approval only: Copy-Item -Recurse -LiteralPath 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\malawi_2004' -Destination 'temp/raw_downloads/MWI_2004_IHS-II_v01_M/',python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno MWI_2004_IHS-II_v01_M --execute,blocked_no_data_write,blocked
10,5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,1,selected_in_refocused_plan,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2015,1,2,2,0,115,104,104,1.000,26,26,1.000,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,,external_candidate_core_file_names_complete_pending_provenance,"Selected wave has near-complete expected-file matches, complete requirement-linked core filenames, and documentation; review official provenance before copying.",copy_review_ready_pending_official_provenance,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,After provenance approval only: Copy-Item -Recurse -LiteralPath 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2015' -Destination 'temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/',python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2015_GHSP-W3_v02_M --execute,blocked_no_data_write,blocked
10,8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,1,selected_in_refocused_plan,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\tanzania_NPS_08_10_12_14\NPS_10,1,1,1,0,99,95,94,0.989,38,38,1.000,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,,external_candidate_core_file_names_complete_pending_provenance,"Selected wave has near-complete expected-file matches, complete requirement-linked core filenames, and documentation; review official provenance before copying.",copy_review_ready_pending_official_provenance,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,After provenance approval only: Copy-Item -Recurse -LiteralPath 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\tanzania_NPS_08_10_12_14\NPS_10' -Destination 'temp/raw_downloads/TZA_2010_NPS-R2_v03_M/',python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2010_NPS-R2_v03_M --execute,blocked_no_data_write,blocked
10,9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,1,selected_in_refocused_plan,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\tanzania_NPS_08_10_12_14\NPS_12,1,2,1,0,85,80,80,1.000,33,33,1.000,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,,external_candidate_core_file_names_complete_pending_provenance,"Selected wave has near-complete expected-file matches, complete requirement-linked core filenames, and documentation; review official provenance before copying.",copy_review_ready_pending_official_provenance,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,After provenance approval only: Copy-Item -Recurse -LiteralPath 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\tanzania_NPS_08_10_12_14\NPS_12' -Destination 'temp/raw_downloads/TZA_2012_NPS-R3_v01_M/',python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2012_NPS-R3_v01_M --execute,blocked_no_data_write,blocked
30,4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1,selected_in_refocused_plan,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2012,1,2,2,0,120,103,100,0.971,26,20,0.769,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,,external_candidate_partial_core_file_name_matches_pending_provenance,"Selected wave has external local matches, but expected/core completeness is not sufficient for package receipt without targeted provenance and missing-file review.",selected_partial_intake_review_required,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,After provenance approval only: Copy-Item -Recurse -LiteralPath 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2012' -Destination 'temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/',python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2012_GHSP-W2_v02_M --execute,blocked_no_data_write,blocked
30,6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1,selected_in_refocused_plan,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2010,1,4,4,0,107,99,97,0.980,27,21,0.778,climate_geography;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,consumption_or_income,external_candidate_partial_core_file_name_matches_pending_provenance,"Selected wave has external local matches, but expected/core completeness is not sufficient for package receipt without targeted provenance and missing-file review.",selected_partial_intake_review_required,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,After provenance approval only: Copy-Item -Recurse -LiteralPath 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2010' -Destination 'temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/',python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2010_GHSP-W1_v03_M --execute,blocked_no_data_write,blocked
30,7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,1,selected_in_refocused_plan,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\tanzania_NPS_08_10_12_14\NPS_08,1,1,0,0,66,61,2,0.033,35,4,0.114,climate_geography;consumption_or_income;survey_timing;weights_and_design,health_need_and_access;household_person_keys;oop_health_expenditure,external_candidate_partial_core_file_name_matches_pending_provenance,"Selected wave has external local matches, but expected/core completeness is not sufficient for package receipt without targeted provenance and missing-file review.",selected_partial_intake_review_required,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,After provenance approval only: Copy-Item -Recurse -LiteralPath 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\tanzania_NPS_08_10_12_14\NPS_08' -Destination 'temp/raw_downloads/TZA_2008_NPS-R1_v03_M/',python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2008_NPS-R1_v03_M --execute,blocked_no_data_write,blocked
60,15,replacement_backup_wave,Malawi,2016-2017,MWI_2016_IHS-IV_v04_M,0,backup_not_selected_in_refocused_13_wave_plan,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\malawi_2016,1,1,1,0,104,99,99,1.000,35,35,1.000,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,,external_candidate_core_file_names_complete_pending_provenance,Backup wave has external local matches; hold for later unless it is needed to replace a selected wave or expand country-wave coverage.,backup_intake_review_after_selected_batch,temp/raw_downloads/MWI_2016_IHS-IV_v04_M/,After provenance approval only: Copy-Item -Recurse -LiteralPath 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\malawi_2016' -Destination 'temp/raw_downloads/MWI_2016_IHS-IV_v04_M/',python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno MWI_2016_IHS-IV_v04_M --execute,blocked_no_data_write,blocked
60,16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,0,backup_not_selected_in_refocused_13_wave_plan,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\malawi_2010,1,1,1,0,156,85,85,1.000,36,36,1.000,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,,external_candidate_core_file_names_complete_pending_provenance,Backup wave has external local matches; hold for later unless it is needed to replace a selected wave or expand country-wave coverage.,backup_intake_review_after_selected_batch,temp/raw_downloads/MWI_2010_IHS-III_v01_M/,After provenance approval only: Copy-Item -Recurse -LiteralPath 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\malawi_2010' -Destination 'temp/raw_downloads/MWI_2010_IHS-III_v01_M/',python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno MWI_2010_IHS-III_v01_M --execute,blocked_no_data_write,blocked
60,17,replacement_backup_wave,Uganda,2011-2012,UGA_2011_UNPS_v02_M,0,backup_not_selected_in_refocused_13_wave_plan,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\uganda_2011,1,2,1,0,103,103,101,0.981,32,30,0.938,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,,external_candidate_partial_core_file_name_matches_pending_provenance,Backup wave has external local matches; hold for later unless it is needed to replace a selected wave or expand country-wave coverage.,backup_intake_review_after_selected_batch,temp/raw_downloads/UGA_2011_UNPS_v02_M/,After provenance approval only: Copy-Item -Recurse -LiteralPath 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\uganda_2011' -Destination 'temp/raw_downloads/UGA_2011_UNPS_v02_M/',python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno UGA_2011_UNPS_v02_M --execute,blocked_no_data_write,blocked
