country,wave,idno,priority_country,minimum_batch_row,analysis_ready_status,raw_package_status,raw_value_verification_status,local_target_folder,target_folder_exists,raw_like_file_count,raw_like_total_bytes,raw_like_extensions,raw_like_file_sample,local_raw_presence_status,promotion_implication,next_action
Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,1,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Ethiopia,2018-2019,ETH_2018_ESS_v04_M,1,1,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/ETH_2018_ESS_v04_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,1,0,promoted_analysis_ready,ready_for_raw_value_review,raw_value_verified,temp/raw_downloads/MWI_2004_IHS-II_v01_M/,1,1,27963246,.zip,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,raw_present_promoted,Raw-like package evidence is present for an already promoted registry row.,Keep current promoted-data gate; do not rerun models.
Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1,1,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,1,1,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1,1,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,1,1,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,1,1,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,1,1,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Uganda,2019-2020,UGA_2019_UNPS_v03_M,1,1,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/UGA_2019_UNPS_v03_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Jamaica,1997,JAM_1997_SLC_v01_M,0,0,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/JAM_1997_SLC_v01_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,0,0,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/KGZ_1993_KMPS_v01_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Nepal,2010-2011,NPL_2010_LSS-III_v01_M,0,1,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Malawi,2019-2020,MWI_2019_IHS-V_v06_M,1,0,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/MWI_2019_IHS-V_v06_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Malawi,2016-2017,MWI_2016_IHS-IV_v04_M,1,0,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/MWI_2016_IHS-IV_v04_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Malawi,2010-2011,MWI_2010_IHS-III_v01_M,1,0,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/MWI_2010_IHS-III_v01_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Uganda,2011-2012,UGA_2011_UNPS_v02_M,1,0,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/UGA_2011_UNPS_v02_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Uganda,2018-2019,UGA_2018_UNPS_v02_M,1,0,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/UGA_2018_UNPS_v02_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
Uganda,2015-2016,UGA_2015_UNPS_v02_M,1,0,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,temp/raw_downloads/UGA_2015_UNPS_v02_M/,1,0,0,,,raw_absent_blocks_promotion,No raw-like files are present in the registry target folder; promotion cannot start.,Download or manually place the complete unchanged official raw package and documentation in the target folder.
