download_rank,country,wave,idno,unlock_status,threshold_role,official_get_microdata_url,local_target_folder,public_documentation_receipt_status,access_gate_detected,target_file_count,target_total_bytes,candidate_raw_file_rows,candidate_documentation_file_rows,expected_full_file_rows,expected_core_file_rows,expected_file_name_matches,expected_core_file_name_matches,requirements_covered,registry_analysis_ready_status,registry_outcome_ready_status,registry_che10_che25_ready_status,registry_access_ready_status,registry_climate_linkage_ready_status,registry_raw_package_status,immediate_next_action,post_download_validation_commands,promotion_stop_rule
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,blocked_no_local_or_incoming_files,minimum_10_wave_core,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,complete_core_public_documentation_receipt,1,0,0,0,0,68,36,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,not_promoted,blocked_raw_value_verification_required,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_original_package,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,blocked_no_local_or_incoming_files,minimum_10_wave_core,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,complete_core_public_documentation_receipt,1,0,0,0,0,68,35,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,not_promoted,blocked_raw_value_verification_required,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_original_package,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,blocked_no_local_or_incoming_files,minimum_10_wave_core,https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,complete_core_public_documentation_receipt,1,0,0,0,0,103,26,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,not_promoted,blocked_raw_value_verification_required,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_original_package,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,blocked_no_local_or_incoming_files,minimum_10_wave_core,https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,complete_core_public_documentation_receipt,1,0,0,0,0,104,26,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,not_promoted,blocked_raw_value_verification_required,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_original_package,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,blocked_no_local_or_incoming_files,minimum_10_wave_core,https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,complete_core_public_documentation_receipt,1,0,0,0,0,99,27,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,not_promoted,blocked_raw_value_verification_required,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_original_package,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,blocked_no_local_or_incoming_files,minimum_10_wave_core,https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,complete_core_public_documentation_receipt,1,0,0,0,0,61,35,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,not_promoted,blocked_raw_value_verification_required,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_original_package,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,blocked_no_local_or_incoming_files,minimum_10_wave_core,https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,complete_core_public_documentation_receipt,1,0,0,0,0,95,38,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,not_promoted,blocked_raw_value_verification_required,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_original_package,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,blocked_no_local_or_incoming_files,minimum_10_wave_core,https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,complete_core_public_documentation_receipt,1,0,0,0,0,80,33,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,not_promoted,blocked_raw_value_verification_required,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_original_package,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,blocked_no_local_or_incoming_files,minimum_10_wave_core,https://microdata.worldbank.org/catalog/3902/get-microdata,temp/raw_downloads/UGA_2019_UNPS_v03_M/,complete_core_public_documentation_receipt,1,0,0,0,0,109,39,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,not_promoted,blocked_raw_value_verification_required,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_original_package,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,blocked_no_local_or_incoming_files,minimum_6th_country_financial_protection_candidate,https://microdata.worldbank.org/catalog/1000/get-microdata,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,complete_core_public_documentation_receipt,1,0,0,0,0,51,28,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,not_promoted,blocked_raw_value_verification_required,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,blocked_no_original_package,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
