download_rank,country,wave,idno,catalog_id,expected_file_name,file_description,core_requirements,core_top_variable_names,package_receipt_status,post_download_acceptance_action,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect_cover_hh_w5.dta,Household Data - Cover page,climate_geography;survey_timing;weights_and_design,saq19__Latitude;saq19__Longitude;saq19__Timestamp;pw_w5;ea_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect6b2_hh_w5.dta,Household Data - Food shared by non-household members (Filter Question),weights_and_design,pw_w5,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect6b3_hh_w5.dta,Household Data - Food shared by non-household members,weights_and_design,pw_w5,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect6b4_hh_w5.dta,Household Data - Food consumed outside home,weights_and_design,pw_w5,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect6c_hh_w5.dta,Household Data - Dietary quality,household_person_keys;weights_and_design,individual_id;pw_w5,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect7a_hh_w5.dta,"Household Data - Nonfood expenditure, one month",weights_and_design,pw_w5,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect7b_hh_w5.dta,"Household Data - Nonfood expenditure, 12 months",survey_timing;weights_and_design,item_cd_12months;s7q04;pw_w5,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect8_hh_w5.dta,Household Data - Food insecurity experience scale,weights_and_design,pw_w5,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect1_hh_w5.dta,Household Data - Roster,household_person_keys,individual_id;household_id,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect12b1_hh_w5.dta,Household Data - Nonfarm enterprises roster,household_person_keys;survey_timing,household_id;s12bq08a;s12bq08b,blocked_no_local_package_or_incoming_files,Confirm this file or its archive member is present after placing the complete official package locally.,blocked_no_data_write,blocked
