outcome,exposure,model,rows,clusters,beta,se_hc1,t_stat,p_value_normal,mean_outcome,mean_exposure,fixed_effects,covariates,identification_status,notes
che10_total_budget,precip_total_mm,linear_probability_ols_hc1_limited_diagnostic_window_1m,3599,450,-0.0015707630191976825,0.0009556110534952239,-1.6437262979038294,0.10023275128485552,0.22895248680188943,66.85714087246457,admin2;survey_month,rural;household_size;children_under_5;children_under_15;elderly_60_plus;elderly_65_plus;hh_head_age;hh_head_sex;health_insurance;agriculture_livelihood,limited_diagnostic_association_only_not_causal,Limited ALB_2002 CHE/admin-centroid diagnostic only (window_months=1); do not describe as causal or policy-ready.
che10_total_budget,precip_mean_mm_day,linear_probability_ols_hc1_limited_diagnostic_window_1m,3599,450,-0.04809294178637842,0.029625185955952194,-1.6233802500981684,0.10450814398483746,0.22895248680188943,2.1886985479299805,admin2;survey_month,rural;household_size;children_under_5;children_under_15;elderly_60_plus;elderly_65_plus;hh_head_age;hh_head_sex;health_insurance;agriculture_livelihood,limited_diagnostic_association_only_not_causal,Limited ALB_2002 CHE/admin-centroid diagnostic only (window_months=1); do not describe as causal or policy-ready.
che10_total_budget,precip_within_candidate_z,linear_probability_ols_hc1_limited_diagnostic_window_1m,3599,450,-0.0031448310013180423,0.016910632072930597,-0.1859676792538155,0.8524701073804322,0.22895248680188943,0.11886992693043308,admin2;survey_month,rural;household_size;children_under_5;children_under_15;elderly_60_plus;elderly_65_plus;hh_head_age;hh_head_sex;health_insurance;agriculture_livelihood,limited_diagnostic_association_only_not_causal,Limited ALB_2002 CHE/admin-centroid diagnostic only (window_months=1); do not describe as causal or policy-ready.
che10_total_budget,precip_within_candidate_percentile,linear_probability_ols_hc1_limited_diagnostic_window_1m,3599,450,-0.03521782760843823,0.057090869716218844,-0.6168732020285419,0.5373183637504289,0.22895248680188943,0.5545502569063036,admin2;survey_month,rural;household_size;children_under_5;children_under_15;elderly_60_plus;elderly_65_plus;hh_head_age;hh_head_sex;health_insurance;agriculture_livelihood,limited_diagnostic_association_only_not_causal,Limited ALB_2002 CHE/admin-centroid diagnostic only (window_months=1); do not describe as causal or policy-ready.
che10_total_budget,temp_mean_c,linear_probability_ols_hc1_limited_diagnostic_window_1m,3599,450,-0.012310418643179858,0.02014959753126068,-0.6109510933943525,0.5412319581986651,0.22895248680188943,12.612821636565712,admin2;survey_month,rural;household_size;children_under_5;children_under_15;elderly_60_plus;elderly_65_plus;hh_head_age;hh_head_sex;health_insurance;agriculture_livelihood,limited_diagnostic_association_only_not_causal,Limited ALB_2002 CHE/admin-centroid diagnostic only (window_months=1); do not describe as causal or policy-ready.
che10_total_budget,temp_max_c,linear_probability_ols_hc1_limited_diagnostic_window_1m,3599,450,-0.00920195967308467,0.01267440587191892,-0.72602690540882,0.4678222766924673,0.22895248680188943,22.24347040844679,admin2;survey_month,rural;household_size;children_under_5;children_under_15;elderly_60_plus;elderly_65_plus;hh_head_age;hh_head_sex;health_insurance;agriculture_livelihood,limited_diagnostic_association_only_not_causal,Limited ALB_2002 CHE/admin-centroid diagnostic only (window_months=1); do not describe as causal or policy-ready.
che10_total_budget,temp_min_c,linear_probability_ols_hc1_limited_diagnostic_window_1m,3599,450,-0.029108820280422058,0.019737592388250264,-1.474790831010902,0.1402687870581531,0.22895248680188943,4.369399833287024,admin2;survey_month,rural;household_size;children_under_5;children_under_15;elderly_60_plus;elderly_65_plus;hh_head_age;hh_head_sex;health_insurance;agriculture_livelihood,limited_diagnostic_association_only_not_causal,Limited ALB_2002 CHE/admin-centroid diagnostic only (window_months=1); do not describe as causal or policy-ready.
che10_total_budget,temp_within_candidate_z,linear_probability_ols_hc1_limited_diagnostic_window_1m,3599,450,-0.06485806653191212,0.08113304458951105,-0.7994038293528679,0.4240562907299864,0.22895248680188943,0.013552814915003642,admin2;survey_month,rural;household_size;children_under_5;children_under_15;elderly_60_plus;elderly_65_plus;hh_head_age;hh_head_sex;health_insurance;agriculture_livelihood,limited_diagnostic_association_only_not_causal,Limited ALB_2002 CHE/admin-centroid diagnostic only (window_months=1); do not describe as causal or policy-ready.
che10_total_budget,temp_within_candidate_percentile,linear_probability_ols_hc1_limited_diagnostic_window_1m,3599,450,-0.22174060594395914,0.31957022561944043,-0.6938712939046409,0.4877629273387198,0.22895248680188943,0.5191233685545831,admin2;survey_month,rural;household_size;children_under_5;children_under_15;elderly_60_plus;elderly_65_plus;hh_head_age;hh_head_sex;health_insurance;agriculture_livelihood,limited_diagnostic_association_only_not_causal,Limited ALB_2002 CHE/admin-centroid diagnostic only (window_months=1); do not describe as causal or policy-ready.
che10_total_budget,diagnostic_heat_z_ge_1,linear_probability_ols_hc1_limited_diagnostic_window_1m,3599,450,-0.02025764716881616,0.060760846712522125,-0.3333996852391013,0.7388326007246547,0.22895248680188943,0.25451514309530426,admin2;survey_month,rural;household_size;children_under_5;children_under_15;elderly_60_plus;elderly_65_plus;hh_head_age;hh_head_sex;health_insurance;agriculture_livelihood,limited_diagnostic_association_only_not_causal,Limited ALB_2002 CHE/admin-centroid diagnostic only (window_months=1); do not describe as causal or policy-ready.
