source_role,source_name,indicator,official_url,probe_status,saved_path,current_use,limitation
country_validation_portal,World Bank HEFPI portal,,https://datatopics.worldbank.org/health-equity-and-financial-protection/,reachable_snapshot_saved,temp/source_snapshots/validation_reference_sources/world_bank_hefpi_portal.html,Country-level validation source for financial protection estimates where comparable indicators exist.,Use for external validation only; microdata outcome construction remains source survey based.
country_validation_catalog,World Bank HEFPI data catalog record,,https://datacatalog.worldbank.org/search/dataset/0038633,reachable_snapshot_saved,temp/source_snapshots/validation_reference_sources/world_bank_hefpi_data_catalog_record.html,Catalog record linked from the HEFPI portal for downloadable/reference data discovery.,Catalog/download formats must be verified before using as validation data.
hefpi_indicator_api_catalog,World Bank HEFPI source 65 indicator API,,https://api.worldbank.org/v2/source/65/Indicators,reachable_snapshot_saved,temp/source_snapshots/validation_reference_sources/world_bank_hefpi_source_65_indicator_api.html,HEFPI-specific indicator catalog linked from the World Bank data catalog.,Use to identify HEFPI-specific financial-protection indicator codes.
hefpi_bulk_csv_reference,World Bank HEFPI bulk CSV download,,https://databank.worldbank.org/data/download/HEFPI_CSV.zip,reachable_snapshot_saved,temp/source_snapshots/validation_reference_sources/world_bank_hefpi_bulk_csv_download.zip,Public aggregate HEFPI reference data for CHE/impoverishment validation where comparable.,Aggregate country-year validation data only; not household microdata.
che10_country_validation,World Bank indicator SH.UHC.OOPC.10.ZS,SH.UHC.OOPC.10.ZS,https://api.worldbank.org/v2/indicator/SH.UHC.OOPC.10.ZS,indicator_metadata_available,temp/source_snapshots/validation_reference_sources/indicator_sh.uhc.oopc.10.zs.zs,External comparison for CHE10 total-budget outcome.,Population spending more than 10% of household consumption or income on OOP health care expenditure.
che25_country_validation,World Bank indicator SH.UHC.OOPC.25.ZS,SH.UHC.OOPC.25.ZS,https://api.worldbank.org/v2/indicator/SH.UHC.OOPC.25.ZS,indicator_metadata_available,temp/source_snapshots/validation_reference_sources/indicator_sh.uhc.oopc.25.zs.zs,External comparison for CHE25 total-budget outcome.,Population spending more than 25% of household consumption or income on OOP health care expenditure.
oop_macro_context,World Bank indicator SH.XPD.OOPC.CH.ZS,SH.XPD.OOPC.CH.ZS,https://api.worldbank.org/v2/indicator/SH.XPD.OOPC.CH.ZS,indicator_metadata_available,temp/source_snapshots/validation_reference_sources/indicator_sh.xpd.oopc.ch.zs.zs,Country macro context for OOP share of current health expenditure; not a household catastrophic-spending validation.,Out-of-pocket expenditure as percentage of current health expenditure.
oop_macro_context,World Bank indicator SH.XPD.OOPC.PC.CD,SH.XPD.OOPC.PC.CD,https://api.worldbank.org/v2/indicator/SH.XPD.OOPC.PC.CD,indicator_metadata_available,temp/source_snapshots/validation_reference_sources/indicator_sh.xpd.oopc.pc.cd.cd,Country macro context for OOP per-capita spending in current US dollars.,Not a substitute for household OOP variable construction.
oop_macro_context,World Bank indicator SH.XPD.OOPC.PP.CD,SH.XPD.OOPC.PP.CD,https://api.worldbank.org/v2/indicator/SH.XPD.OOPC.PP.CD,indicator_metadata_available,temp/source_snapshots/validation_reference_sources/indicator_sh.xpd.oopc.pp.cd.cd,Country macro context for OOP per-capita spending in current international dollars.,Not a substitute for household OOP variable construction.
poverty_line_context,World Bank indicator SI.POV.DDAY,SI.POV.DDAY,https://api.worldbank.org/v2/indicator/SI.POV.DDAY,indicator_metadata_available,temp/source_snapshots/validation_reference_sources/indicator_si.pov.dday.dday,Poverty-line context for SDG 3.8.2 denominator feasibility.,WDI poverty headcount at $3.00/day 2021 PPP; not the household-level societal poverty line by itself.
ppp_conversion_context,World Bank indicator PA.NUS.PRVT.PP,PA.NUS.PRVT.PP,https://api.worldbank.org/v2/indicator/PA.NUS.PRVT.PP,indicator_metadata_available,temp/source_snapshots/validation_reference_sources/indicator_pa.nus.prvt.pp.pp,PPP conversion factor for household final consumption context.,LCU per international dollar; verify PPP base and compatibility with SDG metadata before denominator use.
cpi_context,World Bank indicator FP.CPI.TOTL,FP.CPI.TOTL,https://api.worldbank.org/v2/indicator/FP.CPI.TOTL,indicator_metadata_available,temp/source_snapshots/validation_reference_sources/indicator_fp.cpi.totl.totl,CPI context for within-country price adjustment if raw survey currency years require deflation.,Consumer price index (2010 = 100) in WDI.
pip_societal_poverty_benchmark,World Bank Poverty and Inequality Platform,,https://pip.worldbank.org/home,not_probed,,Benchmark for societal poverty line and PPP base after raw welfare vector exists.,PIP societal-poverty benchmark not yet probed in this workspace.
pip_ppp_2017_benchmark,World Bank Poverty and Inequality Platform,,https://pip.worldbank.org/home,not_probed,,Benchmark for societal poverty line and PPP base after raw welfare vector exists.,Exact PIP/2017 PPP benchmark not yet probed in this workspace.
official_sdg382_metadata,UNSD SDG 3.8.2 metadata,SH_OOP_XPD_EARNNET40,https://unstats.un.org/sdgs/metadata/files/Metadata-03-08-02.pdf,local_snapshot_present,temp/source_snapshots/unstats_sdg_3_8_2_metadata.txt,Official formula basis for SDG 3.8.2 denominator guard.,Formula source only; does not provide household-level variables.
who_sdg382_2025_topic_page,WHO financial protection page,SDG 3.8.2 2025 definition,https://www.who.int/data/gho/data/themes/topics/financial-protection,local_snapshot_present,temp/source_snapshots/who_financial_protection_sdg382_2025.md,Policy/source verification that 2025 SDG 3.8.2 uses 40 percent discretionary budget.,Topic page does not replace microdata construction.
hefpi_uhc_reference_records,World Bank HEFPI reference extract,multiple,https://databank.worldbank.org/data/download/HEFPI_CSV.zip,records_available,temp/hefpi_uhc_reference_sample.csv,Country-year validation after household outcomes are constructed.,series_rows=59; reference_rows=1288; aggregate validation only.
wdi_indicator_samples,World Bank WDI indicator samples,multiple,https://api.worldbank.org/v2/indicator,records_available,temp/validation_reference_indicator_sample.csv,"PPP, CPI, OOP macro context samples.",Samples are not household microdata and may not be the exact SDG 2017 PPP/PIP benchmark.
