country,wave,idno,evidence_type,left_member,right_member,key_variables,left_rows,right_rows,left_nonmissing_key_rows,right_nonmissing_key_rows,left_distinct_keys,right_distinct_keys,left_duplicate_key_rows,right_duplicate_key_rows,matched_left_distinct_keys,unmatched_left_distinct_keys,evidence_status,notes
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_key_uniqueness,ihs2_household.dta,,case_id,11280,,11280,,11280,,0,,,,unique_at_expected_level,Household-level poverty/consumption-ready file should be unique by case_id.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,expenditure_key_uniqueness,ihs2_exp.dta,,case_id,11280,,11280,,11280,,0,,,,unique_at_expected_level,Annual expenditure component file should be unique by case_id.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,poverty_consumption_key_uniqueness,ihs2_pov.dta,,case_id,11280,,11280,,11280,,0,,,,unique_at_expected_level,Poverty/consumption file should be unique by case_id.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,person_key_uniqueness,ihs2_individ.dta,,case_id;memid,51288,,51288,,51288,,0,,,,unique_at_expected_level,Individual roster should be unique by household-person key case_id+memid.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_module_person_key_uniqueness,sec_d.dta,,case_id;memid,51292,,51292,,51292,,0,,,,unique_at_expected_level,Health module should join to individual roster on case_id+memid.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_to_expenditure_join,ihs2_household.dta,ihs2_exp.dta,case_id,11280,11280,11280,11280,11280,11280,0,0,11280,0,all_left_distinct_keys_matched,Confirms denominator/covariate household file can join to expenditure components.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_to_poverty_consumption_join,ihs2_household.dta,ihs2_pov.dta,case_id,11280,11280,11280,11280,11280,11280,0,0,11280,0,all_left_distinct_keys_matched,Confirms household file can join to poverty/consumption aggregate file.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,individual_households_to_household_join,ihs2_individ.dta,ihs2_household.dta,case_id,51288,11280,51288,11280,11280,11280,40008,0,11280,0,all_left_distinct_keys_matched,Confirms all individual-module households exist in household file.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_module_households_to_household_join,sec_d.dta,ihs2_household.dta,case_id,51292,11280,51292,11280,11280,11280,40012,0,11280,0,all_left_distinct_keys_matched,Confirms all health-module households exist in household file.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_module_to_individual_join,sec_d.dta,ihs2_individ.dta,case_id;memid,51292,51288,51292,51288,51292,51288,0,0,51286,6,unmatched_keys_require_review,Confirms health module joins to individual roster on case_id+memid.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_admin_ea_to_ea_file_join,ihs2_household.dta,ihs2_ea_data.dta,dist;ta;ea,11280,564,11280,564,564,564,10716,0,564,0,all_left_distinct_keys_matched,Confirms household dist+ta+ea geography can join to EA-level auxiliary file.
