acquisition_batch_rank,batch_role,country,wave,idno,survey_name,official_url,local_target_folder,candidate_timing_files,candidate_geography_files,planned_geography_level,timing_metadata_status,geography_metadata_status,timing_raw_verification_status,geography_raw_verification_status,chirps_source_route_status,era5_source_route_status,nasa_power_fallback_status,source_route_preflight_status,climate_requirements_rows,blocked_climate_requirements_rows,accepted_chirps_era5_route_status,current_climate_linkage_gate_status,required_raw_fields_to_verify,next_action,handoff_readme,promotion_stop_rule
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,sect_cover_ls_w5.dta;sect_cover_ph_w5.dta;sect_cover_pp_w5.dta,cons_agg_w5.dta;eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta;sect01a_com_w5.dta;sect01b_com_w5.dta;sect02_com_w5.dta;sect03_com_w5.dta;sect04_com_w5.dta;sect05_com_w5.dta;sect06_com_w5.dta,cluster_or_household_point_if_coordinates_pass_quality_checks,metadata_supported_raw_unverified,metadata_supported_raw_unverified,raw_not_inspected,raw_not_inspected,chirps_source_probe_ready,era5_source_probe_ready,nasa_power_source_probe_ready,primary_chirps_era5_and_fallback_sources_probe_ready,11,11,not_accepted_raw_timing_geography_unverified,blocked_raw_timing_geography_not_verified_sources_ready,interview date or interview month/year; household or cluster identifier; survey wave/year linkage key; survey weight/design keys for later analysis linkage; latitude; longitude; coordinate accuracy or displacement flag; coordinate CRS/geodetic datum; geolocation quality flag; raw missing codes and skip patterns,"After raw package placement, verify timing/geography variables and geolocation quality, then build climate linkage input.",temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_CLIMATE_LINKAGE_HANDOFF.md,"Do not write climate-linked data or run models until raw timing/geography, source units, spatial QC, lag windows, and CHIRPS/ERA5 validation pass."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,Socioeconomic Survey 2018-2019,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,sect_cover_hh_w4.dta;sect_cover_ls_w4.dta;sect_cover_ph_w4.dta;sect_cover_pp_w4.dta,ETH_HouseholdGeovariables_Y4.dta;ET_local_area_unit_conversion.dta;cons_agg_w4.dta;sect01a_com_w4.dta;sect01b_com_w4.dta;sect02_com_w4.dta;sect03_com_w4.dta;sect04_com_w4.dta;sect05_com_w4.dta;sect06_com_w4.dta,cluster_or_household_point_if_coordinates_pass_quality_checks,metadata_supported_raw_unverified,metadata_supported_raw_unverified,raw_not_inspected,raw_not_inspected,chirps_source_probe_ready,era5_source_probe_ready,nasa_power_source_probe_ready,primary_chirps_era5_and_fallback_sources_probe_ready,11,11,not_accepted_raw_timing_geography_unverified,blocked_raw_timing_geography_not_verified_sources_ready,interview date or interview month/year; household or cluster identifier; survey wave/year linkage key; survey weight/design keys for later analysis linkage; latitude; longitude; coordinate accuracy or displacement flag; coordinate CRS/geodetic datum; geolocation quality flag; raw missing codes and skip patterns,"After raw package placement, verify timing/geography variables and geolocation quality, then build climate linkage input.",temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_CLIMATE_LINKAGE_HANDOFF.md,"Do not write climate-linked data or run models until raw timing/geography, source units, spatial QC, lag windows, and CHIRPS/ERA5 validation pass."
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,"Marriage Transitions in Malawi 2007-2009, Panel Data",https://microdata.worldbank.org/catalog/3462/get-microdata,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,hh2_mortality;hh2_tf;hh3_health;hh3_market_mids,hh2_mkts_hlthfac;hh2p2_cs;pi_cs;ptrack_public;hh2_cmty;hh2_vct;hh2p2_s10;hh2p2_s12;hh2p3_s15;hh3_market_mids,gps_or_cluster_if_raw_verified_else_admin_fallback,metadata_supported_raw_unverified,metadata_supported_raw_unverified,raw_not_inspected,raw_not_inspected,chirps_source_probe_ready,era5_source_probe_ready,nasa_power_source_probe_ready,primary_chirps_era5_and_fallback_sources_probe_ready,11,11,not_accepted_raw_timing_geography_unverified,blocked_raw_timing_geography_not_verified_sources_ready,interview date or interview month/year; household or cluster identifier; survey wave/year linkage key; survey weight/design keys for later analysis linkage; admin1/admin2 or EA/cluster geography; admin code/name crosswalk; geography vintage and boundary source; geolocation quality flag; raw missing codes and skip patterns,"After raw package placement, verify timing/geography variables and geolocation quality, then build climate linkage input.",temp/raw_downloads/MWI_2007-2009_MTM_v01_M/_PRIORITY_CLIMATE_LINKAGE_HANDOFF.md,"Do not write climate-linked data or run models until raw timing/geography, source units, spatial QC, lag windows, and CHIRPS/ERA5 validation pass."
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,sectc_plantingw2,NGA_HouseholdGeovars_Y2;NGA_PlotGeovariables_Y2;sect11a1_plantingw2;secta1_harvestw2,cluster_or_household_point_if_coordinates_pass_quality_checks,metadata_supported_raw_unverified,metadata_supported_raw_unverified,raw_not_inspected,raw_not_inspected,chirps_source_probe_ready,era5_source_probe_ready,nasa_power_source_probe_ready,primary_chirps_era5_and_fallback_sources_probe_ready,11,11,not_accepted_raw_timing_geography_unverified,blocked_raw_timing_geography_not_verified_sources_ready,interview date or interview month/year; household or cluster identifier; survey wave/year linkage key; survey weight/design keys for later analysis linkage; latitude; longitude; coordinate accuracy or displacement flag; coordinate CRS/geodetic datum; geolocation quality flag; raw missing codes and skip patterns,"After raw package placement, verify timing/geography variables and geolocation quality, then build climate linkage input.",temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_CLIMATE_LINKAGE_HANDOFF.md,"Do not write climate-linked data or run models until raw timing/geography, source units, spatial QC, lag windows, and CHIRPS/ERA5 validation pass."
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,sectc_harvestw3;sectc_plantingw3,NGA_HouseholdGeovars_Y3;sect11a1_plantingw3;secta1_harvestw3,gps_or_cluster_if_raw_verified_else_admin_fallback,metadata_supported_raw_unverified,metadata_supported_raw_unverified,raw_not_inspected,raw_not_inspected,chirps_source_probe_ready,era5_source_probe_ready,nasa_power_source_probe_ready,primary_chirps_era5_and_fallback_sources_probe_ready,11,11,not_accepted_raw_timing_geography_unverified,blocked_raw_timing_geography_not_verified_sources_ready,interview date or interview month/year; household or cluster identifier; survey wave/year linkage key; survey weight/design keys for later analysis linkage; admin1/admin2 or EA/cluster geography; admin code/name crosswalk; geography vintage and boundary source; geolocation quality flag; raw missing codes and skip patterns,"After raw package placement, verify timing/geography variables and geolocation quality, then build climate linkage input.",temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_CLIMATE_LINKAGE_HANDOFF.md,"Do not write climate-linked data or run models until raw timing/geography, source units, spatial QC, lag windows, and CHIRPS/ERA5 validation pass."
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,sectc_plantingw1,NGA_HouseholdGeovariables_Y1;sect11a1_plantingw1;secta1_harvestw1,cluster_or_household_point_if_coordinates_pass_quality_checks,metadata_supported_raw_unverified,metadata_supported_raw_unverified,raw_not_inspected,raw_not_inspected,chirps_source_probe_ready,era5_source_probe_ready,nasa_power_source_probe_ready,primary_chirps_era5_and_fallback_sources_probe_ready,11,11,not_accepted_raw_timing_geography_unverified,blocked_raw_timing_geography_not_verified_sources_ready,interview date or interview month/year; household or cluster identifier; survey wave/year linkage key; survey weight/design keys for later analysis linkage; latitude; longitude; coordinate accuracy or displacement flag; coordinate CRS/geodetic datum; geolocation quality flag; raw missing codes and skip patterns,"After raw package placement, verify timing/geography variables and geolocation quality, then build climate linkage input.",temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_CLIMATE_LINKAGE_HANDOFF.md,"Do not write climate-linked data or run models until raw timing/geography, source units, spatial QC, lag windows, and CHIRPS/ERA5 validation pass."
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,SECTA1A2_English_Labels;TZY1.HH.Consumption,HH.Geovariables_Y1;SECTA1A2_English_Labels;SECTA1A2_Swahili_Labels;SECTCB;SECTCB_Swahili_Labels;SECTCC;SECTCD;SECTCEFG;SECTCH;SECTCI,cluster_or_household_point_if_coordinates_pass_quality_checks,metadata_supported_raw_unverified,metadata_supported_raw_unverified,raw_not_inspected,raw_not_inspected,chirps_source_probe_ready,era5_source_probe_ready,nasa_power_source_probe_ready,primary_chirps_era5_and_fallback_sources_probe_ready,11,11,not_accepted_raw_timing_geography_unverified,blocked_raw_timing_geography_not_verified_sources_ready,interview date or interview month/year; household or cluster identifier; survey wave/year linkage key; survey weight/design keys for later analysis linkage; latitude; longitude; coordinate accuracy or displacement flag; coordinate CRS/geodetic datum; geolocation quality flag; raw missing codes and skip patterns,"After raw package placement, verify timing/geography variables and geolocation quality, then build climate linkage input.",temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_CLIMATE_LINKAGE_HANDOFF.md,"Do not write climate-linked data or run models until raw timing/geography, source units, spatial QC, lag windows, and CHIRPS/ERA5 validation pass."
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,TZY1.HH.Consumption;TZY2.HH.Consumption,AG_SEC2A;AG_SEC2B;COMSEC_CA;COMSEC_CB;COMSEC_CD;COMSEC_CE;COMSEC_CF;COMSEC_CG;COMSEC_CH;COMSEC_CI,gps_or_cluster_if_raw_verified_else_admin_fallback,metadata_supported_raw_unverified,metadata_supported_raw_unverified,raw_not_inspected,raw_not_inspected,chirps_source_probe_ready,era5_source_probe_ready,nasa_power_source_probe_ready,primary_chirps_era5_and_fallback_sources_probe_ready,11,11,not_accepted_raw_timing_geography_unverified,blocked_raw_timing_geography_not_verified_sources_ready,interview date or interview month/year; household or cluster identifier; survey wave/year linkage key; survey weight/design keys for later analysis linkage; admin1/admin2 or EA/cluster geography; admin code/name crosswalk; geography vintage and boundary source; geolocation quality flag; raw missing codes and skip patterns,"After raw package placement, verify timing/geography variables and geolocation quality, then build climate linkage input.",temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_CLIMATE_LINKAGE_HANDOFF.md,"Do not write climate-linked data or run models until raw timing/geography, source units, spatial QC, lag windows, and CHIRPS/ERA5 validation pass."
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,AG_SEC_A;COM_SEC_A1A2;HH_SEC_A;LF_SEC_A,AG_SEC_2A;AG_SEC_2B;AG_SEC_A;COM_SEC_A1A2;COM_SEC_CB;COM_SEC_CD;COM_SEC_CE;COM_SEC_CF_ID;COM_SEC_CG;ConsumptionNPS3,gps_or_cluster_if_raw_verified_else_admin_fallback,metadata_supported_raw_unverified,metadata_supported_raw_unverified,raw_not_inspected,raw_not_inspected,chirps_source_probe_ready,era5_source_probe_ready,nasa_power_source_probe_ready,primary_chirps_era5_and_fallback_sources_probe_ready,11,11,not_accepted_raw_timing_geography_unverified,blocked_raw_timing_geography_not_verified_sources_ready,interview date or interview month/year; household or cluster identifier; survey wave/year linkage key; survey weight/design keys for later analysis linkage; admin1/admin2 or EA/cluster geography; admin code/name crosswalk; geography vintage and boundary source; geolocation quality flag; raw missing codes and skip patterns,"After raw package placement, verify timing/geography variables and geolocation quality, then build climate linkage input.",temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_CLIMATE_LINKAGE_HANDOFF.md,"Do not write climate-linked data or run models until raw timing/geography, source units, spatial QC, lag windows, and CHIRPS/ERA5 validation pass."
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,"Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations",https://microdata.worldbank.org/catalog/2654/get-microdata,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/,int_access_fin;int_cohesion;int_facilities1;int_markets1;int_welfare_hh;sage_labourintermed,SAGE_HHWEIGHTSV2;int_access_educ18plus;int_access_fin;int_access_health;int_access_health_hh;int_access_school;int_asset_index;int_ben_characteristics;int_cohesion;int_cohesion_dec1,gps_or_cluster_if_raw_verified_else_admin_fallback,metadata_supported_raw_unverified,metadata_supported_raw_unverified,raw_not_inspected,raw_not_inspected,chirps_source_probe_ready,era5_source_probe_ready,nasa_power_source_probe_ready,primary_chirps_era5_and_fallback_sources_probe_ready,11,11,not_accepted_raw_timing_geography_unverified,blocked_raw_timing_geography_not_verified_sources_ready,interview date or interview month/year; household or cluster identifier; survey wave/year linkage key; survey weight/design keys for later analysis linkage; admin1/admin2 or EA/cluster geography; admin code/name crosswalk; geography vintage and boundary source; geolocation quality flag; raw missing codes and skip patterns,"After raw package placement, verify timing/geography variables and geolocation quality, then build climate linkage input.",temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/_PRIORITY_CLIMATE_LINKAGE_HANDOFF.md,"Do not write climate-linked data or run models until raw timing/geography, source units, spatial QC, lag windows, and CHIRPS/ERA5 validation pass."
