acquisition_batch_rank,batch_role,country,wave,idno,catalog_id,metadata_file_name,metadata_file_description,cases,variable_count,unit_guess,module_guess,priority_core_target,current_receipt_status,expected_local_name_patterns,download_review_action
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect_cover_hh_w5.dta,Household Data - Cover page,4959,25,household,other,0,not_received_no_original_raw_package,sect_cover_hh_w5.dta;sect_cover_hh_w5.*;*sect_cover_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect1_hh_w5.dta,Household Data - Roster,25374,63,household,demographics/roster,0,not_received_no_original_raw_package,sect1_hh_w5.dta;sect1_hh_w5.*;*sect1_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect2_hh_w5.dta,Household Data - Education,22688,43,household,other,0,not_received_no_original_raw_package,sect2_hh_w5.dta;sect2_hh_w5.*;*sect2_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect3_hh_w5.dta,Household Data - Health,22688,69,household,health,1,not_received_no_original_raw_package,sect3_hh_w5.dta;sect3_hh_w5.*;*sect3_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect3b_hh_w5.dta,Household Data - COVID-19,22688,23,household,other,0,not_received_no_original_raw_package,sect3b_hh_w5.dta;sect3b_hh_w5.*;*sect3b_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect4_hh_w5.dta,Household Data - Labor and time use,22688,82,household,other,0,not_received_no_original_raw_package,sect4_hh_w5.dta;sect4_hh_w5.*;*sect4_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect5a_hh_w5.dta,Banking and financial inclusion,22688,91,household,other,0,not_received_no_original_raw_package,sect5a_hh_w5.dta;sect5a_hh_w5.*;*sect5a_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect5b_hh_w5.dta,Digital financial services,22688,60,household,other,0,not_received_no_original_raw_package,sect5b_hh_w5.dta;sect5b_hh_w5.*;*sect5b_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect6a_hh_w5.dta,Household Data - Food consumption last 7 days,366966,28,household,consumption/welfare,0,not_received_no_original_raw_package,sect6a_hh_w5.dta;sect6a_hh_w5.*;*sect6a_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,sect6b2_hh_w5.dta,Household Data - Food shared by non-household members (Filter Question),4959,13,household,other,0,not_received_no_original_raw_package,sect6b2_hh_w5.dta;sect6b2_hh_w5.*;*sect6b2_hh_w5*,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
