download_order,acquisition_batch_rank,batch_role,country,wave,idno,core_file_rank,metadata_file_name,metadata_file_description,candidate_categories,candidate_harmonized_variables,expected_local_name_patterns,current_receipt_status,file_acceptance_status,post_download_verification
1,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,sect3_hh_w5.dta,Household Data - Health,demographics;geography;health_expenditure;health_need_access;survey_design,admin1_or_admin2;age;care_not_sought_reason;care_sought;health_insurance;hhid;household_weight_or_person_weight;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;reason_not_sought_distance;rural,sect3_hh_w5.dta;sect3_hh_w5.*;*sect3_hh_w5*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
1,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,sect04_com_w5.dta,Community - Access to basic services and infrastructure,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;asset_index_or_asset_variable;care_sought;psu_or_cluster_id;reason_not_sought_distance;rural;sex;shock_module_variable,sect04_com_w5.dta;sect04_com_w5.*;*sect04_com_w5*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
1,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,3,sect06_com_w5.dta,Community - Agriculture,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;psu_or_cluster_id;reason_not_sought_distance;rural;shock_module_variable,sect06_com_w5.dta;sect06_com_w5.*;*sect06_com_w5*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
1,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,4,sect11_com_w5.dta,Community - Agriculture mechanization,demographics;geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;education;psu_or_cluster_id;rural,sect11_com_w5.dta;sect11_com_w5.*;*sect11_com_w5*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
1,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,5,sect3_pp_w5.dta,Post-planting - Field roster,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;household_weight_or_person_weight;latitude_or_longitude;psu_or_cluster_id;reason_not_sought_distance;rural,sect3_pp_w5.dta;sect3_pp_w5.*;*sect3_pp_w5*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
1,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6,sect4_pp_w5.dta,Post-planting - Crop field roster,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural;shock_module_variable,sect4_pp_w5.dta;sect4_pp_w5.*;*sect4_pp_w5*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
1,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,7,sect7_pp_w5.dta,Post-planting - Holder questions,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_not_sought_reason;coping_borrowed;education;household_weight_or_person_weight;psu_or_cluster_id,sect7_pp_w5.dta;sect7_pp_w5.*;*sect7_pp_w5*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
1,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,8,sect9_ph_w5.dta,Post-harvest - Harvest by field,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural;shock_module_variable,sect9_ph_w5.dta;sect9_ph_w5.*;*sect9_ph_w5*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
1,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,9,sect11_ph_w5.dta,Post-harvest - Crop utilization,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural,sect11_ph_w5.dta;sect11_ph_w5.*;*sect11_ph_w5*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
1,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,10,sect8_2_ls_w5.dta,Livestock - Livestock change,consumption;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural;total_consumption_or_income,sect8_2_ls_w5.dta;sect8_2_ls_w5.*;*sect8_2_ls_w5*,not_received_no_original_raw_package,blocked_no_raw_or_archive_file,"Confirm this file/module exists directly or inside the complete official package, inspect schema, and connect accepted variables to the manual verification templates."
