download_rank,idno,request_url,request_attempted,http_status,response_classification,bytes_read_or_saved,content_sha256_limited,saved_path,error
1,ETH_2021_ESPS-W5_v02_M,https://microdata.worldbank.org/catalog/6161/download,0,,blocked_missing_worldbank_session,0,,,
2,ETH_2018_ESS_v04_M,https://microdata.worldbank.org/catalog/3823/download,0,,blocked_missing_worldbank_session,0,,,
3,NGA_2012_GHSP-W2_v02_M,https://microdata.worldbank.org/catalog/1952/download,0,,blocked_missing_worldbank_session,0,,,
4,NGA_2015_GHSP-W3_v02_M,https://microdata.worldbank.org/catalog/2734/download,0,,blocked_missing_worldbank_session,0,,,
5,NGA_2010_GHSP-W1_v03_M,https://microdata.worldbank.org/catalog/1002/download,0,,blocked_missing_worldbank_session,0,,,
6,TZA_2008_NPS-R1_v03_M,https://microdata.worldbank.org/catalog/76/download,0,,blocked_missing_worldbank_session,0,,,
7,TZA_2010_NPS-R2_v03_M,https://microdata.worldbank.org/catalog/1050/download,0,,blocked_missing_worldbank_session,0,,,
8,TZA_2012_NPS-R3_v01_M,https://microdata.worldbank.org/catalog/2252/download,0,,blocked_missing_worldbank_session,0,,,
9,UGA_2019_UNPS_v03_M,https://microdata.worldbank.org/catalog/3902/download,0,,blocked_missing_worldbank_session,0,,,
10,NPL_2010_LSS-III_v01_M,https://microdata.worldbank.org/catalog/1000/download,0,,blocked_missing_worldbank_session,0,,,
