download_priority_order,country,wave,idno,relative_path,file_name,suffix,bytes,file_role,direct_file_acceptance_status
3,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,temp/raw_downloads/MWI_2004_IHS-II_v01_M/MWI_2004_IHS-II_v01_M_Stata8.zip,MWI_2004_IHS-II_v01_M_Stata8.zip,.zip,27963246,official_archive_or_compressed_package_candidate,direct_file_present_pending_schema_or_documentation_review
5,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/ag_conv_w3.dta,ag_conv_w3.dta,.dta,96949,raw_tabular_or_workbook_candidate,direct_file_present_pending_schema_or_documentation_review
5,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/aux1.dta,aux1.dta,.dta,270316,raw_tabular_or_workbook_candidate,direct_file_present_pending_schema_or_documentation_review
5,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/aux2.dta,aux2.dta,.dta,269755,raw_tabular_or_workbook_candidate,direct_file_present_pending_schema_or_documentation_review
5,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/aux3.dta,aux3.dta,.dta,57567,raw_tabular_or_workbook_candidate,direct_file_present_pending_schema_or_documentation_review
5,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/aux4.dta,aux4.dta,.dta,57459,raw_tabular_or_workbook_candidate,direct_file_present_pending_schema_or_documentation_review
5,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/aux_round1.dta,aux_round1.dta,.dta,503845,raw_tabular_or_workbook_candidate,direct_file_present_pending_schema_or_documentation_review
5,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/aux_round2.dta,aux_round2.dta,.dta,541161,raw_tabular_or_workbook_candidate,direct_file_present_pending_schema_or_documentation_review
5,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/aux_round5.dta,aux_round5.dta,.dta,2100300,raw_tabular_or_workbook_candidate,direct_file_present_pending_schema_or_documentation_review
5,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/aux_year1.dta,aux_year1.dta,.dta,175505,raw_tabular_or_workbook_candidate,direct_file_present_pending_schema_or_documentation_review
