download_priority_order,country,wave,idno,source_relative_path,source_file_name,source_suffix,source_bytes,target_relative_path,target_exists_before,target_bytes_before,file_staging_action,copy_error,data_write_gate_status,modeling_gate_status
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,AGHS_Panel_PP_Household.pdf,AGHS_Panel_PP_Household.pdf,.pdf,1847212,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/AGHS_Panel_PP_Household.pdf,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,anthroN.dta,anthroN.dta,.dta,1448104,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/anthroN.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,aux2.dta,aux2.dta,.dta,989878,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/aux2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,aux3.dta,aux3.dta,.dta,1025238,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/aux3.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,aux4.dta,aux4.dta,.dta,1127634,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/aux4.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,auxround_1.dta,auxround_1.dta,.dta,496804,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/auxround_1.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,auxyear_1.dta,auxyear_1.dta,.dta,283081,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/auxyear_1.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,AW2_PH_HH_Questionnaire.pdf,AW2_PH_HH_Questionnaire.pdf,.pdf,2486843,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/AW2_PH_HH_Questionnaire.pdf,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,cons_agg_w2.dta,cons_agg_w2.dta,.dta,841418,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/cons_agg_w2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta10_harvestw2.dta,secta10_harvestw2.dta,.dta,277571,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta10_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta1_harvestw2.dta,secta1_harvestw2.dta,.dta,1118612,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta1_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta2_harvestw2.dta,secta2_harvestw2.dta,.dta,415995,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta2_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta3_harvestw2.dta,secta3_harvestw2.dta,.dta,1634888,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta3_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta41_harvestw2.dta,secta41_harvestw2.dta,.dta,3864453,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta41_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta42_harvestw2.dta,secta42_harvestw2.dta,.dta,406059,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta42_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta5a_harvestw2.dta,secta5a_harvestw2.dta,.dta,2327933,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta5a_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta5b_harvestw2.dta,secta5b_harvestw2.dta,.dta,36030,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta5b_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta6_harvestw2.dta,secta6_harvestw2.dta,.dta,8750909,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta6_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta7_harvestw2.dta,secta7_harvestw2.dta,.dta,971412,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta7_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta8_harvestw2.dta,secta8_harvestw2.dta,.dta,1241647,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta8_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta9a1_harvestw2.dta,secta9a1_harvestw2.dta,.dta,55049,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta9a1_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta9a2_harvestw2.dta,secta9a2_harvestw2.dta,.dta,69072,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta9a2_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta9b1_harvestw2.dta,secta9b1_harvestw2.dta,.dta,16603,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta9b1_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta9b2_harvestw2.dta,secta9b2_harvestw2.dta,.dta,33886,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta9b2_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/secta9b3_harvestw2.dta,secta9b3_harvestw2.dta,.dta,25159,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/secta9b3_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Harvest Wave 2/Agriculture/sectaa_harvestw2.dta,sectaa_harvestw2.dta,.dta,73248,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Harvest Wave 2/Agriculture/sectaa_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11a1_plantingw2.dta,sect11a1_plantingw2.dta,.dta,228744,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11a1_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11a_plantingw2.dta,sect11a_plantingw2.dta,.dta,59316,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11a_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11b1_plantingw2.dta,sect11b1_plantingw2.dta,.dta,1077696,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11b1_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11b2_plantingw2.dta,sect11b2_plantingw2.dta,.dta,660085,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11b2_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11c1_plantingw2.dta,sect11c1_plantingw2.dta,.dta,280590,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11c1_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11c2_plantingw2.dta,sect11c2_plantingw2.dta,.dta,1098756,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11c2_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11d_plantingw2.dta,sect11d_plantingw2.dta,.dta,1149951,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11d_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11e_plantingw2.dta,sect11e_plantingw2.dta,.dta,2336129,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11e_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11f_plantingw2.dta,sect11f_plantingw2.dta,.dta,1370201,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11f_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11g_plantingw2.dta,sect11g_plantingw2.dta,.dta,135033,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11g_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11h_plantingw2.dta,sect11h_plantingw2.dta,.dta,2705230,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11h_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11i_plantingw2.dta,sect11i_plantingw2.dta,.dta,7464710,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11i_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11j_plantingw2.dta,sect11j_plantingw2.dta,.dta,1375804,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11j_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11k_plantingw2.dta,sect11k_plantingw2.dta,.dta,1351129,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11k_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11l1_plantingw2.dta,sect11l1_plantingw2.dta,.dta,1310945,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11l1_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11l2_plantingw2.dta,sect11l2_plantingw2.dta,.dta,2649655,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11l2_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
