download_rank,country,wave,idno,local_target_folder,target_receipt_smoke_status,stray_candidate_rows,already_target_candidate_rows,incoming_candidate_rows,outside_target_candidate_rows,direct_expected_match_rows,archive_member_match_rows,core_expected_match_rows,weak_archive_name_rows,matched_expected_file_names,matched_core_file_names,route_status,suggested_next_action,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_candidate_raw_or_documentation_files,0,0,0,0,0,0,0,0,,,no_local_stray_raw_package_found,Complete the manual World Bank get-microdata download or place already downloaded files under the target folder or _incoming.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_no_candidate_raw_or_documentation_files,0,0,0,0,0,0,0,0,,,no_local_stray_raw_package_found,Complete the manual World Bank get-microdata download or place already downloaded files under the target folder or _incoming.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,blocked_no_candidate_raw_or_documentation_files,0,0,0,0,0,0,0,0,,,no_local_stray_raw_package_found,Complete the manual World Bank get-microdata download or place already downloaded files under the target folder or _incoming.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,blocked_no_candidate_raw_or_documentation_files,0,0,0,0,0,0,0,0,,,no_local_stray_raw_package_found,Complete the manual World Bank get-microdata download or place already downloaded files under the target folder or _incoming.,blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,blocked_no_candidate_raw_or_documentation_files,0,0,0,0,0,0,0,0,,,no_local_stray_raw_package_found,Complete the manual World Bank get-microdata download or place already downloaded files under the target folder or _incoming.,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_no_candidate_raw_or_documentation_files,0,0,0,0,0,0,0,0,,,no_local_stray_raw_package_found,Complete the manual World Bank get-microdata download or place already downloaded files under the target folder or _incoming.,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,blocked_no_candidate_raw_or_documentation_files,0,0,0,0,0,0,0,0,,,no_local_stray_raw_package_found,Complete the manual World Bank get-microdata download or place already downloaded files under the target folder or _incoming.,blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,blocked_no_candidate_raw_or_documentation_files,0,0,0,0,0,0,0,0,,,no_local_stray_raw_package_found,Complete the manual World Bank get-microdata download or place already downloaded files under the target folder or _incoming.,blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,temp/raw_downloads/UGA_2019_UNPS_v03_M/,blocked_no_candidate_raw_or_documentation_files,0,0,0,0,0,0,0,0,,,no_local_stray_raw_package_found,Complete the manual World Bank get-microdata download or place already downloaded files under the target folder or _incoming.,blocked_no_data_write,blocked
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,blocked_no_candidate_raw_or_documentation_files,0,0,0,0,0,0,0,0,,,no_local_stray_raw_package_found,Complete the manual World Bank get-microdata download or place already downloaded files under the target folder or _incoming.,blocked_no_data_write,blocked
