download_rank,country,wave,idno,threshold_download_role,official_get_microdata_url,local_target_folder,expected_full_file_rows,expected_missing_file_rows,core_file_rows,core_missing_file_rows,unique_core_file_names,requirements_covered,packet_report_path,download_action,post_download_validation_commands,promotion_stop_rule
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,68,68,36,36,sect_cover_hh_w5.dta;sect10a_com_w5.dta;sect_cover_pp_w5.dta;sect_cover_ph_w5.dta;sect_cover_ls_w5.dta;sect3_pp_w5.dta;cons_agg_w5.dta;sect3_hh_w5.dta;sect04_com_w5.dta;sect1_hh_w5.dta;sect12b1_hh_w5.dta;sect1_pp_w5.dta;sect1_ph_w5.dta;sect2_pp_w5.dta;sect4_pp_w5.dta;sect6c_hh_w5.dta;sect8_3_ls_w5.dta;sect7b_hh_w5.dta;eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta;sect6b2_hh_w5.dta;sect6b3_hh_w5.dta;sect6b4_hh_w5.dta;sect7a_hh_w5.dta;sect8_hh_w5.dta,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,report/priority_lsms_isa_manual_download_packets/ETH_2021_ESPS-W5_v02_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,68,68,35,35,sect_cover_ph_w4.dta;sect_cover_pp_w4.dta;sect_cover_ls_w4.dta;sect3_pp_w4.dta;sect10a_com_w4.dta;sect_cover_hh_w4.dta;sect7a_hh_w4.dta;cons_agg_w4.dta;sect3_hh_w4.dta;sect04_com_w4.dta;sect1_hh_w4.dta;sect11b1_hh_w4.dta;sect10d1_hh_w4.dta;sect1_ph_w4.dta;sect1_pp_w4.dta;sect10b_hh_w4.dta;sect2_pp_w4.dta;sect8_3_ls_w4.dta;sect12b1_hh_w4.dta;ETH_HouseholdGeovariables_Y4.dta;sect15b_hh_w4.dta;sect6b2_hh_w4.dta;sect9_hh_w4.dta,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,report/priority_lsms_isa_manual_download_packets/ETH_2018_ESS_v04_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,103,103,26,26,HHTrack;secta_harvestw2;NGA_HouseholdGeovars_Y2;cons_agg_wave2_visit1;cons_agg_wave2_visit2;sect8e_plantingw2;sect8a_plantingw2;sect4a_harvestw2;secta7_harvestw2;sect4b_harvestw2;sect1_plantingw2;sect1_harvestw2;secta10_harvestw2;sect11a_plantingw2;sect11a1_plantingw2;sect12_plantingw2,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,report/priority_lsms_isa_manual_download_packets/NGA_2012_GHSP-W2_v02_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,104,104,26,26,sect1_harvestw3;NGA_HouseholdGeovars_Y3;sectc1_harvestw3;sectc2_harvestw3;cons_agg_wave3_visit1;cons_agg_wave3_visit2;sect8a_plantingw3;sect4a_harvestw3;sect3_plantingw3;sect11a_plantingw3;sect1_plantingw3;sect11a1_plantingw3;sect12_plantingw3;secta10_harvestw3;sect7a_plantingw3;sect7b_plantingw3;secta_harvestw3;HHTrack,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,report/priority_lsms_isa_manual_download_packets/NGA_2015_GHSP-W3_v02_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,99,99,27,27,NGA_HouseholdGeovariables_Y1;cons_agg_wave1_visit1;cons_agg_wave1_visit2;sect4a_harvestw1;sect4b_harvestw1;sect3a_harvestw1;secta7_harvestw1;secta8_harvestw1;secta9a1_harvestw1;secta9a2_harvestw1;secta9b1_harvestw1;secta9b2_harvestw1;secta10_harvestw1;secta41_harvestw1;secta_harvestw1;sectc_plantingw1,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,report/priority_lsms_isa_manual_download_packets/NGA_2010_GHSP-W1_v03_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,61,61,35,35,HH.Geovariables_Y1;SEC_A_T_English_Labels;SEC_A_T_Swahili_Labels;SECTA1A2_Swahili_Labels;SECTCB_Swahili_Labels;SECTCEFG;SECTCH;SECTCI;TZY1.HH.Consumption;SEC_L_Swahili_Labels;SEC_M_Swahili_Labels;SEC_B_C_D_E1_F_G1_U_English_Labels;SEC_I_English_Labels;Agriculture SEC_1_ALL_Swahili_Labels;SEC_B_C_D_E1_F_G1_U_Swahili_Labels;SEC_2A_Swahili_Labels;SEC_2B_Swahili_Labels;SEC_2A_English_Labels;SEC_2B_English_Labels;SECTA1A2_English_Labels;SEC_R_Swahili_Labels;nps_weights_oct2010,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,report/priority_lsms_isa_manual_download_packets/TZA_2008_NPS-R1_v03_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,95,95,38,38,HH_SEC_A;TZY2.EA.Offsets;Plot.Geovariables_Y2;TZY1.HH.Consumption;TZY2.HH.Consumption;HH.Geovariables_Y2;HH_SEC_L;HH_SEC_D;FS_H2;FS_N2;HH_SEC_G;HH_SEC_B;AG_SEC10B;AG_SEC7A;AG_SEC7B;FS_J1;FS_J3;FS_C1;HH_SEC_C;HH_SEC_E1;COMSEC_CA;COMSEC_CB;COMSEC_CD,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,report/priority_lsms_isa_manual_download_packets/TZA_2010_NPS-R2_v03_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,80,80,33,33,COM_SEC_A1A2.NSDstat;AG_SEC_2A.NSDstat;AG_SEC_A.NSDstat;HH_SEC_A.NSDstat;LF_SEC_A.NSDstat;HH_SEC_K.NSDstat;HH_SEC_L.NSDstat;HH_SEC_D.NSDstat;ConsumptionNPS3.NSDstat;LF_SEC_13B.NSDstat;HH_SEC_G.NSDstat;AG_SEC_11.NSDstat;COM_SEC_CB.NSDstat;HH_SEC_B.NSDstat;AG_SEC_01.NSDstat;AG_SEC_2B.NSDstat;LF_NETWORK.NSDstat;LF_SEC_01.NSDstat;AG_SEC_08.NSDstat;AG_SEC_12A.NSDstat;COM_SEC_CG.NSDstat;Y3_weights.NSDstat;COM_SEC_CD.NSDstat,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,report/priority_lsms_isa_manual_download_packets/TZA_2012_NPS-R3_v01_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/3902/get-microdata,temp/raw_downloads/UGA_2019_UNPS_v03_M/,109,109,39,39,pov2019_20.NSDstat;GSEC1.NSDstat;CSEC1A.NSDstat;CSEC2.NSDstat;CSEC2A.NSDstat;CSEC2B.NSDstat;CSEC2C.NSDstat;CSEC2C_0.NSDstat;GSEC15B.NSDstat;CSEC4B.NSDstat;CSEC4L.NSDstat;GSEC6_1.NSDstat;GSEC2.NSDstat;GSEC15C.NSDstat;GSEC15D.NSDstat;GSEC17_1.NSDstat;GSEC19.NSDstat;GSEC7_1.NSDstat;GSEC7_2.NSDstat;GSEC5.NSDstat;GSEC6_3.NSDstat;GSEC12_2.NSDstat;AGSEC5A.NSDstat;GSEC9.NSDstat;AGSEC9A.NSDstat;...2 more,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,report/priority_lsms_isa_manual_download_packets/UGA_2019_UNPS_v03_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,minimum_6th_country_financial_protection_candidate,https://microdata.worldbank.org/catalog/1000/get-microdata,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,51,51,28,28,S00;FINAL_PREF;S04;S01;S21;S06B;S06A;S08;S19;S09B;S03;S21x;S10B;S12;sys;anthro;S06C;S06D;S09D;S15D,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,report/priority_lsms_isa_manual_download_packets/NPL_2010_LSS-III_v01_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass."
