download_rank,country,wave,idno,progress_status,local_target_folder,target_folder_exists,target_file_count,target_total_bytes,target_archive_file_count,target_raw_tabular_file_count,target_documentation_file_count,top_local_file_names,incoming_route_rows,incoming_copy_candidate_rows,incoming_manual_review_rows,official_get_microdata_url,packet_report_path,next_action,post_download_validation_commands,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,blocked_no_local_or_incoming_files,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,1,0,0,0,0,0,,0,0,0,https://microdata.worldbank.org/catalog/6161/get-microdata,report/priority_lsms_isa_manual_download_packets/ETH_2021_ESPS-W5_v02_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,blocked_no_local_or_incoming_files,temp/raw_downloads/ETH_2018_ESS_v04_M/,1,0,0,0,0,0,,0,0,0,https://microdata.worldbank.org/catalog/3823/get-microdata,report/priority_lsms_isa_manual_download_packets/ETH_2018_ESS_v04_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,blocked_no_local_or_incoming_files,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,1,0,0,0,0,0,,0,0,0,https://microdata.worldbank.org/catalog/1952/get-microdata,report/priority_lsms_isa_manual_download_packets/NGA_2012_GHSP-W2_v02_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,blocked_no_local_or_incoming_files,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,1,0,0,0,0,0,,0,0,0,https://microdata.worldbank.org/catalog/2734/get-microdata,report/priority_lsms_isa_manual_download_packets/NGA_2015_GHSP-W3_v02_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,blocked_no_local_or_incoming_files,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,1,0,0,0,0,0,,0,0,0,https://microdata.worldbank.org/catalog/1002/get-microdata,report/priority_lsms_isa_manual_download_packets/NGA_2010_GHSP-W1_v03_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,blocked_no_local_or_incoming_files,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,1,0,0,0,0,0,,0,0,0,https://microdata.worldbank.org/catalog/76/get-microdata,report/priority_lsms_isa_manual_download_packets/TZA_2008_NPS-R1_v03_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,blocked_no_local_or_incoming_files,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,1,0,0,0,0,0,,0,0,0,https://microdata.worldbank.org/catalog/1050/get-microdata,report/priority_lsms_isa_manual_download_packets/TZA_2010_NPS-R2_v03_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,blocked_no_local_or_incoming_files,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,1,0,0,0,0,0,,0,0,0,https://microdata.worldbank.org/catalog/2252/get-microdata,report/priority_lsms_isa_manual_download_packets/TZA_2012_NPS-R3_v01_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,blocked_no_local_or_incoming_files,temp/raw_downloads/UGA_2019_UNPS_v03_M/,1,0,0,0,0,0,,0,0,0,https://microdata.worldbank.org/catalog/3902/get-microdata,report/priority_lsms_isa_manual_download_packets/UGA_2019_UNPS_v03_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,blocked_no_local_or_incoming_files,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,1,0,0,0,0,0,,0,0,0,https://microdata.worldbank.org/catalog/1000/get-microdata,report/priority_lsms_isa_manual_download_packets/NPL_2010_LSS-III_v01_M.md,"Login/register at the official World Bank Microdata get-microdata page, accept terms if required, download the complete unchanged official raw package and documentation, and place every file under the local target folder.",python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,blocked_no_data_write,blocked
