download_rank,country,wave,idno,threshold_download_role,official_get_microdata_url,local_target_folder,target_receipt_smoke_status,timing_candidate_variable_rows,timing_strong_candidate_variable_rows,timing_candidate_file_rows,geography_candidate_variable_rows,geography_strong_candidate_variable_rows,geography_candidate_file_rows,top_timing_files,top_geography_files,top_timing_variables,top_geography_variables,planned_geography_route,planned_temporal_route,planned_climate_sources,required_timing_raw_checks,required_geography_raw_checks,source_route_preflight_status,raw_review_status,climate_linkage_gate_status,next_action,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,blocked_no_candidate_raw_or_documentation_files,12,8,8,12,12,6,sect_cover_pp_w5.dta;sect_cover_ph_w5.dta;sect_cover_ls_w5.dta;sect12b1_hh_w5.dta;sect7b_hh_w5.dta;eth_householdgeovariables_y5.dta;sect_cover_hh_w5.dta;eth_plotgeovariables_y5.dta,sect_cover_hh_w5.dta;sect10a_com_w5.dta;sect_cover_pp_w5.dta;sect_cover_ph_w5.dta;sect_cover_ls_w5.dta;sect3_pp_w5.dta,InterviewDate;s12bq08a;s12bq08b;item_cd_12months;s7q04;wetQ_avgstart;saq19__Timestamp,saq19__Latitude;saq19__Longitude;cs10q05__Latitude;cs10q05__Longitude;s3q09__Latitude;s3q09__Longitude,point_or_cluster_coordinate_route_raw_unverified,interview_date_route_raw_unverified,CHIRPS rainfall primary; ERA5-Land temperature primary; NASA POWER point fallback; source route not accepted until raw timing/geography pass,verify interview date parseability; derive survey month/year; check date missing codes; check module level and household key,verify latitude/longitude numeric units; CRS/datum; coordinate level; displacement or masking; missing codes; household/cluster key,climate_sources_ready_raw_timing_geography_blocked,blocked_no_candidate_raw_files,blocked_raw_timing_geography_not_verified,"Place the complete official raw package, rerun receipt/schema/value audits, then verify timing and geography fields before any CHIRPS/ERA5 extraction.",blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,blocked_no_candidate_raw_or_documentation_files,12,9,7,12,12,6,sect_cover_ph_w4.dta;sect_cover_pp_w4.dta;sect_cover_ls_w4.dta;sect12b1_hh_w4.dta;ETH_HouseholdGeovariables_Y4.dta;sect_cover_hh_w4.dta;sect15b_hh_w4.dta,sect_cover_ph_w4.dta;sect_cover_pp_w4.dta;sect_cover_ls_w4.dta;sect3_pp_w4.dta;sect10a_com_w4.dta;sect_cover_hh_w4.dta,InterviewDate;saq19__Timestamp;s12bq08a;s12bq08b;wetQ_avgstart;h2018_wetQstart;InterviewStart;s15q06b,saq19__Latitude;saq19__Longitude;ea_id;s3q09__Latitude;s3q09__Longitude;cs10q05__Latitude;cs10q05__Longitude,point_or_cluster_coordinate_route_raw_unverified,interview_date_route_raw_unverified,CHIRPS rainfall primary; ERA5-Land temperature primary; NASA POWER point fallback; source route not accepted until raw timing/geography pass,verify interview date parseability; derive survey month/year; check date missing codes; check module level and household key,verify latitude/longitude numeric units; CRS/datum; coordinate level; displacement or masking; missing codes; household/cluster key,climate_sources_ready_raw_timing_geography_blocked,blocked_no_candidate_raw_files,blocked_raw_timing_geography_not_verified,"Place the complete official raw package, rerun receipt/schema/value audits, then verify timing and geography fields before any CHIRPS/ERA5 extraction.",blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,blocked_no_candidate_raw_or_documentation_files,12,12,1,12,4,5,secta_harvestw2,HHTrack;secta_harvestw2;NGA_HouseholdGeovars_Y2;cons_agg_wave2_visit1;cons_agg_wave2_visit2,saq14ah;saq14am;saq14bh;saq14bm;saq18ah;saq18am;saq18bh;saq18bm;saq22ah;saq22am;saq22bh;saq22bm,ea;lga;state;zone;LAT_DD_MOD;LON_DD_MOD,point_or_cluster_coordinate_route_raw_unverified,fieldwork_period_route_raw_unverified_manual_review,CHIRPS rainfall primary; ERA5-Land temperature primary; NASA POWER point fallback; source route not accepted until raw timing/geography pass,verify questionnaire fieldwork period; document whether month-level lag windows are defensible,verify latitude/longitude numeric units; CRS/datum; coordinate level; displacement or masking; missing codes; household/cluster key,climate_sources_ready_raw_timing_geography_blocked,blocked_no_candidate_raw_files,blocked_raw_timing_geography_not_verified,"Place the complete official raw package, rerun receipt/schema/value audits, then verify timing and geography fields before any CHIRPS/ERA5 extraction.",blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,blocked_no_candidate_raw_or_documentation_files,12,12,1,12,12,6,secta_harvestw3,sect1_harvestw3;NGA_HouseholdGeovars_Y3;sectc1_harvestw3;sectc2_harvestw3;cons_agg_wave3_visit1;cons_agg_wave3_visit2,saq14ah;saq14am;saq14bh;saq14bm;saq17ah;saq17am;saq17bh;saq17bm;saq20ah;saq20am;saq20bh;saq20bm,s1q31a;s1q31b;s1q31c;s1q31d;LAT_DD_MOD;LON_DD_MOD;ea;lga,point_or_cluster_coordinate_route_raw_unverified,fieldwork_period_route_raw_unverified_manual_review,CHIRPS rainfall primary; ERA5-Land temperature primary; NASA POWER point fallback; source route not accepted until raw timing/geography pass,verify questionnaire fieldwork period; document whether month-level lag windows are defensible,verify latitude/longitude numeric units; CRS/datum; coordinate level; displacement or masking; missing codes; household/cluster key,climate_sources_ready_raw_timing_geography_blocked,blocked_no_candidate_raw_files,blocked_raw_timing_geography_not_verified,"Place the complete official raw package, rerun receipt/schema/value audits, then verify timing and geography fields before any CHIRPS/ERA5 extraction.",blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,blocked_no_candidate_raw_or_documentation_files,12,12,2,12,12,3,secta_harvestw1;sectc_plantingw1,NGA_HouseholdGeovariables_Y1;cons_agg_wave1_visit1;cons_agg_wave1_visit2,saq14ah;saq14am;saq14bh;saq14bm;saq18ah;saq18am;saq18bh;saq18bm;saq22ah;saq22am;saq22bh;interview_date,lat_dd_mod;lon_dd_mod;ea;eviarea_avg;grn_avg;h2010_eviarea;h2010_grn;h2010_sen;lga;sen_avg,point_or_cluster_coordinate_route_raw_unverified,interview_date_route_raw_unverified,CHIRPS rainfall primary; ERA5-Land temperature primary; NASA POWER point fallback; source route not accepted until raw timing/geography pass,verify interview date parseability; derive survey month/year; check date missing codes; check module level and household key,verify latitude/longitude numeric units; CRS/datum; coordinate level; displacement or masking; missing codes; household/cluster key,climate_sources_ready_raw_timing_geography_blocked,blocked_no_candidate_raw_files,blocked_raw_timing_geography_not_verified,"Place the complete official raw package, rerun receipt/schema/value audits, then verify timing and geography fields before any CHIRPS/ERA5 extraction.",blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,blocked_no_candidate_raw_or_documentation_files,12,3,5,12,12,8,SEC_A_T_Swahili_Labels;SEC_A_T_English_Labels;SECTA1A2_English_Labels;SEC_R_Swahili_Labels;TZY1.HH.Consumption,HH.Geovariables_Y1;SEC_A_T_English_Labels;SEC_A_T_Swahili_Labels;SECTA1A2_Swahili_Labels;SECTCB_Swahili_Labels;SECTCEFG;SECTCH;SECTCI,endmin;sa2q17endhr;sa2q17starthr;sa2q17startmins;ca07m;ca07y;srq5month;srq5year;intmonth,ea_id;lat_modified;lon_modified;clusterid;ea,point_or_cluster_coordinate_route_raw_unverified,interview_month_year_route_raw_unverified,CHIRPS rainfall primary; ERA5-Land temperature primary; NASA POWER point fallback; source route not accepted until raw timing/geography pass,verify interview month/year variables; check month range; check year range; check household key and wave linkage,verify latitude/longitude numeric units; CRS/datum; coordinate level; displacement or masking; missing codes; household/cluster key,climate_sources_ready_raw_timing_geography_blocked,blocked_no_candidate_raw_files,blocked_raw_timing_geography_not_verified,"Place the complete official raw package, rerun receipt/schema/value audits, then verify timing and geography fields before any CHIRPS/ERA5 extraction.",blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,blocked_no_candidate_raw_or_documentation_files,12,4,6,12,12,6,HH_SEC_C;HH_SEC_E1;HH_SEC_A;HH_SEC_D;TZY1.HH.Consumption;TZY2.HH.Consumption,HH_SEC_A;TZY2.EA.Offsets;Plot.Geovariables_Y2;TZY1.HH.Consumption;TZY2.HH.Consumption;HH.Geovariables_Y2,hh_c08;hh_c10;hh_c30;hh_e44;hh_e67;hh_e68;hh_a18_month;hh_a18_year;hh_d05_1;hh_d05_2;intmonth,clusterid;district;ea;hh_a18_year;region;ward;rum;ea_id;urban,point_or_cluster_coordinate_route_raw_unverified,interview_month_year_route_raw_unverified,CHIRPS rainfall primary; ERA5-Land temperature primary; NASA POWER point fallback; source route not accepted until raw timing/geography pass,verify interview month/year variables; check month range; check year range; check household key and wave linkage,verify latitude/longitude numeric units; CRS/datum; coordinate level; displacement or masking; missing codes; household/cluster key,climate_sources_ready_raw_timing_geography_blocked,blocked_no_candidate_raw_files,blocked_raw_timing_geography_not_verified,"Place the complete official raw package, rerun receipt/schema/value audits, then verify timing and geography fields before any CHIRPS/ERA5 extraction.",blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,blocked_no_candidate_raw_or_documentation_files,12,12,5,12,12,5,HH_SEC_A.NSDstat;COM_SEC_A1A2.NSDstat;AG_SEC_A.NSDstat;LF_SEC_A.NSDstat;AG_SEC_12A.NSDstat,COM_SEC_A1A2.NSDstat;AG_SEC_2A.NSDstat;AG_SEC_A.NSDstat;HH_SEC_A.NSDstat;LF_SEC_A.NSDstat,hh_a18;hh_a18_1;hh_a18_2;hh_a18_3;cm_a07;cm_a07_1;cm_a07_2;cm_a07_3;ag_a13;ag_a12_1;lf_a13;ag12a_07,cm_lon_g;cm_lon_m;cm_lon_s;y3_cluster;ag2a_06_3;ag2a_06_4;ag_a04_1;ag_a04_2;hh_a04_1;hh_a04_2;lf_a04_1;lf_a04_2,point_or_cluster_coordinate_route_raw_unverified,fieldwork_period_route_raw_unverified_manual_review,CHIRPS rainfall primary; ERA5-Land temperature primary; NASA POWER point fallback; source route not accepted until raw timing/geography pass,verify questionnaire fieldwork period; document whether month-level lag windows are defensible,verify latitude/longitude numeric units; CRS/datum; coordinate level; displacement or masking; missing codes; household/cluster key,climate_sources_ready_raw_timing_geography_blocked,blocked_no_candidate_raw_files,blocked_raw_timing_geography_not_verified,"Place the complete official raw package, rerun receipt/schema/value audits, then verify timing and geography fields before any CHIRPS/ERA5 extraction.",blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,minimum_10_wave_core,https://microdata.worldbank.org/catalog/3902/get-microdata,temp/raw_downloads/UGA_2019_UNPS_v03_M/,blocked_no_candidate_raw_or_documentation_files,12,3,6,12,12,8,GSEC12_2.NSDstat;GSEC1.NSDstat;AGSEC5A.NSDstat;GSEC2.NSDstat;GSEC9.NSDstat;AGSEC9A.NSDstat,pov2019_20.NSDstat;GSEC1.NSDstat;CSEC1A.NSDstat;CSEC2.NSDstat;CSEC2A.NSDstat;CSEC2B.NSDstat;CSEC2C.NSDstat;CSEC2C_0.NSDstat,h12q04;h12q12;h12q13;month;year;s5aq06f_1;s5aq06f_11;s5aq06f_1_1;h2q9b;h2q9c;dwellingVisit;h9q07a,regurb;urban;district;Final_EA_code,admin_or_ea_geography_route_raw_unverified,interview_month_year_route_raw_unverified,CHIRPS rainfall primary; ERA5-Land temperature primary; NASA POWER point fallback; source route not accepted until raw timing/geography pass,verify interview month/year variables; check month range; check year range; check household key and wave linkage,verify admin or EA codes/names; boundary vintage; crosswalk source; centroid/area aggregation method; missing codes,climate_sources_ready_raw_timing_geography_blocked,blocked_no_candidate_raw_files,blocked_raw_timing_geography_not_verified,"Place the complete official raw package, rerun receipt/schema/value audits, then verify timing and geography fields before any CHIRPS/ERA5 extraction.",blocked_no_data_write,blocked
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,minimum_6th_country_financial_protection_candidate,https://microdata.worldbank.org/catalog/1000/get-microdata,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,blocked_no_candidate_raw_or_documentation_files,12,12,3,12,1,5,S00;sys;FINAL_PREF,S00;FINAL_PREF;S04;S01;S21,v00_int1_m;v00_int1_y;v00_int2_m;v00_int2_y;v00_int3_m;v00_int3_y;v00_sup_m;hsys_c1date;hsys_u1date;hsys_c2date;hsys_u2date;Date,v00_zone;v00_headn;v00_team;v00_ward;district;district_name;Eastern;HEAD___;v04_03b;v04_11b;v01_05b;v21_ward,admin_or_ea_geography_route_raw_unverified,interview_date_route_raw_unverified,CHIRPS rainfall primary; ERA5-Land temperature primary; NASA POWER point fallback; source route not accepted until raw timing/geography pass,verify interview date parseability; derive survey month/year; check date missing codes; check module level and household key,verify admin or EA codes/names; boundary vintage; crosswalk source; centroid/area aggregation method; missing codes,climate_sources_ready_raw_timing_geography_blocked,blocked_no_candidate_raw_files,blocked_raw_timing_geography_not_verified,"Place the complete official raw package, rerun receipt/schema/value audits, then verify timing and geography fields before any CHIRPS/ERA5 extraction.",blocked_no_data_write,blocked
