threshold_sequence_rank,threshold_download_role,country,wave,idno,catalog_id,official_get_microdata_url,endpoint_rows,successful_public_metadata_endpoints,successful_variable_api_endpoints,get_microdata_gate_endpoints,raw_download_candidate_endpoints,credentialed_download_required,endpoint_refresh_status,handoff_readme
1,minimum_10_wave_core,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,8,3,1,0,0,0,manual_endpoint_review_required,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_LSMS_ISA_MINIMUM_BATCH_ENDPOINT_REFRESH.md
2,minimum_10_wave_core,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,https://microdata.worldbank.org/catalog/3823/get-microdata,8,3,1,1,0,1,metadata_confirmed_raw_access_gate_confirmed,temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_LSMS_ISA_MINIMUM_BATCH_ENDPOINT_REFRESH.md
3,minimum_10_wave_core,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2307,https://microdata.worldbank.org/catalog/2307/get-microdata,8,4,1,1,0,1,metadata_confirmed_raw_access_gate_confirmed,temp/raw_downloads/MWI_2004_IHS-II_v01_M/_PRIORITY_LSMS_ISA_MINIMUM_BATCH_ENDPOINT_REFRESH.md
4,minimum_10_wave_core,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,https://microdata.worldbank.org/catalog/1952/get-microdata,8,4,1,1,0,1,metadata_confirmed_raw_access_gate_confirmed,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_LSMS_ISA_MINIMUM_BATCH_ENDPOINT_REFRESH.md
5,minimum_10_wave_core,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,https://microdata.worldbank.org/catalog/2734/get-microdata,8,4,1,1,0,1,metadata_confirmed_raw_access_gate_confirmed,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_LSMS_ISA_MINIMUM_BATCH_ENDPOINT_REFRESH.md
6,minimum_10_wave_core,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1002,https://microdata.worldbank.org/catalog/1002/get-microdata,8,4,1,0,0,0,manual_endpoint_review_required,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_LSMS_ISA_MINIMUM_BATCH_ENDPOINT_REFRESH.md
7,minimum_10_wave_core,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,76,https://microdata.worldbank.org/catalog/76/get-microdata,8,4,1,1,0,1,metadata_confirmed_raw_access_gate_confirmed,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_LSMS_ISA_MINIMUM_BATCH_ENDPOINT_REFRESH.md
8,minimum_10_wave_core,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,1050,https://microdata.worldbank.org/catalog/1050/get-microdata,8,4,1,1,0,1,metadata_confirmed_raw_access_gate_confirmed,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_LSMS_ISA_MINIMUM_BATCH_ENDPOINT_REFRESH.md
9,minimum_10_wave_core,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,2252,https://microdata.worldbank.org/catalog/2252/get-microdata,8,4,1,1,0,1,metadata_confirmed_raw_access_gate_confirmed,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_LSMS_ISA_MINIMUM_BATCH_ENDPOINT_REFRESH.md
10,minimum_10_wave_core,Uganda,2019-2020,UGA_2019_UNPS_v03_M,3902,https://microdata.worldbank.org/catalog/3902/get-microdata,8,4,1,1,0,1,metadata_confirmed_raw_access_gate_confirmed,temp/raw_downloads/UGA_2019_UNPS_v03_M/_PRIORITY_LSMS_ISA_MINIMUM_BATCH_ENDPOINT_REFRESH.md
11,minimum_6th_country_financial_protection_candidate,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,1000,https://microdata.worldbank.org/catalog/1000/get-microdata,8,4,1,1,0,1,metadata_confirmed_raw_access_gate_confirmed,temp/raw_downloads/NPL_2010_LSS-III_v01_M/_PRIORITY_LSMS_ISA_MINIMUM_BATCH_ENDPOINT_REFRESH.md
