download_rank,country,wave,idno,requirement_review_order,requirement,requirement_role,file_rank,file_name,file_description,candidate_variable_rows,strong_candidate_variable_rows,top_variable_names,acceptance_gate_status,current_file_verification_status,minimum_batch_review_status,fill_file_present_direct_or_archive,fill_file_readable,fill_schema_extracted,fill_required_variables_found,fill_documentation_crosschecked,fill_accept_file_for_requirement,review_notes
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,1,sect1_hh_w5.dta,Household Data - Roster,2,2,individual_id;household_id,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,2,sect12b1_hh_w5.dta,Household Data - Nonfarm enterprises roster,1,1,household_id,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,3,sect1_pp_w5.dta,Post-planting - Household roster,1,1,household_id,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,4,sect1_ph_w5.dta,Post-harvest - Household roster,1,1,household_id,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,5,sect2_pp_w5.dta,Post-planting - Parcel roster,1,1,household_id,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,6,sect3_pp_w5.dta,Post-planting - Field roster,1,1,household_id,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,7,sect4_pp_w5.dta,Post-planting - Crop field roster,1,1,household_id,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,household_person_keys,merge_key_gate,8,sect6c_hh_w5.dta,Household Data - Dietary quality,1,1,individual_id,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,1,sect_cover_hh_w5.dta,Household Data - Cover page,2,2,pw_w5;ea_id,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,2,sect6b2_hh_w5.dta,Household Data - Food shared by non-household members (Filter Question),1,1,pw_w5,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,3,sect6b3_hh_w5.dta,Household Data - Food shared by non-household members,1,1,pw_w5,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,4,sect6b4_hh_w5.dta,Household Data - Food consumed outside home,1,1,pw_w5,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,5,sect6c_hh_w5.dta,Household Data - Dietary quality,1,1,pw_w5,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,6,sect7a_hh_w5.dta,"Household Data - Nonfood expenditure, one month",1,1,pw_w5,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,7,sect7b_hh_w5.dta,"Household Data - Nonfood expenditure, 12 months",1,1,pw_w5,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,weights_and_design,survey_design_gate,8,sect8_hh_w5.dta,Household Data - Food insecurity experience scale,1,1,pw_w5,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,3,consumption_or_income,financial_denominator_gate,1,cons_agg_w5.dta,Household Data - Consumption aggregate,12,12,nonfood_cons2;nom_nonfoodcons_aeq;nonfood_cons_ann;food_cons2;food_cons_ann;nom_foodcons_aeq;fafh_cons_ann;spat_totcons_aeq;educ_cons_ann;nom_educcons_aeq;nom_totcons_aeq;total_cons_ann,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,4,oop_health_expenditure,financial_outcome_gate,1,sect8_3_ls_w5.dta,"Livestock - Livestock breeding, health, shelter, water, and feed",10,10,ls_s8_3q04;ls_s8_3q22;ls_s8_3q24;ls_s8_3q03;ls_s8_3q05;ls_s8_3q06;ls_s8_3q10a;ls_s8_3q10b;ls_s8_3q11;ls_s8_3q12_1,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,4,oop_health_expenditure,financial_outcome_gate,2,sect3_hh_w5.dta,Household Data - Health,2,2,s3q17;s3q18,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,5,health_need_and_access,access_outcome_gate,1,sect3_hh_w5.dta,Household Data - Health,6,6,s3q14;s3q15;s3q05;s3q17;s3q13;s3q18,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,5,health_need_and_access,access_outcome_gate,2,sect04_com_w5.dta,Community - Access to basic services and infrastructure,4,3,cs4q37;cs4q34;cs4q35;cs4q28,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,5,health_need_and_access,access_outcome_gate,3,sect3_pp_w5.dta,Post-planting - Field roster,2,0,s3q15_1;s3q15_2,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6,survey_timing,climate_timing_gate,1,sect_cover_pp_w5.dta,Post-planting - Cover page,1,1,InterviewDate,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6,survey_timing,climate_timing_gate,2,sect_cover_ph_w5.dta,Post-harvest - Cover page,1,1,InterviewDate,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6,survey_timing,climate_timing_gate,3,sect_cover_ls_w5.dta,Livestock - Cover page,1,1,InterviewDate,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6,survey_timing,climate_timing_gate,4,sect12b1_hh_w5.dta,Household Data - Nonfarm enterprises roster,2,2,s12bq08a;s12bq08b,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6,survey_timing,climate_timing_gate,5,sect7b_hh_w5.dta,"Household Data - Nonfood expenditure, 12 months",2,0,item_cd_12months;s7q04,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6,survey_timing,climate_timing_gate,6,eth_householdgeovariables_y5.dta,Household geo-variables,1,1,wetQ_avgstart,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6,survey_timing,climate_timing_gate,7,sect_cover_hh_w5.dta,Household Data - Cover page,1,1,saq19__Timestamp,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6,survey_timing,climate_timing_gate,8,eth_plotgeovariables_y5.dta,Plot geo-variables,1,1,wetQ_avgstart,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,7,climate_geography,climate_geography_gate,1,sect_cover_hh_w5.dta,Household Data - Cover page,2,2,saq19__Latitude;saq19__Longitude,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,7,climate_geography,climate_geography_gate,2,sect10a_com_w5.dta,Community - Market prices: market location,2,2,cs10q05__Latitude;cs10q05__Longitude,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,7,climate_geography,climate_geography_gate,3,sect_cover_pp_w5.dta,Post-planting - Cover page,2,2,saq19__Latitude;saq19__Longitude,missing_required_official_file,blocked_no_original_package,blocked_until_official_raw_package_received,,,,,,,
