promotion_rank,promotion_tier,country,wave,idno,requirement,official_core_file_rows,official_core_matched_rows,official_core_missing_rows,schema_candidate_rows,schema_present_rows,value_profile_status,semantics_review_status,requirement_gate_status,next_required_action
1,current_promoted_registry,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,8,0,8,12,12,value_profile_available_not_value_verified,semantics_review_available_not_value_verified,accepted_via_promoted_registry,No action for this dashboard; keep registry/data lineage reproducible.
1,current_promoted_registry,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,8,0,8,12,12,value_profile_available_not_value_verified,semantics_review_available_not_value_verified,accepted_via_promoted_registry,No action for this dashboard; keep registry/data lineage reproducible.
1,current_promoted_registry,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,3,0,3,12,12,value_profile_available_not_value_verified,semantics_review_available_not_value_verified,accepted_via_promoted_registry,No action for this dashboard; keep registry/data lineage reproducible.
1,current_promoted_registry,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,1,0,1,12,12,value_profile_available_not_value_verified,semantics_review_available_not_value_verified,accepted_via_promoted_registry,No action for this dashboard; keep registry/data lineage reproducible.
1,current_promoted_registry,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,2,0,2,12,12,value_profile_available_not_value_verified,semantics_review_available_not_value_verified,accepted_via_promoted_registry,No action for this dashboard; keep registry/data lineage reproducible.
1,current_promoted_registry,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,7,0,7,12,12,value_profile_available_not_value_verified,semantics_review_available_not_value_verified,accepted_via_promoted_registry,No action for this dashboard; keep registry/data lineage reproducible.
1,current_promoted_registry,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,8,0,8,12,12,value_profile_available_not_value_verified,semantics_review_available_not_value_verified,accepted_via_promoted_registry,No action for this dashboard; keep registry/data lineage reproducible.
1,current_promoted_registry,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,missing_codes_units_recall_skip_patterns,0,0,0,0,0,blocked_no_value_profile,semantics_review_available_not_value_verified,accepted_via_promoted_registry,No action for this dashboard; keep registry/data lineage reproducible.
2,minimum_batch_remaining,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,8,0,8,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
2,minimum_batch_remaining,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,8,0,8,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
2,minimum_batch_remaining,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,consumption_or_income,1,0,1,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
2,minimum_batch_remaining,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,oop_health_expenditure,2,0,2,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
2,minimum_batch_remaining,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,health_need_and_access,3,0,3,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
2,minimum_batch_remaining,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,8,0,8,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
2,minimum_batch_remaining,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,6,0,6,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
2,minimum_batch_remaining,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,missing_codes_units_recall_skip_patterns,0,0,0,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
3,minimum_batch_remaining,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,household_person_keys,8,0,8,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
3,minimum_batch_remaining,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,weights_and_design,8,0,8,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
3,minimum_batch_remaining,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,consumption_or_income,2,0,2,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
3,minimum_batch_remaining,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,oop_health_expenditure,2,0,2,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
3,minimum_batch_remaining,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,health_need_and_access,2,0,2,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
3,minimum_batch_remaining,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,7,0,7,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
3,minimum_batch_remaining,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,6,0,6,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
3,minimum_batch_remaining,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,missing_codes_units_recall_skip_patterns,0,0,0,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
4,minimum_batch_remaining,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,household_person_keys,8,0,8,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
4,minimum_batch_remaining,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,weights_and_design,4,0,4,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
4,minimum_batch_remaining,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,consumption_or_income,4,0,4,0,0,blocked_no_value_profile,blocked_no_semantics_review,blocked_raw_package_not_received,Download/place the complete unchanged official package and documentation.
