download_priority_order,queue_role,country,wave,idno,catalog_id,candidate_family,alignment_priority,saved_resource_types,missing_core_resource_types,public_documentation_receipt_status,access_gate_detected,raw_package_status,data_write_status,modeling_gate_status,handoff_readme
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,lsms_isa_socioeconomic_survey,selected_refocused_core_or_backup,catalog_idno_json;data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;related_materials_html;variables_idno_json,,complete_core_public_documentation_receipt,1,not_received_no_original_raw_package,blocked_no_promoted_rows,blocked,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_LSMS_ISA_PUBLIC_DOCUMENTATION_RECEIPT.md
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,lsms_isa_socioeconomic_survey,selected_refocused_core_or_backup,catalog_idno_json;data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;related_materials_html;variables_idno_json,,complete_core_public_documentation_receipt,1,not_received_no_original_raw_package,blocked_no_promoted_rows,blocked,temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_LSMS_ISA_PUBLIC_DOCUMENTATION_RECEIPT.md
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,2307,lsms_isa_integrated_household_survey,selected_refocused_core_or_backup,catalog_idno_json;data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;related_materials_html;variables_idno_json,,complete_core_public_documentation_receipt,1,not_received_no_original_raw_package,blocked_no_promoted_rows,blocked,temp/raw_downloads/MWI_2004_IHS-II_v01_M/_PRIORITY_LSMS_ISA_PUBLIC_DOCUMENTATION_RECEIPT.md
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,lsms_isa_general_household_panel,selected_refocused_core_or_backup,catalog_idno_json;data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;related_materials_html;variables_idno_json,,complete_core_public_documentation_receipt,1,not_received_no_original_raw_package,blocked_no_promoted_rows,blocked,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_LSMS_ISA_PUBLIC_DOCUMENTATION_RECEIPT.md
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,lsms_isa_general_household_panel,selected_refocused_core_or_backup,catalog_idno_json;data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;related_materials_html;variables_idno_json,,complete_core_public_documentation_receipt,1,not_received_no_original_raw_package,blocked_no_promoted_rows,blocked,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_LSMS_ISA_PUBLIC_DOCUMENTATION_RECEIPT.md
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1002,lsms_isa_general_household_panel,selected_refocused_core_or_backup,catalog_idno_json;data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;related_materials_html;variables_idno_json,,complete_core_public_documentation_receipt,1,not_received_no_original_raw_package,blocked_no_promoted_rows,blocked,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_LSMS_ISA_PUBLIC_DOCUMENTATION_RECEIPT.md
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,76,lsms_isa_national_panel_survey,selected_refocused_core_or_backup,catalog_idno_json;data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;related_materials_html;variables_idno_json,,complete_core_public_documentation_receipt,1,not_received_no_original_raw_package,blocked_no_promoted_rows,blocked,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_LSMS_ISA_PUBLIC_DOCUMENTATION_RECEIPT.md
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,1050,lsms_isa_national_panel_survey,selected_refocused_core_or_backup,catalog_idno_json;data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;related_materials_html;variables_idno_json,,complete_core_public_documentation_receipt,1,not_received_no_original_raw_package,blocked_no_promoted_rows,blocked,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_LSMS_ISA_PUBLIC_DOCUMENTATION_RECEIPT.md
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,2252,lsms_isa_national_panel_survey,selected_refocused_core_or_backup,catalog_idno_json;data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;related_materials_html;variables_idno_json,,complete_core_public_documentation_receipt,1,not_received_no_original_raw_package,blocked_no_promoted_rows,blocked,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_LSMS_ISA_PUBLIC_DOCUMENTATION_RECEIPT.md
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,3902,lsms_isa_national_panel_survey,selected_refocused_core_or_backup,catalog_idno_json;data_dictionary_html;ddi_metadata;get_microdata_html;json_metadata;related_materials_html;variables_idno_json,,complete_core_public_documentation_receipt,1,not_received_no_original_raw_package,blocked_no_promoted_rows,blocked,temp/raw_downloads/UGA_2019_UNPS_v03_M/_PRIORITY_LSMS_ISA_PUBLIC_DOCUMENTATION_RECEIPT.md
