download_priority_order,queue_role,country,wave,idno,actual_member_name,variable_name,variable_role,raw_variable_label,has_value_labels,row_count,nonmissing_count,missing_count,distinct_nonmissing_count,duplicate_if_key_count,zero_count,negative_count,positive_count,numeric_min,numeric_max,top_values,profile_status
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_a_filt.dta,case_id,household_key,IHS3 Baseline case_id as in IHS3 Public Data,0,2666,2666,0,2666,0,0,0,2666,1.0101e+11,3.15556e+11,101010160009:1; 101010160033:1; 101010160060:1; 101010160068:1; 101010160069:1; 101010160070:1; 101010160074:1; 101010160086:1; 101010160096:1; 101010160143:1,unique_key_at_file_level
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_a_filt.dta,hhid,household_key_component,Assigned Unique Serial Number for IHS3 Baseline Household,0,2666,2666,0,2666,0,0,0,2666,1,3261,37:1; 45:1; 35:1; 41:1; 61:1; 51:1; 57:1; 55:1; 47:1; 63:1,unique_key_at_file_level
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_b.dta,case_id,household_key,IHS3 Baseline case_id as in IHS3 Public Data,0,5409,5409,0,2666,2743,0,0,5409,1.0101e+11,3.15556e+11,209080880169:7; 303060870205:7; 303052770087:7; 304067100170:7; 305036850107:7; 304067100033:7; 105093190148:7; 105053100076:7; 304034440032:7; 303055800170:7,repeated_key_requires_secondary_line_key
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_b.dta,hhid,household_key_component,Assigned Unique Serial Number for IHS3 Baseline Household,0,5409,5409,0,2666,2743,0,0,5409,1,3261,1629:7; 2299:7; 2229:7; 2359:7; 2334:7; 2343:7; 577:7; 478:7; 2323:7; 2249:7,repeated_key_requires_secondary_line_key
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_c.dta,case_id,household_key,IHS3 Baseline case_id as in IHS3 Public Data,0,5513,5513,0,2666,2847,0,0,5513,1.0101e+11,3.15556e+11,203053010068:10; 105015050012:8; 305036850042:8; 203025390087:7; 303055800170:7; 105017090050:7; 304034440271:6; 206102490189:6; 104052130039:6; 308052590230:6,repeated_key_requires_secondary_line_key
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_c.dta,hhid,household_key_component,Assigned Unique Serial Number for IHS3 Baseline Household,0,5513,5513,0,2666,2847,0,0,5513,1,3261,908:10; 432:8; 2316:8; 907:7; 2249:7; 425:7; 2321:6; 1264:6; 409:6; 2576:6,repeated_key_requires_secondary_line_key
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_d.dta,case_id,household_key,IHS3 Baseline case_id as in IHS3 Public Data,0,5513,5513,0,2666,2847,0,0,5513,1.0101e+11,3.15556e+11,203053010068:10; 105015050012:8; 305036850042:8; 203025390087:7; 303055800170:7; 105017090050:7; 304034440271:6; 206102490189:6; 104052130039:6; 308052590230:6,repeated_key_requires_secondary_line_key
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_d.dta,hhid,household_key_component,Assigned Unique Serial Number for IHS3 Baseline Household,0,5513,5513,0,2666,2847,0,0,5513,1,3261,908:10; 432:8; 2316:8; 907:7; 2249:7; 425:7; 2321:6; 1264:6; 409:6; 2576:6,repeated_key_requires_secondary_line_key
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_e.dta,case_id,household_key,IHS3 Baseline case_id as in IHS3 Public Data,0,4104,4104,0,2666,1438,0,0,4104,1.0101e+11,3.15556e+11,309010540031:6; 105055080205:6; 205070890216:6; 309010540182:5; 303055800170:5; 101012150049:4; 209035830022:4; 101012150045:4; 101015620075:4; 315326740065:4,repeated_key_requires_secondary_line_key
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_e.dta,hhid,household_key_component,Assigned Unique Serial Number for IHS3 Baseline Household,0,4104,4104,0,2666,1438,0,0,4104,1,3261,2614:6; 518:6; 1066:6; 2602:5; 2249:5; 27:4; 1544:4; 15:4; 18:4; 3095:4,repeated_key_requires_secondary_line_key
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_f.dta,case_id,household_key,IHS3 Baseline case_id as in IHS3 Public Data,0,6702,6702,0,2666,4036,0,0,6702,1.0101e+11,3.15556e+11,201154340012:7; 105093190062:7; 101012150049:7; 105093190013:7; 304034440271:7; 101012150034:6; 105053100076:6; 102043220009:6; 201154340097:5; 206073150106:5,repeated_key_requires_secondary_line_key
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_f.dta,hhid,household_key_component,Assigned Unique Serial Number for IHS3 Baseline Household,0,6702,6702,0,2666,4036,0,0,6702,1,3261,858:7; 583:7; 27:7; 603:7; 2321:7; 25:6; 478:6; 194:6; 848:5; 1217:5,repeated_key_requires_secondary_line_key
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_g.dta,case_id,household_key,IHS3 Baseline case_id as in IHS3 Public Data,0,7378,7378,0,2666,4712,0,0,7378,1.0101e+11,3.15556e+11,303055800170:20; 307043130245:20; 309010540031:20; 105033670007:20; 305036850042:19; 305036850184:18; 304034440271:16; 303050820044:15; 105017090050:14; 303050820051:14,repeated_key_requires_secondary_line_key
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_g.dta,hhid,household_key_component,Assigned Unique Serial Number for IHS3 Baseline Household,0,7378,7378,0,2666,4712,0,0,7378,1,3261,2249:20; 2386:20; 2614:20; 491:20; 2316:19; 2332:18; 2321:16; 2196:15; 425:14; 2200:14,repeated_key_requires_secondary_line_key
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_h.dta,case_id,household_key,IHS3 Baseline case_id as in IHS3 Public Data,0,6265,6265,0,2666,3599,0,0,6265,1.0101e+11,3.15556e+11,209066050172:7; 310013330244:7; 303060870205:7; 101020040028:7; 203025390087:7; 205083490076:7; 101010160068:7; 304067100115:7; 209065240211:7; 203053010068:7,repeated_key_requires_secondary_line_key
16,,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,ag_mod_h.dta,hhid,household_key_component,Assigned Unique Serial Number for IHS3 Baseline Household,0,6265,6265,0,2666,3599,0,0,6265,1,3261,1576:7; 2739:7; 2299:7; 83:7; 907:7; 1117:7; 41:7; 2363:7; 1539:7; 908:7,repeated_key_requires_secondary_line_key
