download_priority_order,queue_role,country,wave,idno,requirement,expected_file_name,expected_file_key,actual_member_name,actual_member_key,variable_name,metadata_variable_label,raw_variable_label,candidate_strength,raw_variable_present,value_scan_status,value_scan_error,row_count,nonmissing_count,missing_count,distinct_nonmissing_count,numeric_min,numeric_max,schema_evidence_status
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,ihs2_household.NSDstat,ihs2_household.nsdstat,ihs2_household.dta,ihs2_household.dta,idate,Interview Date,Interview Date,,1,value_stats_scanned,,11280,11280,0,386,16138,16526,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,ihs2_individ.NSDstat,ihs2_individ.nsdstat,ihs2_individ.dta,ihs2_individ.dta,age_months,Age in months (if <5 years),Age in months (if <5 years),,1,value_stats_scanned,,51288,8904,42384,60,0,59,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,mod_d.NSDstat,mod_d.nsdstat,mod_d.dta,mod_d.dta,cd51b,What is the distance to the nearest health facility where th,What is the distance to the nearest health facility where th,,1,value_stats_scanned,,564,529,35,4,0,3,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,mod_d.NSDstat,mod_d.nsdstat,mod_d.dta,mod_d.dta,cd_51a,What is the distance to the nearest health facility where th,What is the distance to the nearest health facility where th,,1,value_stats_scanned,,564,559,5,85,0,500,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,mod_d.NSDstat,mod_d.nsdstat,mod_d.dta,mod_d.dta,cd47,CD47. Is there a health clinic (Chipatala)in this community,CD47. Is there a health clinic (Chipatala)in this community,,1,value_stats_scanned,,564,563,1,2,1,2,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,mod_d.NSDstat,mod_d.nsdstat,mod_d.dta,mod_d.dta,cd57a,Medical care & medicine?,Medical care & medicine?,,1,value_stats_scanned,,564,206,358,3,0,2,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,mod_d.NSDstat,mod_d.nsdstat,mod_d.dta,mod_d.dta,cd_50,"At this health clinic, is Fansidar","At this health clinic, is Fansidar",,1,value_stats_scanned,,564,563,1,3,1,3,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,sec_a.NSDstat,sec_a.nsdstat,sec_a.dta,sec_a.dta,hhid,Household ID,Household ID,,1,value_stats_scanned,,11280,11280,0,578,1,999,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,sec_a.NSDstat,sec_a.nsdstat,sec_a.dta,sec_a.dta,psu,Enumeration Area/PSU (564 total),Enumeration Area/PSU (564 total),,1,value_stats_scanned,,11280,11280,0,564,1.0101e+07,3.12021e+07,raw_schema_variable_present_needs_unit_skip_review
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,sec_a.NSDstat,sec_a.nsdstat,sec_a.dta,sec_a.dta,a14b,Month of interview,Month of interview,,1,value_stats_scanned,,11280,11280,0,12,1,12,raw_schema_variable_present_needs_unit_skip_review
