download_priority_order,queue_role,country,wave,idno,member_name,member_key,variable_name,variable_label,readstat_type,original_type,has_value_labels
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,round,1 = IHS3 2 = IHPS,int8,%8.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,case_id,IHS3 Baseline case_id as in IHS3 Public Data,string,%12s,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,HHID,Assigned Unique Serial Number for IHS3 Baseline Household,int16,%8.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,ea_id,Baseline EA Identifier,string,%8s,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,region,Region,int8,%8.0g,1
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,urban,Urban/rural,int8,%8.0g,1
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,district,District,int16,%8.0g,1
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,strata,Baseline Stratum - Region x Urban/Rural,int8,%8.0g,1
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,hhweight,Baseline Sampling Weight,float,%9.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,hhsize,Household size,int8,%8.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,adulteq,Adult equivalents,double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,intmonth,Month of interview,int8,%8.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,intyear,Year of interview,int16,%8.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,month,Month,int8,%8.0g,1
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,panel,"Sample Group (Panel A, Panel B, Cross-Sectional)",string,%7s,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,price_indexL,Laspeyres monthly Spatial and Temporal Price Index (Base National March 2010),float,%9.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,rexpagg,"Total real annual consumption per household - 2013 Prices, Spatially & Temporall",double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,pcrexpagg,"Total real annual consumption per capita        - 2013 Prices, Spatially & Tempo",double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,absolute_povline,Absolute Poverty Line - 2013 Prices,int32,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,extreme_povline,Ultra Poverty Line - 2013 Prices,int32,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,poor,=1 if 2010 Total real annual consumption per capita < Absolute poverty line,int8,%8.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,epoor,=1 if 2010 Total real annual consumption per capita < Extreme  poverty line,int8,%8.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,rexp_cat01,"Food/Bev, real annual consumption",double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,rexp_cat02,"Alc/Tobacco, real annual consumption",double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,rexp_cat03,"Clothing/Footwear, real annual consumption",double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,rexp_cat04,"Housing/Utilities, real annual consumption",double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,rexp_cat05,"Furnishings, real annual consumption",double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,rexp_cat06,"Health, real annual consumption",double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,rexp_cat07,"Transport, real annual consumption",double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,rexp_cat08,"Communication, real annual consumption",double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,rexp_cat09,"Recreation, real annual consumption",double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,rexp_cat10,"Education, real annual consumption",double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,rexp_cat11,"Hotels and restaurants, real annual consumption",double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,rexp_cat12,"Misc goods & services, real annual consumption",double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,pcrexp_cat01,rexp_cat01 per capita,double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,pcrexp_cat02,rexp_cat02 per capita,double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,pcrexp_cat03,rexp_cat03 per capita,double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,pcrexp_cat04,rexp_cat04 per capita,double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,pcrexp_cat05,rexp_cat05 per capita,double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,pcrexp_cat06,rexp_cat06 per capita,double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,pcrexp_cat07,rexp_cat07 per capita,double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,pcrexp_cat08,rexp_cat08 per capita,double,%12.0g,0
16,replacement_backup_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Round 1 (2010) Consumption Aggregate.dta,round 1 (2010) consumption aggregate.dta,pcrexp_cat09,rexp_cat09 per capita,double,%12.0g,0
