candidate_rank,candidate_role,country,wave,idno,survey_name,candidate_family,alignment_priority,feasibility_score,source_artifact,official_url,current_plan_status,why_candidate,known_limitations,download_action
1,replace_current_core_wave,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Second Integrated Household Survey 2004-2005,lsms_isa_integrated_household_survey,strong_lsms_isa_replacement,5,temp/country_wave_screening.csv,https://microdata.worldbank.org/catalog/2307/get-microdata,not_currently_selected,Matches the explicit LSMS/LSMS-ISA priority country requirement and is a better family match than the current off-family core wave.,"Still requires official raw package receipt, module-level file acceptance, value/unit/key review, outcome audit, and climate linkage.",Use the official get-microdata route and complete-package scope only after the alignment decision updates the priority campaign.
2,replace_current_core_wave,Malawi,2019-2020,MWI_2019_IHS-V_v06_M,Fifth Integrated Household Survey 2019-2020,lsms_isa_integrated_household_survey,strong_lsms_isa_replacement,3,temp/country_wave_screening.csv,https://microdata.worldbank.org/catalog/3818/get-microdata,not_currently_selected,Matches the explicit LSMS/LSMS-ISA priority country requirement and is a better family match than the current off-family core wave.,"Still requires official raw package receipt, module-level file acceptance, value/unit/key review, outcome audit, and climate linkage.",Use the official get-microdata route and complete-package scope only after the alignment decision updates the priority campaign.
3,replace_current_core_wave,Malawi,2016-2017,MWI_2016_IHS-IV_v04_M,Fourth Integrated Household Survey 2016-2017,lsms_isa_integrated_household_survey,strong_lsms_isa_replacement,3,temp/country_wave_screening.csv,https://microdata.worldbank.org/catalog/2936/get-microdata,not_currently_selected,Matches the explicit LSMS/LSMS-ISA priority country requirement and is a better family match than the current off-family core wave.,"Still requires official raw package receipt, module-level file acceptance, value/unit/key review, outcome audit, and climate linkage.",Use the official get-microdata route and complete-package scope only after the alignment decision updates the priority campaign.
4,replace_current_core_wave,Malawi,2010-2013,MWI_2010-2013_IHPS_v01_M,"Integrated Household Panel Survey 2010-2013 (Short-Term Panel, 204 EAs)",lsms_isa_integrated_household_panel_survey,strong_lsms_isa_replacement,3,temp/country_wave_screening.csv,https://microdata.worldbank.org/catalog/2248/get-microdata,not_currently_selected,Matches the explicit LSMS/LSMS-ISA priority country requirement and is a better family match than the current off-family core wave.,"Still requires official raw package receipt, module-level file acceptance, value/unit/key review, outcome audit, and climate linkage.",Use the official get-microdata route and complete-package scope only after the alignment decision updates the priority campaign.
5,replace_current_core_wave,Malawi,2010-2016,MWI_2010-2016_IHPS_v03_M,"Integrated Household Panel Survey 2010-2013-2016 (Long-Term Panel, 102 EAs)",lsms_isa_integrated_household_panel_survey,strong_lsms_isa_replacement,3,temp/country_wave_screening.csv,https://microdata.worldbank.org/catalog/2939/get-microdata,not_currently_selected,Matches the explicit LSMS/LSMS-ISA priority country requirement and is a better family match than the current off-family core wave.,"Still requires official raw package receipt, module-level file acceptance, value/unit/key review, outcome audit, and climate linkage.",Use the official get-microdata route and complete-package scope only after the alignment decision updates the priority campaign.
6,replace_current_core_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,Third Integrated Household Survey 2010-2011,lsms_isa_integrated_household_survey,strong_lsms_isa_replacement,3,temp/country_wave_screening.csv,https://microdata.worldbank.org/catalog/1003/get-microdata,not_currently_selected,Matches the explicit LSMS/LSMS-ISA priority country requirement and is a better family match than the current off-family core wave.,"Still requires official raw package receipt, module-level file acceptance, value/unit/key review, outcome audit, and climate linkage.",Use the official get-microdata route and complete-package scope only after the alignment decision updates the priority campaign.
7,replace_current_core_wave,Malawi,2010-2019,MWI_2010-2019_IHPS_v06_M,"Integrated Household Panel Survey 2010-2013-2016-2019 (Long-Term Panel, 102 EAs)",lsms_isa_integrated_household_panel_survey,strong_lsms_isa_replacement,2,temp/country_wave_screening.csv,https://microdata.worldbank.org/catalog/3819/get-microdata,not_currently_selected,Matches the explicit LSMS/LSMS-ISA priority country requirement and is a better family match than the current off-family core wave.,"Still requires official raw package receipt, module-level file acceptance, value/unit/key review, outcome audit, and climate linkage.",Use the official get-microdata route and complete-package scope only after the alignment decision updates the priority campaign.
8,replace_current_core_wave,Malawi,2010-2011,MWI_2010_IHS-III_v01_M_v01_A_ML,Integrated Household Living Conditions Survey 2010-2011 ; Subset for Machine Learning Comparative Assessment Project,lsms_isa_integrated_household_survey,strong_lsms_isa_replacement,2,temp/country_wave_screening.csv,https://microdata.worldbank.org/catalog/3016/get-microdata,not_currently_selected,Matches the explicit LSMS/LSMS-ISA priority country requirement and is a better family match than the current off-family core wave.,"Still requires official raw package receipt, module-level file acceptance, value/unit/key review, outcome audit, and climate linkage.",Use the official get-microdata route and complete-package scope only after the alignment decision updates the priority campaign.
9,current_off_family_do_not_use_as_core,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,"Marriage Transitions in Malawi 2007-2009, Panel Data",non_lsms_specialized_panel,weak_non_lsms_do_not_use_as_core,5,temp/country_wave_screening.csv,https://microdata.worldbank.org/catalog/3462/get-microdata,current_plan_wave,Current selected off-family wave documents the problem but should not anchor the core sample.,Not LSMS/ISA-aligned enough for the main five-country core without explicit redesign.,Use the official get-microdata route and complete-package scope only after the alignment decision updates the priority campaign.
10,replace_current_core_wave,Uganda,2019-2020,UGA_2019_UNPS_v03_M,National Panel Survey 2019-2020,lsms_isa_national_panel_survey,strong_lsms_isa_replacement,4,temp/country_wave_screening.csv,https://microdata.worldbank.org/catalog/3902/get-microdata,not_currently_selected,Matches the explicit LSMS/LSMS-ISA priority country requirement and is a better family match than the current off-family core wave.,"Still requires official raw package receipt, module-level file acceptance, value/unit/key review, outcome audit, and climate linkage.",Use the official get-microdata route and complete-package scope only after the alignment decision updates the priority campaign.
